date,Services,Services (wage-sensitive),Services (excl. wage-sensitive),geo
2025-02-01,3.633307009058507,3.982971670357632,3.5048685860025004,Eurozone
2025-01-01,3.871114584811227,4.076531555873915,3.80139455866935,Eurozone
2024-12-01,4.009932670584655,3.913755323106785,4.002538253622189,Eurozone
2024-11-01,3.944283222242558,3.936042021572286,3.914769393164504,Eurozone
2024-10-01,3.9481997991390583,4.032937198534016,3.89641503390653,Eurozone
2024-09-01,3.933154155794615,4.08447368074625,3.833176405780242,Eurozone
2024-08-01,4.128590639450284,4.1940869618997425,4.068356737998928,Eurozone
2024-07-01,3.997358933935738,4.231537009938477,3.817917099185597,Eurozone
2024-06-01,4.078800329181302,4.253093125569086,4.039206778928714,Eurozone
2024-05-01,4.103378949991813,4.241633315781018,4.056940832352326,Eurozone
2024-04-01,3.666876355679685,4.254269951288679,3.3899849813114273,Eurozone
2024-03-01,4.0227008312323465,4.319809405584487,3.853441182950085,Eurozone
2024-02-01,3.958783407251132,4.345487511883466,3.759477288391339,Eurozone
2024-01-01,3.9846775852078617,4.364054252400227,3.7840694956358303,Eurozone
2023-12-01,3.9900797555193783,4.730116543037266,3.594092474950361,Eurozone
2023-11-01,4.081934108393756,4.7917755127862405,3.5877273909027374,Eurozone
2023-10-01,4.515400177056917,4.881823258181646,4.4521735410551395,Eurozone
2023-09-01,4.646099267464912,4.972507326755569,4.568817918641178,Eurozone
2023-08-01,5.29090616112375,5.1495053094542875,5.589953502596095,Eurozone
2023-07-01,5.417512733969229,5.210679589515448,5.799368108231014,Eurozone
2023-06-01,5.43627048062598,5.256784107838693,5.5098700535632785,Eurozone
2023-05-01,5.024317950297357,5.202762342577561,4.936217550403218,Eurozone
2023-04-01,5.275941755684476,5.0992729837213435,5.2421266303187934,Eurozone
2023-03-01,5.134816043791459,5.116258919246574,5.064645645898402,Eurozone
2023-02-01,4.985606479833735,5.0384261674852135,4.742915128930552,Eurozone
2023-01-01,4.565151227453985,4.867990972102971,4.1196063689130344,Eurozone
2022-12-01,4.413460134048093,4.237094549667188,4.486042589291483,Eurozone
2022-11-01,4.249575271587036,4.098686015711119,4.321385377266914,Eurozone
2022-10-01,4.316252441375328,4.020339658302659,4.532033712115545,Eurozone
2022-09-01,4.2402290088641905,3.770190326957988,4.555616176514884,Eurozone
2022-08-01,3.738727733570574,3.2572389625715967,4.081026944863546,Eurozone
2022-07-01,3.612045902399441,3.0773440015828117,4.119469159956809,Eurozone
2022-06-01,3.2503536351353777,2.902164048897395,3.6408868627857167,Eurozone
2022-05-01,3.4760841921470824,2.9126931792616353,3.8141100486974793,Eurozone
2022-04-01,3.261405593434315,2.791878665711991,3.576413530243764,Eurozone
2022-03-01,2.7017392564947964,2.486936870231031,2.796476480337565,Eurozone
2022-02-01,2.515292112348399,2.382054865690056,2.5363461223554435,Eurozone
2022-01-01,2.4181138384528436,2.1681767107828502,2.462017407466625,Eurozone
2021-12-01,2.474998473381662,2.1866712955016863,2.5979056403328027,Eurozone
2021-11-01,2.534441423957911,2.177373940359365,2.992237314297452,Eurozone
2021-10-01,2.1891194990380862,2.0427836043569547,2.077338109892607,Eurozone
2021-09-01,1.8797325546452155,1.7749242698204166,1.7376258826208673,Eurozone
2021-08-01,1.4621388110624645,1.783268148166946,0.8648571864913058,Eurozone
2021-07-01,1.2419418361699563,1.7721556748227407,0.4159612418783194,Eurozone
2021-06-01,0.9075167643857732,1.7044969952693865,0.23449674725727984,Eurozone
2021-05-01,0.978550658934686,1.7788018137526542,0.7237510176899026,Eurozone
2021-04-01,0.8063587414407988,1.7700457904271716,0.44086368861020264,Eurozone
2021-03-01,1.1552996850259456,1.7573076727590249,1.0356897506863174,Eurozone
2021-02-01,0.9924994823147064,1.7397388976519113,0.9433437908856446,Eurozone
2021-01-01,1.0977141608428624,1.7789145301420723,1.2232863921028454,Eurozone
2020-12-01,0.6733208526612574,1.641177279369381,0.1628635009097424,Eurozone
2020-11-01,0.5956305051546916,1.6295280618439176,0.0062136588020091,Eurozone
2020-10-01,0.3868358667903085,1.632947520603931,-0.22849886270680256,Eurozone
2020-09-01,0.4966267016809479,1.7589929204121575,-0.11818576933761668,Eurozone
2020-08-01,0.6328010952998734,1.8477346602354128,0.04149387109431819,Eurozone
2020-07-01,0.8224179285877992,1.9417109741021328,0.4010989214928453,Eurozone
2020-06-01,1.1913361675923475,1.9489608257169857,0.8313843573236515,Eurozone
2020-05-01,1.2625112464645407,1.7381638239273054,1.0944699886791804,Eurozone
2020-04-01,1.14946715525589,1.7290184224551384,0.8708458632552011,Eurozone
2020-03-01,1.3805378114517923,1.8053778006633163,1.099588965347391,Eurozone
2020-02-01,1.692124733684191,1.7796989986380605,1.5096040059421636,Eurozone
2020-01-01,1.609232647088194,1.816627952675688,1.3795425597985929,Eurozone
2019-12-01,1.7957254528928368,1.8587307126774075,1.7694332916461324,Eurozone
2019-11-01,1.680353693371926,1.8672138908968188,1.8435114863574296,Eurozone
2019-10-01,1.6721222048205353,1.807866100824556,1.407757242806179,Eurozone
2019-09-01,1.602804104616714,1.8403503460570712,1.3034305735478096,Eurozone
2019-08-01,1.5306721828789247,1.8867937840975684,1.03594999282746,Eurozone
2019-07-01,1.4142011828639325,1.6845553752183586,0.9215861852108012,Eurozone
2019-06-01,1.5152402575039,1.7000757704707197,1.603455178191867,Eurozone
2019-05-01,1.1600187297594056,1.7312753780249257,0.7082890257270915,Eurozone
2019-04-01,1.6567575122871607,1.7843105650254136,2.0131367738681347,Eurozone
2019-03-01,1.1794612141720011,1.7086033083664034,0.8393039575283651,Eurozone
2019-02-01,1.203328685931383,1.7138893670736364,1.1695849034948749,Eurozone
2019-01-01,1.3426293662940616,1.661180594699568,1.5157796556980965,Eurozone
2018-12-01,1.3887649231084505,1.5851405974878348,1.2111318481465465,Eurozone
2018-11-01,1.4388749102936709,1.5702055882460528,1.2639246872321137,Eurozone
2018-10-01,1.6923395953081983,1.5772885784812931,1.8190553085442056,Eurozone
2018-09-01,1.39700710323985,1.327694822643974,1.4657463259349497,Eurozone
2018-08-01,1.4421546106249723,1.260901845362899,1.645526657168254,Eurozone
2018-07-01,1.492794551228285,1.3568820465085647,1.7336188872481613,Eurozone
2018-06-01,1.489058604145418,1.3264161603078777,1.4015802987702657,Eurozone
2018-05-01,1.7097086685832663,1.3381314252161831,2.1424973358427546,Eurozone
2018-04-01,1.2445598892032412,1.3526557891507842,0.8817473585308344,Eurozone
2018-03-01,1.618354811093791,1.2984803084890657,1.9097346085697031,Eurozone
2018-02-01,1.4153958336642938,1.2517511626840905,1.4068159341885018,Eurozone
2018-01-01,1.3864150807013529,1.3324754110437205,1.2651184822401618,Eurozone
2025-02-01,4.973624717407704,5.4489225036472035,3.968425915933417,UK
2025-01-01,5.003790750568609,5.3566467671188835,4.0177341571269345,UK
2024-12-01,4.360902255639107,5.668259774015391,3.914651145030181,UK
2024-11-01,5.011389521640109,5.925811683080958,4.382266274504539,UK
2024-10-01,5.003790750568609,5.613972471441786,4.258374633041191,UK
2024-09-01,4.946727549467275,5.33316173826222,4.418596223010691,UK
2024-08-01,5.572519083969475,5.790217667455212,4.497554574584992,UK
2024-07-01,5.190839694656497,5.473061877126269,4.7083270513874,UK
2024-06-01,5.70547417116423,5.140602836474964,5.743375087071192,UK
2024-05-01,5.736434108527136,4.7609545629873535,5.684385966913623,UK
2024-04-01,5.859375,4.880897133993059,5.96511769955971,UK
2024-03-01,5.952380952380952,5.0678357853607245,6.010025061748165,UK
2024-02-01,6.075139888089525,4.783998936545383,6.27576981272959,UK
2024-01-01,6.542810985460427,5.172089188950543,6.966826448341735,UK
2023-12-01,6.4,4.737656846398609,6.685449390970839,UK
2023-11-01,6.209677419354829,4.420992279076293,7.01677563032386,UK
2023-10-01,6.542810985460427,4.766889594457377,7.355348364289506,UK
2023-09-01,6.916192026037428,4.885480012073403,7.861070576477445,UK
2023-08-01,6.764466177669109,4.603479084952356,7.689659254720219,UK
2023-07-01,7.465135356849872,4.8982338975004325,8.512724806065226,UK
2023-06-01,7.19008264462809,5.03330277507374,8.415063756770797,UK
2023-05-01,7.321131447587352,5.161234712887562,8.761884249175429,UK
2023-04-01,6.934001670843773,5.325239666562934,8.466446449472983,UK
2023-03-01,6.68924640135479,4.460110656746381,8.569674108759548,UK
2023-02-01,6.649616368286443,4.5345004441332355,8.740530400895192,UK
2023-01-01,5.902480752780146,4.393253806896932,7.778073193953884,UK
2022-12-01,6.837606837606838,4.18368894010104,8.707897474255264,UK
2022-11-01,6.346483704974276,4.167223187911451,8.11614552298304,UK
2022-10-01,6.266094420600855,4.085391650226814,7.883951618370004,UK
2022-09-01,6.131260794473238,4.028660828275913,7.703305832362757,UK
2022-08-01,5.958549222797933,3.865253269416688,7.218101603682668,UK
2022-07-01,5.724197745013017,3.44531667259382,7.500937292781155,UK
2022-06-01,5.217391304347826,3.495779072792586,7.033326238734004,UK
2022-05-01,4.886561954624789,3.5626369933966484,6.397027801541178,UK
2022-04-01,4.724409448818903,3.473530022590446,6.448496455780769,UK
