date,Period,"All items, seasonally adjusted","Goods, seasonally adjusted","Services, seasonally adjusted","All items, less fresh food, seasonally adjusted","All items, less fresh food and energy, seasonally adjusted",All items,Food,Cereals,Fish & seafood,Meats,Dairy products & eggs,Vegetables & seaweeds,Fruits,"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,Rent,Repairs & maintenance,"Fuel, light & water charges",Electricity,Gas,Other fuel & light,Water & sewerage charges,Furniture & household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non-durable goods,Domestic services,Clothes & footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters & underwear",Shirts & sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines & health fortification,Medical supplies & appliances,Medical services,Transportation & communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks & reference books for study,Tutorial fees,Culture & recreation,Recreational durable goods,Recreational goods,Books & other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Fresh food,Fresh fish & seafood (reentry),Fresh vegetables (reentry),Fresh fruits (reentry),"All items, less fresh food","Food, less fresh food","All items, less imputed rent","Housing, less imputed rent","Rent, less imputed rent","All items, less imputed rent & fresh food",Energy,"All items, less fresh food and energy","All items, less food (less alcoholic beverages) and energy",Expenses for education,Expenses for culture & recreation,Expenses for information & communication,Goods,"Goods, less fresh food","Agricultural, aquatic & livestock products","Fresh food, raw meats & cut flowers","Other agricultural, aquatic & livestock products",Rice,Industrial products,Food products,Textiles,Petroleum products,Other industrial products,"Electricity, manufactured & piped gas & water charges",Publications,Services,"Services, less imputed rent",Public services,General services,"House rent, private","House rent, private (wooden)","House rent, private (non-wooden)",Imputed rent,Imputed rent (wooden),Imputed rent (non-wooden),Other services,Durable goods,Semi-durable goods,Non-durable goods,Public utilities charges,FT core
2025-10-01,One year,2.92504570383911,4.20962199312714,1.56555772994129,2.94388224471021,3.05838739573679,3.01369863013698,6.39534883720929,16.7177914110429,4.88573680063041,3.72250423011844,7.80082987551868,2.6148969889065,2.61651676206051,4.38079191238416,9.55414012738854,6.49789029535865,8.70292887029289,4.58295142071494,4.34397163120568,0.870406189555117,0.398009950248762,3.24459234608984,2.16021602160217,3.57798165137615,0.70113935144611,5.95655220742817,-0.379506641366229,1.73124484748558,0.401929260450161,2.11327134404057,1.09289617486339,1.47299509001636,3.93890675241158,1.52380952380952,2.54545454545454,3.26975476839238,3.28820116054158,3.26382592928378,1.34529147982063,2.16998191681737,-0.353356890459369,2.5328330206379,1.49253731343283,4.90367775831873,0.868725868725874,2.4074074074074,0.723327305605797,0,3.58239508700102,1.52091254752851,2.74977085242896,7.50000000000001,-5.62685093780849,-9.61145194274028,1.1090573012939,2.82331511839709,2.62697022767075,-2.67527675276753,3.87387387387387,3.63797692990239,2.65866209262436,0.759013282732445,2.18423551756885,1.94174757281553,2.21843003412969,0.611888111888102,-1.26953125000001,2.11598746081506,4.52380952380951,0.768639508070715,2.16867469879518,3.03308823529412,7.13087248322148,3.41726618705036,2.15439856373428,0.497512437810945,3.53260869565217,2.0530367835757,3.14523589269196,1.62679425837321,-4.14610069101678,2.46913580246913,6.15595075239398,4.10958904109589,4.40414507772021,7.15408805031447,3.29581993569131,40.1791426743442,40.1791426743442,3.79637618636755,6.47058823529412,1.91431175934366,0.861393891934228,2.14094558429974,2.28310502283105,3.55871886120996,1.56555772994129,2.13592233009709,-0.197433366238897,2.14634146341464,0.49800796812749,0.198807157057657,0.697906281156533,0.398009950248762,0.198807157057657,0.79601990049751,3.45508390918065,1.4388489208633,2.33393177737881,4.96632996632997,0.673076923076926,2.42458717522203
2025-09-01,One year,2.93577981651376,4.22413793103449,1.47347740667976,2.86241920590952,3.06976744186046,2.84664830119375,6.72268907563025,17.9936305732484,2.89968652037619,4.77001703577512,8.52130325814537,4.04858299595142,2.01342281879194,2.61603375527426,12.2366288492707,6.08108108108107,10.0957354221062,4.14364640883978,4.1814946619217,0.968992248062015,0.298507462686564,4.12457912457913,1.90045248868778,3.22878228782288,1.59010600706714,6.25439212930427,-1.90294957183635,0.995024875621893,-1.87601957585644,1.52542372881356,1.10091743119266,1.63398692810458,4.01929260450161,1.62059103908483,2.45901639344263,2.82846715328468,4.07766990291262,2.82331511839709,1.79533213644524,2.7124773960217,-0.0884955752212339,2.71281571562207,1.40318054256314,4.66138962181178,1.16279069767442,2.59981429897864,1.17967332123412,0.406091370558381,3.08008213552361,0.952380952380952,2.20385674931129,6.85314685314686,-5.62685093780849,-9.61145194274028,1.1090573012939,2.82331511839709,1.94174757281554,-3.30275229357798,3.05755395683452,3.54924578527063,1.91470844212358,0.666032350142724,2.28136882129277,1.1684518013632,2.47651579846286,0.611888111888102,-1.08055009823182,2.07006369426751,1.57232704402515,2.4428684003152,2.06611570247934,2.95748613678374,7.55517826825128,3.35144927536231,2.7124773960217,0.497512437810945,3.37283500455789,2.32158211521926,3.06976744186046,1.34357005758157,-4.24481737413623,1.86666666666666,5.60875512995897,4.23143350604491,4.34782608695652,7.87781350482314,3.41463414634147,49.1404011461318,49.1404011461318,3.72940156114484,6.61016949152542,2.1062271062271,1.33333333333332,1.51921358355674,1.83992640294388,3.46975088967971,1.37524557956779,2.05278592375367,-0.0994035785288214,1.85909980430528,0.398406374501984,0.0994035785288355,0.598205383848463,0.298507462686564,0.0994035785288355,0.796812749003981,3.08151093439365,0.361336946702793,2.15827338129496,5.18266779949022,0.580832526621499,2.24615854407416
2025-08-01,One year,2.74977085242896,3.78006872852233,1.57170923379176,2.67034990791897,3.2618825722274,2.74977085242896,7.22789115646258,22.682119205298,2.68562401263824,4.86348122866894,7.85296574770258,4.0447504302926,5.40983606557377,2.44725738396625,11.4820846905538,6.77392040643522,9.09090909090908,4.15129151291513,4.36720142602495,1.06692531522794,0.298507462686564,4.73372781065089,-3.9529015979815,-7.00896495517523,-2.66889074228524,6.20155038759689,-1.43129770992366,1.99501246882793,0.324675324675318,1.11111111111111,1.94085027726432,2.47729149463254,4.03551251008878,1.33460438512869,2.91627469426153,3.30812854442344,3.68217054263566,3.30500472143532,2.07939508506617,3.32031249999999,-0.17714791851196,3.11027332704996,1.40712945590994,4.76190476190475,1.26213592233009,2.51396648044692,1.7351598173516,0.406091370558381,3.07377049180328,1.03092783505154,2.11397058823529,6.96378830083566,-5.62685093780849,-9.61145194274028,1.1090573012939,2.73473108477666,2.2530329289428,-1.94444444444444,4.33212996389891,3.55555555555556,1.85029436501261,1.33460438512869,2.3719165085389,1.17878192534381,2.22222222222222,0.611888111888102,0.588235294117642,2.81456953642385,1.67330677290836,2.06362854686157,5.63607085346215,2.66789328426862,7.94192997438088,3.06859205776174,2.99184043517679,0.49800796812749,3.08250226654579,-3.29317269076305,3.25884543761639,1.63147792706334,-4.34353405725567,2.09059233449478,5.60875512995897,3.70689655172414,3.8961038961039,9.64256026600167,3.91340549542049,69.7788697788698,69.7788697788698,4.0104620749782,6.54205607476636,2.45283018867924,1.56985871271586,2.15246636771301,-5.93149540517962,3.475935828877,1.56555772994129,2.13592233009709,0.397219463753715,1.94741966893866,0.498504486540379,0.0994035785288355,0.69860279441118,0.298507462686564,0.0994035785288355,0.897308075772688,2.9382957884427,1.0840108401084,2.74977085242896,4.39932318104907,-1.78069353327086,2.28149309321847
2025-07-01,One year,3.13075506445673,4.5021645021645,1.57480314960631,3.04990757855822,3.36763330215154,3.03867403314918,7.4742268041237,27.4042553191489,2.45836637589214,5.25862068965517,5.28967254408061,5.07246376811594,5.36746490503716,2.85954583683767,10.7931316434996,7.06984667802385,9.1703056768559,4.32780847145488,4.47227191413238,1.06796116504854,0.298507462686564,4.58404074702887,-0.251256281407045,-0.729927007299263,0,5.18207282913164,-1.04961832061068,2.51046025104602,1.14099429502852,0.256410256410254,1.46520146520146,2.05930807248764,5.52805280528053,1.33460438512869,2.70522388059701,3.28638497652582,2.71317829457364,3.28330206378987,2.32342007434944,3.33333333333333,0.443262411347518,2.16368767638758,1.40712945590994,4.68197879858657,1.55642023346304,3.18054256314312,2.10430009149131,0.406091370558381,2.66393442622952,1.04463437796772,1.7447199265381,6.39777468706536,-5.62685093780849,-9.61145194274028,1.1090573012939,2.82588878760255,2.65721877767936,-0.74557315936626,4.74020054694622,3.56188780053428,2.08514335360557,1.24045801526717,2.19047619047619,0.980392156862745,2.39931448157669,0.611888111888102,0.589390962671914,3.35051546391752,0.800640512409928,3.79981464318813,5.60064935064934,3.04709141274238,8.34049871023216,3.54223433242507,2.90644868301544,0.49800796812749,3.55191256830602,-0.319488817891378,3.36763330215154,1.63776493256262,-4.33925049309665,2.40427426536064,5.06155950752394,4.50997398091934,4.50997398091934,11.5219260533104,4.54155955441302,90.6558849955076,90.6558849955076,3.92670157068063,6.30323679727427,2.43445692883896,0.312256049960972,2.52025202520253,-0.997506234413967,3.38983050847459,1.47492625368732,2.05278592375367,0.298507462686564,1.86092066601372,0.498504486540379,0,0.699300699300702,0.298507462686564,0.0994035785288355,0.898203592814363,2.87984111221449,1.35746606334842,2.74223034734918,5.28109028960817,-0.0937207122774213,2.46413054531042
2025-06-01,One year,3.22878228782288,4.78260869565217,1.57635467980295,3.33951762523192,3.37078651685394,3.23475046210721,7.13671539122958,28.9767841788478,3.85232744783308,6.03146853146852,4.17710944026734,1.5929203539823,4.99999999999999,2.27848101265823,9.0983606557377,6.91126279863481,8.74890638670166,4.23183072677092,4.48430493273543,1.0689990281827,0.298507462686564,4.77408354646207,3.44530577088717,5.4421768707483,2.78951817413356,4.78536242083041,-1.04961832061068,2.77310924369748,2.45901639344262,0,1.37614678899083,3.07053941908714,4.05629139072848,1.33587786259543,2.67527675276752,3.14814814814815,2.61627906976744,3.2377428307123,2.10237659963437,2.5,1.24555160142348,1.96813495782567,1.59474671669794,4.68611847922194,1.55793573515092,2.99345182413469,2.19981668194318,0.406091370558381,2.36382322713258,0.862895493767982,1.56537753222836,5.84144645340749,-5.62685093780849,-9.61145194274028,1.1090573012939,2.82588878760255,2.86225402504473,0.936329588014981,5.032021957914,3.65418894830659,2.11453744493393,1.14503816793893,2.09723546234508,0.980392156862745,1.96413321947055,0.611888111888102,0.589970501474921,1.68776371308017,3.2599837000815,-1.5165031222123,5.22151898734177,3.33951762523192,8.19672131147541,3.83211678832117,3.09936189608021,0.398406374501984,3.93772893772893,2.8735632183908,3.47091932457786,1.64092664092664,-4.24481737413623,2.61026102610262,4.9247606019152,4.78677110530896,5.06108202443282,11.3304721030043,3.74787052810902,100.093720712277,100.093720712277,3.75874125874126,5.88737201365187,2.31696014828545,0,2.52479711451758,3.70051635111876,3.48214285714286,1.4792899408284,2.16110019646366,0.298804780876491,1.96656833824975,0.398803589232309,0.0994035785288355,0.699300699300702,0.199004975124381,0.0994035785288355,0.797607178464603,3.003003003003,1.72257479601088,2.72975432211101,5.65552699228791,1.42314990512334,2.47806259179014
2025-05-01,One year,3.51851851851852,5.32751091703056,1.48075024679171,3.7243947858473,3.28638497652582,3.42275670675301,6.5068493150685,28.6701208981002,4.32,6.24450307827616,4.33333333333334,-1.01180438448566,3.84923817161187,1.26689189189189,7.41962077493818,6.39931740614334,7.06806282722514,4.6831955922865,4.40251572327045,1.0689990281827,0.298804780876491,4.86348122866894,7.63765541740676,11.25,5.45927209705372,8.44475721323012,1.62991371045063,2.95109612141653,3.72825186412593,-0.170212765957449,1.00824931255729,3.34168755221387,3.29489291598023,1.24045801526717,2.57589696412143,3.04428044280443,2.6188166828322,3.04147465437788,1.91431175934366,2.29990800367985,1.25223613595707,2.34082397003745,1.50093808630395,4.86725663716814,2.05479452054794,3.08988764044944,2.01465201465202,1.54004106776181,2.57466529351184,1.0496183206107,3.13653136531365,1.96078431372548,-5.52813425468904,-9.50920245398773,1.1090573012939,2.82588878760255,2.92553191489361,0.560224089635862,4.89130434782608,3.30652368185879,2.5283347863993,1.33843212237094,2.09923664122138,1.37254901960785,2.84974093264248,0.611888111888102,0.688976377952759,-0.16246953696181,3.96761133603239,-4.72245236122618,3.93081761006288,3.62790697674419,7.69230769230768,4.01826484018265,3.09936189608021,0.49800796812749,4.31985294117647,8.1081081081081,3.18949343339588,1.64092664092664,-4.24481737413623,2.76538804638716,1.50478796169632,5.32286212914486,5.79455662862159,9.9243061396131,2.49376558603491,101.828681424447,101.828681424447,3.84951881014874,5.20477815699658,2.31481481481481,5.13428120063191,2.62206148282098,8.85509838998212,3.22580645161291,1.38067061143983,1.86457311089302,0.598802395209575,1.66994106090374,0.499001996007984,0,0.599400599400608,0.298804780876491,0.0995024875621834,0.798403193612772,2.29312063808574,2.19178082191781,2.4567788898999,6.3573883161512,3.17307692307692,2.47511614738542
2025-04-01,One year,3.53159851301116,5.54577464788733,1.28331688055281,3.55140186915888,3.00751879699247,3.52831940575673,6.52920962199312,27.367506516073,4.7162270183853,4.92524186455584,3.40248962655601,3.80388841927303,5.2013422818792,0.251889168765753,7.76218001651528,5.22260273972604,6.71316477768091,3.76146788990825,4.14414414414414,1.07003891050584,0.298804780876491,4.61933276304533,8.3639705882353,13.4928229665072,4.43092962641182,9.49367088607595,1.53994225216554,4.1025641025641,6.31938514090522,2.13128729752771,1.38121546961326,3.71308016877638,3.13531353135313,1.33971291866029,2.66789328426862,3.2258064516129,2.92112950340798,3.22283609576427,1.91605839416059,2.02020202020201,1.8001800180018,2.14953271028037,1.78739416745062,4.88021295474712,2.25711481844946,3.28638497652582,2.6827012025902,1.54004106776181,2.77777777777778,0.765550239234447,3.59778597785977,1.11111111111111,-5.62130177514793,-9.49948927477018,1.1090573012939,2.82588878760255,2.65721877767936,0.748362956033674,4.62794918330308,3.40196956132498,2.08514335360557,1.24401913875598,1.81297709923665,1.37389597644749,2.25498699045968,0.26223776223776,0.787401574803161,3.86831275720165,4.76190476190477,2.57689110556942,5.532617671346,3.54808590102709,7.01298701298701,4.12844036697248,3.01369863013698,0.498504486540379,4.15129151291513,9.31244560487379,3.00469483568075,1.64251207729469,-4.24481737413623,2.58697591436218,1.50478796169632,5.53602811950791,5.65371024734982,11.4601018675722,4.44258172673931,98.4344422700587,98.4344422700587,3.85626643295355,4.78632478632478,2.50463821892394,6.53543307086615,2.71985494106981,9.73782771535581,3.31838565022422,1.28205128205128,1.66830225711481,0.4995004995005,1.57170923379176,0.499001996007984,0,0.599400599400608,0.298804780876491,0.0995024875621834,0.798403193612772,2.09163346613545,2.47252747252748,2.461257976299,6.67244367417677,3.32031249999999,2.37074458862944
2025-03-01,One year,3.63128491620111,5.65870910698497,1.38203356367227,3.08699719363891,2.91627469426153,3.63805970149253,7.34658599827139,25.4340277777778,4.35816164817748,5.01760563380282,1.98511166253101,16.5765765765766,9.50819672131147,0.760777683854612,6.87086092715232,4.54935622317596,6.2062937062937,-0.366972477064225,3.6068530207394,0.778210116731515,0.199203187250985,3.76390076988879,5.72483841181902,8.71647509578544,2.36842105263158,8.82768361581921,1.8375241779497,4.43864229765013,6.46589902568645,2.74442538593482,1.66204986149584,5.40308747855919,2.89735099337748,2.33690360272638,2.89719626168224,3.04147465437788,2.42248062015504,3.13075506445673,3.06807286673059,3.76237623762376,1.62016201620163,2.15759849906192,2.0774315391879,4.55764075067024,1.95694716242661,3.09859154929577,3.34883720930232,0.813835198372327,2.68317853457172,0.284629981024665,3.70713623725672,0.979020979020983,-1.1684518013632,-2.49252243270189,1.31086142322098,1.8450184501845,1.96253345227476,0.751879699248118,2.26449275362319,3.42034203420343,1.66812993854257,1.14942528735631,1.62523900573614,0.885826771653549,2.17013888888889,0.26223776223776,0.786627335299899,13.8487680543755,4.85282418456643,22.0802919708029,10.2254428341385,3.18352059925094,6.24457935819601,4.23963133640552,2.46800731261425,0.399201596806379,3.7037037037037,6.64916885389327,2.82485875706215,1.55038759689922,-0.779727095516566,1.7921146953405,1.2311901504788,5.57522123893805,4.88454706927176,16.4655172413793,10.3154305200341,92.0353982300885,92.0353982300885,3.34801762114537,4.02397260273973,2.82485875706215,5.86370839936608,2.37442922374429,6.296992481203,3.24616771866546,1.38203356367227,1.96656833824975,1.49105367793241,1.37931034482759,0.399600399600405,0,0.600600600600595,0.199203187250985,0,0.599400599400608,1.90380761523047,2.22428174235402,2.76243093922652,6.62020905923346,2.92397660818713,2.25976345055299
2025-02-01,One year,3.64145658263306,5.67375886524823,1.28458498023715,2.99906279287723,2.63653483992467,3.64826941066416,7.63226366001734,21.856027753686,3.32541567695962,5.29100529100529,0.495867768595037,20.2752293577982,19.4398682042834,0.338123415046497,6.85045948203843,4.20600858369099,6.69603524229074,-0.183150183150186,3.2520325203252,0.778210116731515,0.199203187250985,3.77035132819194,6.33147113594041,9.0646094503375,3.37777777777778,9.27762039660058,2.82926829268293,4.00696864111499,5.42222222222222,2.4914089347079,0.920810313075507,5.13259195893926,2.98260149130074,2.33918128654971,2.73843248347497,3.10442144873001,2.42248062015504,3.10150375939849,2.87081339712919,3.34975369458129,1.98555956678701,1.3157894736842,2.40384615384615,3.84615384615384,1.76297747306563,2.35626767200754,3.1657355679702,0.813835198372327,2.37113402061855,0.0959692898272498,3.51851851851852,0.138504155124646,-1.07212475633528,-2.49252243270189,1.31086142322098,2.12962962962963,2.07207207207207,1.50517403574789,2.6605504587156,3.69702434625788,1.6,1.15052732502397,1.62679425837321,0.886699507389168,2.7027027027027,0.26223776223776,0.787401574803161,18.7607573149742,4.06698564593301,27.9700654817587,20.7928802588997,3.00469483568075,5.64726324934839,4.25531914893618,2.37877401646844,0.299401197604788,3.52831940575673,6.94810905892699,2.64400377714825,1.45631067961165,-0.780487804878046,1.90389845874887,1.2311901504788,5.77264653641208,4.54140694568122,18.4668989547038,13.3505598621878,80.9712586719524,80.9712586719524,3.0891438658429,3.68782161234992,2.56653992395437,5.8590657165479,2.007299270073,7.0275403608737,3.61663652802893,1.28585558852622,1.87376725838263,1.49402390438247,1.28331688055281,0.299700299700311,0,0.500500500500501,0.199203187250985,0,0.599999999999994,1.81268882175226,1.66204986149584,2.40518038852915,6.99912510936133,3.13111545988259,2.16906787519427
2025-01-01,One year,4.02621722846442,6.29991126885536,1.38476755687439,3.18949343339588,2.54476908576815,4.02245088868101,7.77873811581677,18.3478260869565,1.56128024980484,5.56045895851721,-0.983606557377051,25.625,21.0828547990156,0.934579439252332,6.83903252710591,3.43053173241853,7.55555555555556,-0.365630712979895,3.0741410488246,0.77896786757546,0.299102691924224,3.516295025729,11.2873134328358,18.0851063829787,6.85053380782917,6.22788393489029,2.9296875,3.46020761245675,3.83275261324042,2.92598967297762,0.919963201471941,5.14579759862779,2.64244426094137,2.33918128654971,2.74361400189214,3.13390313390313,1.93986420950533,3.13092979127134,2.85442435775452,3.02439024390243,2.16802168021679,1.31455399061033,2.87631831255992,3.67713004484304,1.76297747306563,2.25988700564971,3.64145658263306,0.813835198372327,1.95473251028806,0.287907869481763,3.05272895467161,-0.275862068965521,-1.07421875000001,-2.58964143426296,1.31086142322098,2.32991612301957,2.63636363636364,3.69649805447471,2.48390064397424,4.0650406504065,2.15246636771301,1.44092219020173,1.62835249042145,0.983284169124877,4.44444444444444,0.26223776223776,0.787401574803161,21.9246861924686,0.851393188854507,35.9964093357271,22.6430298146656,3.1954887218045,5.21739130434783,4.62107208872458,2.19579139981702,0.399600399600405,3.71747211895911,10.8084358523726,2.55198487712666,1.55642023346304,-0.878906250000006,2.37659963436928,1.2311901504788,6.38297872340426,4.89759572573464,19.280205655527,15.1310228233305,70.7876370887338,70.7876370887338,2.82436010591351,3.43347639484979,2.57142857142857,4.00943396226416,1.82481751824818,13.9180171591992,3.89140271493212,1.38751238850346,1.87747035573122,1.49402390438247,1.38476755687439,0.299700299700311,0,0.500500500500501,0.199203187250985,0.0995024875621834,0.599999999999994,2.1255060728745,1.29032258064517,2.59981429897864,7.85340314136126,5.19098922624879,2.0621437770328
