Item,One month,Three months,Six months,One year,Included,Excluded
CPI (overall index),2.8335371616633687,2.5922622718671295,2.283629515534291,3.0124886450078714,100,0
Excluding energy,2.7040879939253415,2.559483158141318,2.651985376429611,3.200077740734655,94.2,5.8
"Excluding energy, food, alcoholic beverages & tobacco",3.164834738836353,2.748276391367721,2.6792616234967648,3.0858720299713998,79.6,20.4
FT core,1.8669046589890042,2.3107637489861115,2.6285829859888334,3.0359965225757013,,
All services,4.438084541713727,4.015347887703258,3.8145040719473444,4.3799624657138825,51.8,48.2
All goods,0.5505808313910565,1.4805111791311942,1.3863553826959363,1.6328241075850514,48.2,51.8
