Item,One month,Three months,Six months,One year,Included,Excluded
All items,5.440878713554453,4.715752613395852,0.5307376793317387,1.5205724508050114,100,0
"All items, less fresh food",5.4656545687868485,5.870023768816046,0.8908641975308607,1.4362657091561888,96,4
"All items, less fresh food and energy",2.167938258188107,1.8058234779076976,0.7181305481687383,1.8181818181818181,88.9,11.1
Services,2.339076595211931,0.38591368595428666,0,1.070038910505845,49.5,50.5
FT core,0.6188402148622009,0.9243282463962611,0.666592946209724,1.367132419654285,,
