date,id,Value
2023-04-01,Excl. energy & food,5.5157220797549185
2023-03-01,Weighted median,8.035362129390682
2023-03-01,Prop. increasing,0.875
2023-03-01,Volatility,3.0536089915542988
2023-03-01,Excl. energy & food,5.560110849325883
2023-02-01,Weighted median,8.001811517287246
2023-02-01,Prop. increasing,0.90625
2023-02-01,Volatility,3.048443059486447
2023-02-01,Excl. energy & food,5.493483924006302
2023-01-01,Weighted median,7.749936739271971
2023-01-01,Prop. increasing,0.9375
2023-01-01,Volatility,3.1049793492203603
2023-01-01,Excl. energy & food,5.543023105808364
2022-12-01,Weighted median,7.514442613634747
2022-12-01,Prop. increasing,0.953125
2022-12-01,Volatility,3.1278953166389933
2022-12-01,Excl. energy & food,5.680507396019227
2022-11-01,Weighted median,7.12436755579124
2022-11-01,Prop. increasing,0.953125
2022-11-01,Volatility,3.155334207015264
2022-11-01,Excl. energy & food,5.963097183063803
2022-10-01,Weighted median,6.8896821741133
2022-10-01,Prop. increasing,0.96875
2022-10-01,Volatility,3.1676829631791725
2022-10-01,Excl. energy & food,6.294940399044116
2022-09-01,Weighted median,6.683108914956174
2022-09-01,Prop. increasing,0.96875
2022-09-01,Volatility,3.1143371456652544
2022-09-01,Excl. energy & food,6.640449036502097
2022-08-01,Weighted median,6.312734028039822
2022-08-01,Prop. increasing,0.96875
2022-08-01,Volatility,3.0319733011693626
2022-08-01,Excl. energy & food,6.299799636550028
2022-07-01,Weighted median,5.841700314107475
2022-07-01,Prop. increasing,0.984375
2022-07-01,Volatility,2.9919771392189936
2022-07-01,Excl. energy & food,5.901755846840762
2022-06-01,Weighted median,5.77116230262813
2022-06-01,Prop. increasing,0.984375
2022-06-01,Volatility,2.9312033443865912
2022-06-01,Excl. energy & food,5.903416971378137
2022-05-01,Weighted median,5.095588041462976
2022-05-01,Prop. increasing,0.96875
2022-05-01,Volatility,2.8810754709335806
2022-05-01,Excl. energy & food,6.017553921319511
2022-04-01,Weighted median,4.815001170912881
2022-04-01,Prop. increasing,0.984375
2022-04-01,Volatility,2.8206497121725884
2022-04-01,Excl. energy & food,6.157162954707385
2022-03-01,Weighted median,4.530408867633378
2022-03-01,Prop. increasing,1
2022-03-01,Volatility,2.7547503554582953
2022-03-01,Excl. energy & food,6.476068385513935
2022-02-01,Weighted median,4.288801119356723
2022-02-01,Prop. increasing,0.984375
2022-02-01,Volatility,2.830415128165766
2022-02-01,Excl. energy & food,6.4524228895953994
2022-01-01,Weighted median,4.0788909109740015
2022-01-01,Prop. increasing,0.984375
2022-01-01,Volatility,3.0047687639303464
2022-01-01,Excl. energy & food,6.06052761979423
2021-12-01,Weighted median,3.783801405996229
2021-12-01,Prop. increasing,0.96875
2021-12-01,Volatility,3.142658308717795
2021-12-01,Excl. energy & food,5.504549826144866
2021-11-01,Weighted median,3.530197358658566
