date,code,label,index,One month,Three months,Six months,One year
2025-12-01,000000,Overall index,129.72245,0.6151655113521892,1.571186711321082,2.0186407239288107,1.9520958375612882
2025-12-01,FOOD00,Food incl. alcohol and tobacco,143.35625,2.038543472511245,1.2282643500654888,2.20354943220884,2.5208663954970256
2025-12-01,FOODPR,Processed food incl. alcohol and tobacco,141.69225,0.45191075129722424,0.9027512689216088,1.8468460625445715,2.0531597119912384
2025-12-01,FOODUN,Unprocessed food,147.74187,7.7386778718482985,2.3642285330599533,3.451774830470744,4.172002764253091
2025-12-01,GOODS0,Goods,129.89924,-1.5022061297687461,0.09887610855832119,1.0030081275517633,0.7483107108490106
2025-12-01,IGOODS,Industrial goods,123.15338,-3.4505118227774023,-0.5345139922653286,0.3316622034330585,-0.22976903197582502
2025-12-01,IGXE00,Industrial goods excluding energy,114.82086,-1.1042914621338662,-0.6167672230636412,0.30104153459789007,0.39400987477247323
2025-12-01,SERV00,Services,128.1594,3.133724973732721,3.3135110847502203,3.2163235515451305,3.385328749702029
2025-12-01,XEF000,All-items excluding energy and food,123.18904,1.6165100698450674,1.9050969671195572,2.1734641434590474,2.309841861586892
2025-12-01,NRGY00,Energy,144.26,-9.686347256528915,-0.3044243131053337,0.4172167085713552,-1.9306594153637007
2025-11-01,000000,Overall index,129.65617,2.2452787547548647,1.9531246990514228,2.402146838089725,2.137402102630559
2025-11-01,FOOD00,Food incl. alcohol and tobacco,143.11537,1.009228365701853,1.2050932657665214,2.3003041359874743,2.385878475934895
2025-11-01,FOODPR,Processed food incl. alcohol and tobacco,141.63902,0.8359920722961656,1.6742757208309644,2.047520816066939,2.1746160688657534
2025-11-01,FOODUN,Unprocessed food,146.82701,1.6142914501539485,-0.40608474946318696,3.1870014318246875,3.1287568696543353
2025-11-01,GOODS0,Goods,130.06319,2.294507770187315,0.893695845066822,1.5407302598969386,1.0309000470342113
2025-11-01,IGOODS,Industrial goods,123.51428,3.027589858138602,0.7184622209094993,1.115746240772597,0.28260185971460255
2025-11-01,IGXE00,Industrial goods excluding energy,114.92716,0.005220845687170517,-0.038832565938362595,0.5805162110729345,0.5561567472372361
2025-11-01,SERV00,Services,127.83028,2.188037152212452,3.2046615473498186,3.4193400440509114,3.4574525986961104
2025-11-01,XEF000,All-items excluding energy and food,123.02453,1.4103913066801255,2.042914963537368,2.40193457946849,2.4133770154451017
2025-11-01,NRGY00,Energy,145.49,11.929634848485282,2.8541653687652824,2.62104740299669,-0.48563611491106673
2025-10-01,000000,Overall index,129.41648,1.860281134835584,1.7701083887244007,1.8379689053492854,2.091923727007196
2025-10-01,FOOD00,Food incl. alcohol and tobacco,142.99566,0.6421874242007242,1.805727699877524,2.817895292393713,2.4677564311933797
2025-10-01,FOODPR,Processed food incl. alcohol and tobacco,141.54079,1.4227184310605878,2.2611402490589683,2.8437322127932374,2.279740103673804
2025-10-01,FOODUN,Unprocessed food,146.6312,-2.0243353739978542,0.24019976700615508,2.7280466504965073,3.1288370569269746
2025-10-01,GOODS0,Goods,129.81754,-0.45744501602379417,0.05634504233504867,1.0335676953931339,1.023019475120152
2025-10-01,IGOODS,Industrial goods,123.20766,-1.073257024082952,-0.9159935655665974,0.04533726761022372,0.2250123138133166
2025-10-01,IGXE00,Industrial goods excluding energy,114.92666,-0.7480063564275108,0.0592597167117237,0.6902868950160013,0.6320838206523522
2025-10-01,SERV00,Services,127.59992,4.633463802598348,3.812463682651579,2.7869171676901283,3.3657898876763097
2025-10-01,XEF000,All-items excluding energy and food,122.88103,2.6930341985403894,2.463961893610378,2.0372487399200834,2.382011511380938
2025-10-01,NRGY00,Energy,144.13,-1.9767354928384884,-3.5809952781817866,-1.7257585834166367,-0.927962606543851
2025-09-01,000000,Overall index,129.21785,1.7544680974407534,2.4680659165520424,1.7393581787849888,2.2502228501635804
2025-09-01,FOOD00,Food incl. alcohol and tobacco,142.9194,1.9684898401904682,3.1882309116683105,2.9636571135571055,3.015842536466558
2025-09-01,FOODPR,Processed food incl. alcohol and tobacco,141.37426,2.7738059956828875,2.7997742622752897,2.5874657447646054,2.5419735235419725
2025-09-01,FOODUN,Unprocessed food,146.88131,-0.7740179558951232,4.550875525017717,4.285567707536231,4.694301496085906
2025-09-01,GOODS0,Goods,129.86715,0.8627935401738229,1.9153066189327106,0.36304785438177056,1.3804262396131095
2025-09-01,IGOODS,Industrial goods,123.3185,0.24437390154887773,1.205381329167876,-1.061771002012779,0.47906576472326723
2025-09-01,IGXE00,Industrial goods excluding energy,114.99859,0.6310597653164995,1.2273262986450595,0.7826785183351559,0.7718782373362768
2025-09-01,SERV00,Services,127.11921,2.8080879485372856,3.119227443135375,3.385069312861866,3.2866601264375657
2025-09-01,XEF000,All-items excluding energy and food,122.60921,2.029351020523662,2.442538065029898,2.4497362812888834,2.381100298719934
2025-09-01,NRGY00,Energy,144.37,-0.8274673646712527,1.1440812896746255,-5.954171613116166,-0.37264509005589125
2025-08-01,000000,Overall index,129.0307,1.6956443163158585,2.853146561257347,1.5456361803735996,2.0726981813786303
2025-08-01,FOOD00,Food incl. alcohol and tobacco,142.68742,2.8183387944265226,3.407367046570675,3.193772471370382,3.206825473082632
2025-08-01,FOODPR,Processed food incl. alcohol and tobacco,141.05229,2.5921676848769337,2.422136089749105,2.4463607173227375,2.5695416383038605
2025-08-01,FOODUN,Unprocessed food,146.97645,3.605341457216249,6.909716700127411,5.844475727328535,5.473040574588628
2025-08-01,GOODS0,Goods,129.77421,-0.23134271665539163,2.191914126587924,-0.06340308514787285,1.1403778538672293
