date,Shelter,Rent of primary residence,Apartment list,Zillow
2025-03-01,3.9959182023925,3.99220398762659,NA,NA
2025-02-01,4.24346846389638,4.08729102654054,NA,3.4514821864161154
2025-01-01,4.39758713751635,4.24394546483911,-0.52,3.484741043244489
2024-12-01,NA,NA,-0.5599999999999999,3.416970793644896
2024-11-01,NA,NA,-0.6799999999999999,3.424991190400527
2024-10-01,NA,NA,-0.76,3.3032631337366087
2024-09-01,NA,NA,-0.77,3.3222322913521873
2024-08-01,NA,NA,-0.8200000000000001,3.3446220679869345
2024-07-01,NA,NA,-0.8099999999999999,3.411452542147332
2024-06-01,NA,NA,-0.8,3.464632246309817
2024-05-01,NA,NA,-0.77,3.3113412277103813
2024-04-01,NA,NA,-0.77,3.321269608868358
2024-03-01,NA,NA,-0.8,3.2632035024996062
2024-02-01,NA,NA,-0.8500000000000001,3.298876349378885
2024-01-01,NA,NA,-0.8699999999999999,3.210000040201811
2023-12-01,NA,NA,-0.95,3.1487734087767256
2023-11-01,NA,NA,-1.0999999999999999,3.1535158199090656
2023-10-01,NA,NA,-1.28,3.0998886841655673
2023-09-01,NA,NA,-1.43,3.030525133272527
2023-08-01,NA,NA,-1.31,3.0962382999944804
2023-07-01,NA,NA,-0.89,3.403644230369418
2023-06-01,NA,NA,-0.13,3.93551240504691
2023-05-01,NA,NA,0.88,4.772819875044384
2023-04-01,NA,NA,1.7000000000000002,5.309275786323537
2023-03-01,NA,NA,2.33,5.91168282857117
2023-02-01,NA,NA,2.65,6.161289488471857
2023-01-01,NA,NA,3,6.71348023635145
2022-12-01,NA,NA,3.55,7.277390002209446
2022-11-01,NA,NA,4.06,8.060269635186936
2022-10-01,NA,NA,5.4,9.042627169313816
2022-09-01,NA,NA,7.26,10.275925491877299
2022-08-01,NA,NA,10.03,11.711005003758638
2022-07-01,NA,NA,12.41,13.088183218272409
2022-06-01,NA,NA,14.360000000000001,14.1842640045112
2022-05-01,NA,NA,15.72,14.963848835853236
2022-04-01,NA,NA,16.61,15.512722261405695
2022-03-01,NA,NA,17.01,15.627303503110182
2022-02-01,NA,NA,17.37,15.748355417142893
2022-01-01,NA,NA,17.51,15.618145594684469
2021-12-01,NA,NA,17.72,15.446948719897
2021-11-01,NA,NA,17.88,14.969255673935391
2021-10-01,NA,NA,17.19,14.208927342757786
2021-09-01,NA,NA,15.82,12.979453137223478
2021-08-01,NA,NA,13.36,11.182025669945721
2021-07-01,NA,NA,10.93,9.299983209605788
2021-06-01,NA,NA,8.42,7.53769949301449
2021-05-01,NA,NA,5.220000000000001,5.52604878274725
2021-04-01,NA,NA,2.4899999999999998,3.720979964203049
2021-03-01,NA,NA,0.58,2.453602691572171
2021-02-01,NA,NA,-0.24,1.9885037553352274
2021-01-01,NA,NA,-0.5700000000000001,1.764923951640262
2020-12-01,NA,NA,-0.8699999999999999,1.629684970430334
2020-11-01,NA,NA,-0.8099999999999999,1.562293847713459
2020-10-01,NA,NA,-0.91,1.577375381973715
2020-09-01,NA,NA,-1.08,1.6806160484620574
2020-08-01,NA,NA,-1.39,1.8437244679152247
2020-07-01,NA,NA,-1.55,1.9666839640319334
2020-06-01,NA,NA,-1.43,2.0224139050177086
2020-05-01,NA,NA,-0.26,2.56792007722716
2020-04-01,NA,NA,1.15,3.3444866388557655
2020-03-01,NA,NA,2.39,4.03147617846203
2020-02-01,NA,NA,2.64,4.203687009932143
2020-01-01,NA,NA,2.56,4.076447602205235
2019-12-01,NA,NA,2.4699999999999998,4.030235828446167
2019-11-01,NA,NA,2.5,4.099921714469823
2019-10-01,NA,NA,2.55,4.217632875319185
2019-09-01,NA,NA,2.7,4.255483430695084
2019-08-01,NA,NA,2.87,4.226815693157296
2019-07-01,NA,NA,3.02,4.25001617499777
2019-06-01,NA,NA,3.09,4.233722511984425
2019-05-01,NA,NA,3.16,4.220679686810917
2019-04-01,NA,NA,3.32,4.123386803787602
2019-03-01,NA,NA,3.4299999999999997,4.11617621461424
2019-02-01,NA,NA,3.5000000000000004,4.093900077421722
2019-01-01,NA,NA,3.42,4.218485223117876
