date,All items,Food including alcohol and tobacco,Non-energy industrial goods,Energy,Services
Feb 2023,8.503283788454885,3.0005789473684206,1.7798954827280797,1.3994263598770005,2.0967924397833384
Jan 2023,8.641544545243072,2.813661338661339,1.7664329207092675,1.9335321926072178,1.8994446116448642
Dec 2022,9.204386374241718,2.876648321131027,1.7033399498309525,2.7900966577384416,1.831684405367884
Nov 2022,10.051546391752575,2.8457115286947654,1.630283717374689,3.8132363253856925,1.7643583061889256
Oct 2022,10.61426217933631,2.7435144095893893,1.6131075304176248,4.536633782483156,1.8094616813748234
Sep 2022,9.933539045810575,2.4561554192229047,1.4669297703180186,4.4497738246505705,1.7762134975026145
Aug 2022,9.13318230594968,2.218949948927479,1.3604095378008836,4.222474558804587,1.572937196952203
Jul 2022,8.85379277339077,2.0510940980668293,1.1831601359003392,4.326221383975027,1.558554487550668
Jun 2022,8.643156007172731,1.8587912932138293,1.140252487287199,4.593095301300769,1.4007012956694271
May 2022,8.054656598345916,1.5644642126789365,1.1181622578859998,4.277978494623654,1.4495492561789851
Apr 2022,7.451027520730685,1.324396054822596,1.011814087631724,4.1022660165244496,1.3642546649454321
Mar 2022,7.4450084602369,1.041574023965985,0.900252847889209,4.844028099849951,1.1149572085347146
Feb 2022,5.88020007319752,0.867526892815684,0.8233278538812783,3.492950888484679,1.0334073461674709
Jan 2022,5.110024449877759,0.7372235294117658,0.5616645029039972,3.1446906779661026,0.9723053778725416
Dec 2021,4.958981266070769,0.7092022940563086,0.7790378184266631,2.460586363636364,1.0212600142213806
Nov 2021,4.864864864864857,0.4801297690111609,0.6315491226109292,2.612736512667662,1.1397820267686358
Oct 2021,4.052895800171425,0.42441497659906396,0.5385010062611826,2.2516328322667074,0.867678084627237
Sep 2021,3.361138370951925,0.44277308294209355,0.5704235453315276,1.6684302360322687,0.7266962892933105
Aug 2021,2.9585072428185746,0.4307458333333322,0.6860053308610462,1.467487061273052,0.4786940681924354
Jul 2021,2.1760391198044027,0.35107792376739805,0.18408437856328216,1.3631719470474477,0.35666152768044346
