date,1,2,3,4,5,6,7,8,9,10,Period,Quarter points,Popup,implied_rate_moves,geo,MPR implied
2024-07-12,-0.7000000000000455,0,0,0,0,0,0,0,0,0,End 2026,1,2024-07-12,-0.7000000000000455,Fed,NA
2024-07-19,-0.6999999999999886,0,0,0,0,0,0,0,0,0,End 2026,1,2024-07-19,-0.6999999999999886,Fed,NA
2024-07-26,-0.7400000000000091,0,0,0,0,0,0,0,0,0,End 2026,1,2024-07-26,-0.7400000000000091,Fed,NA
2024-08-02,-0.19999999999998863,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-02,-0.19999999999998863,Fed,NA
2024-08-09,-0.2799999999999727,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-09,-0.2799999999999727,Fed,NA
2024-08-16,-0.4399999999999977,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-16,-0.4399999999999977,Fed,NA
2024-08-23,-0.3199999999999932,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-23,-0.3199999999999932,Fed,NA
2024-08-30,-0.2599999999999909,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-30,-0.2599999999999909,Fed,NA
2024-09-06,0.1400000000000432,0,0,0,0,0,0,0,0,0,End 2026,0,2024-09-06,0.1400000000000432,Fed,NA
2024-09-13,0.1400000000000432,0,0,0,0,0,0,0,0,0,End 2026,0,2024-09-13,0.1400000000000432,Fed,NA
2024-09-20,0.2400000000000091,0,0,0,0,0,0,0,0,0,End 2026,0,2024-09-20,0.2400000000000091,Fed,NA
2024-09-27,0.3199999999999932,0,0,0,0,0,0,0,0,0,End 2026,0,2024-09-27,0.3199999999999932,Fed,NA
2024-10-04,-0.15999999999996817,0,0,0,0,0,0,0,0,0,End 2026,0,2024-10-04,-0.15999999999996817,Fed,NA
2024-10-11,-0.07999999999998408,0,0,0,0,0,0,0,0,0,End 2026,0,2024-10-11,-0.07999999999998408,Fed,NA
2024-10-18,-0.12000000000000455,0,0,0,0,0,0,0,0,0,End 2026,0,2024-10-18,-0.12000000000000455,Fed,NA
2024-10-25,-0.01999999999998181,0,0,0,0,0,0,0,0,0,End 2026,0,2024-10-25,-0.01999999999998181,Fed,NA
2024-11-01,0.03999999999996362,0,0,0,0,0,0,0,0,0,End 2026,0,2024-11-01,0.03999999999996362,Fed,NA
2024-11-08,-0.2999999999999545,0,0,0,0,0,0,0,0,0,End 2026,0,2024-11-08,-0.2999999999999545,Fed,NA
2024-11-15,-0.22000000000002728,0,0,0,0,0,0,0,0,0,End 2026,0,2024-11-15,-0.22000000000002728,Fed,NA
2024-11-22,-0.5,0,0,0,0,0,0,0,0,0,End 2026,0,2024-11-22,-0.5,Fed,NA
2024-11-29,-0.660000000000025,0,0,0,0,0,0,0,0,0,End 2026,1,2024-11-29,-0.660000000000025,Fed,NA
2024-12-06,-0.4399999999999977,0,0,0,0,0,0,0,0,0,End 2026,0,2024-12-06,-0.4399999999999977,Fed,NA
2024-12-13,-0.22000000000002728,0,0,0,0,0,0,0,0,0,End 2026,0,2024-12-13,-0.22000000000002728,Fed,NA
2024-12-20,-0.12000000000000455,0,0,0,0,0,0,0,0,0,End 2026,0,2024-12-20,-0.12000000000000455,Fed,NA
2024-12-27,0.13999999999998636,0,0,0,0,0,0,0,0,0,End 2026,0,2024-12-27,0.13999999999998636,Fed,NA
2025-01-03,0.060000000000002274,0,0,0,0,0,0,0,0,0,End 2026,0,2025-01-03,0.060000000000002274,Fed,NA
2025-01-10,0.36000000000001364,0,0,0,0,0,0,0,0,0,End 2026,0,2025-01-10,0.36000000000001364,Fed,NA
2025-01-17,0.0999999999999659,0,0,0,0,0,0,0,0,0,End 2026,0,2025-01-17,0.0999999999999659,Fed,NA
2025-01-24,0.18000000000000682,0,0,0,0,0,0,0,0,0,End 2026,0,2025-01-24,0.18000000000000682,Fed,NA
2025-01-31,0.060000000000002274,0,0,0,0,0,0,0,0,0,End 2026,0,2025-01-31,0.060000000000002274,Fed,NA
2025-02-07,-0.2799999999999727,0,0,0,0,0,0,0,0,0,End 2026,0,2025-02-07,-0.2799999999999727,Fed,NA
2025-02-14,-0.2400000000000091,0,0,0,0,0,0,0,0,0,End 2026,0,2025-02-14,-0.2400000000000091,Fed,NA
2025-02-21,-0.28000000000002956,0,0,0,0,0,0,0,0,0,End 2026,0,2025-02-21,-0.28000000000002956,Fed,NA
2024-06-07,-0.45999999999997954,0,0,0,0,0,0,0,0,0,End 2025,0,2024-06-07,-0.45999999999997954,ECB,NA
2024-06-14,-1,-0.5400000000000205,0,0,0,0,0,0,0,0,End 2025,2,2024-06-14,-1.5400000000000205,ECB,NA
2024-06-21,-1,-0.4399999999999977,0,0,0,0,0,0,0,0,End 2025,1,2024-06-21,-1.4399999999999977,ECB,-3.5
2024-06-28,-1,-0.18000000000000682,0,0,0,0,0,0,0,0,End 2025,1,2024-06-28,-1.1800000000000068,ECB,-3.5
2024-07-05,-1,-0.19999999999998863,0,0,0,0,0,0,0,0,End 2025,1,2024-07-05,-1.1999999999999886,ECB,-3.5
2024-07-12,-1,-0.6200000000000045,0,0,0,0,0,0,0,0,End 2025,2,2024-07-12,-1.6200000000000045,ECB,-3.5
2024-07-19,-1,-1,0,0,0,0,0,0,0,0,End 2025,2,2024-07-19,-2,ECB,-3.5
2024-07-26,-1,-1,-0.339999999999975,0,0,0,0,0,0,0,End 2025,2,2024-07-26,-2.339999999999975,ECB,-4
2024-08-02,-1,-1,-1,-0.2599999999999909,0,0,0,0,0,0,End 2025,3,2024-08-02,-3.259999999999991,ECB,-4
2024-08-09,-1,-1,-1,-0.22000000000002728,0,0,0,0,0,0,End 2025,3,2024-08-09,-3.2200000000000273,ECB,-4
2024-08-16,-1,-1,-1,-0.01999999999998181,0,0,0,0,0,0,End 2025,3,2024-08-16,-3.019999999999982,ECB,-4
2024-08-23,-1,-1,-1,-0.36000000000001364,0,0,0,0,0,0,End 2025,3,2024-08-23,-3.3600000000000136,ECB,-4
2024-08-30,-1,-1,-1,-0.30000000000001137,0,0,0,0,0,0,End 2025,3,2024-08-30,-3.3000000000000114,ECB,-4
2024-09-06,-1,-1,-1,-1,-0.040000000000020464,0,0,0,0,0,End 2025,4,2024-09-06,-4.0400000000000205,ECB,-4
2024-09-13,-1,-1,-1,-1,-0.2599999999999909,0,0,0,0,0,End 2025,4,2024-09-13,-4.259999999999991,ECB,-4
2024-09-20,-1,-1,-1,-1,0,0,0,0,0,0,End 2025,4,2024-09-20,-4,ECB,-4
2024-09-27,-1,-1,-1,-1,-0.7400000000000091,0,0,0,0,0,End 2025,5,2024-09-27,-4.740000000000009,ECB,-4
2024-10-04,-1,-1,-1,-1,-0.01999999999998181,0,0,0,0,0,End 2025,4,2024-10-04,-4.019999999999982,ECB,-4
2024-10-11,-1,-1,-1,-0.8199999999999932,0,0,0,0,0,0,End 2025,4,2024-10-11,-3.819999999999993,ECB,-4
2024-10-18,-1,-1,-1,-1,-0.6399999999999864,0,0,0,0,0,End 2025,5,2024-10-18,-4.639999999999986,ECB,-4
2024-10-25,-1,-1,-1,-1,-0.39999999999997726,0,0,0,0,0,End 2025,4,2024-10-25,-4.399999999999977,ECB,-3.5
2024-11-01,-1,-1,-1,-0.8199999999999932,0,0,0,0,0,0,End 2025,4,2024-11-01,-3.819999999999993,ECB,-3.5
2024-11-08,-1,-1,-1,-1,-0.18000000000000682,0,0,0,0,0,End 2025,4,2024-11-08,-4.180000000000007,ECB,-3.5
2024-11-15,-1,-1,-1,-1,-0.5199999999999818,0,0,0,0,0,End 2025,5,2024-11-15,-4.519999999999982,ECB,-3.5
2024-11-22,-1,-1,-1,-1,-0.7200000000000273,0,0,0,0,0,End 2025,5,2024-11-22,-4.720000000000027,ECB,-3.5
2024-11-29,-1,-1,-1,-1,-0.9399999999999977,0,0,0,0,0,End 2025,5,2024-11-29,-4.939999999999998,ECB,-3.5
2024-12-06,-1,-1,-1,-1,-0.7400000000000091,0,0,0,0,0,End 2025,5,2024-12-06,-4.740000000000009,ECB,-3.5
2024-12-13,-1,-1,-1,-1,-0.5,0,0,0,0,0,End 2025,4,2024-12-13,-4.5,ECB,-3.5
2024-12-20,-1,-1,-1,-1,-0.5400000000000205,0,0,0,0,0,End 2025,5,2024-12-20,-4.5400000000000205,ECB,-3.5
2024-12-27,-1,-1,-1,-1,-0.339999999999975,0,0,0,0,0,End 2025,4,2024-12-27,-4.339999999999975,ECB,-3.5
2025-01-03,-1,-1,-1,-0.9800000000000182,0,0,0,0,0,0,End 2025,4,2025-01-03,-3.980000000000018,ECB,-3.5
2025-01-10,-1,-1,-1,-0.4800000000000182,0,0,0,0,0,0,End 2025,3,2025-01-10,-3.480000000000018,ECB,-3.5
2025-01-17,-1,-1,-1,-0.7200000000000273,0,0,0,0,0,0,End 2025,4,2025-01-17,-3.7200000000000273,ECB,-3.5
2025-01-24,-1,-1,-1,-0.339999999999975,0,0,0,0,0,0,End 2025,3,2025-01-24,-3.339999999999975,ECB,-3.5
2025-01-31,-1,-1,-1,-1,-0.060000000000002274,0,0,0,0,0,End 2025,4,2025-01-31,-4.060000000000002,ECB,-3.5
2025-02-07,-1,-1,-1,-1,-0.2599999999999909,0,0,0,0,0,End 2025,4,2025-02-07,-4.259999999999991,ECB,-3.5
2025-02-14,-1,-1,-1,-1,-0.01999999999998181,0,0,0,0,0,End 2025,4,2025-02-14,-4.019999999999982,ECB,-3.5
2025-02-21,-1,-1,-1,-1,-0.01999999999998181,0,0,0,0,0,End 2025,4,2025-02-21,-4.019999999999982,ECB,-3.5
2024-06-07,-0.8600000000000136,0,0,0,0,0,0,0,0,0,End 2026,1,2024-06-07,-0.8600000000000136,ECB,NA
2024-06-14,-0.6200000000000045,0,0,0,0,0,0,0,0,0,End 2026,1,2024-06-14,-0.6200000000000045,ECB,NA
2024-06-21,-0.5400000000000205,0,0,0,0,0,0,0,0,0,End 2026,1,2024-06-21,-0.5400000000000205,ECB,NA
2024-06-28,-0.5,0,0,0,0,0,0,0,0,0,End 2026,0,2024-06-28,-0.5,ECB,NA
2024-07-05,-0.5799999999999841,0,0,0,0,0,0,0,0,0,End 2026,1,2024-07-05,-0.5799999999999841,ECB,NA
2024-07-12,-0.39999999999997726,0,0,0,0,0,0,0,0,0,End 2026,0,2024-07-12,-0.39999999999997726,ECB,NA
2024-07-19,-0.339999999999975,0,0,0,0,0,0,0,0,0,End 2026,0,2024-07-19,-0.339999999999975,ECB,NA
2024-07-26,-0.22000000000002728,0,0,0,0,0,0,0,0,0,End 2026,0,2024-07-26,-0.22000000000002728,ECB,NA
2024-08-02,-0.10000000000002274,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-02,-0.10000000000002274,ECB,NA
2024-08-09,-0.03999999999996362,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-09,-0.03999999999996362,ECB,NA
2024-08-16,-0.160000000000025,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-16,-0.160000000000025,ECB,NA
2024-08-23,-0.01999999999998181,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-23,-0.01999999999998181,ECB,NA
2024-08-30,0.060000000000002274,0,0,0,0,0,0,0,0,0,End 2026,0,2024-08-30,0.060000000000002274,ECB,NA
2024-09-06,0.2400000000000091,0,0,0,0,0,0,0,0,0,End 2026,0,2024-09-06,0.2400000000000091,ECB,NA
2024-09-13,0.339999999999975,0,0,0,0,0,0,0,0,0,End 2026,0,2024-09-13,0.339999999999975,ECB,NA
2024-09-20,0.36000000000001364,0,0,0,0,0,0,0,0,0,End 2026,0,2024-09-20,0.36000000000001364,ECB,NA
2024-09-27,0.6399999999999864,0,0,0,0,0,0,0,0,0,End 2026,1,2024-09-27,0.6399999999999864,ECB,NA
2024-10-04,0.4399999999999977,0,0,0,0,0,0,0,0,0,End 2026,0,2024-10-04,0.4399999999999977,ECB,NA
2024-10-11,0.39999999999997726,0,0,0,0,0,0,0,0,0,End 2026,0,2024-10-11,0.39999999999997726,ECB,NA
2024-10-18,0.5199999999999818,0,0,0,0,0,0,0,0,0,End 2026,1,2024-10-18,0.5199999999999818,ECB,NA
2024-10-25,0.67999999999995,0,0,0,0,0,0,0,0,0,End 2026,1,2024-10-25,0.67999999999995,ECB,NA
2024-11-01,0.5600000000000023,0,0,0,0,0,0,0,0,0,End 2026,1,2024-11-01,0.5600000000000023,ECB,NA
2024-11-08,0.6800000000000068,0,0,0,0,0,0,0,0,0,End 2026,1,2024-11-08,0.6800000000000068,ECB,NA
2024-11-15,0.6800000000000068,0,0,0,0,0,0,0,0,0,End 2026,1,2024-11-15,0.6800000000000068,ECB,NA
2024-11-22,0.7400000000000091,0,0,0,0,0,0,0,0,0,End 2026,1,2024-11-22,0.7400000000000091,ECB,NA
2024-11-29,0.45999999999997954,0,0,0,0,0,0,0,0,0,End 2026,0,2024-11-29,0.45999999999997954,ECB,NA
2024-12-06,0.2599999999999909,0,0,0,0,0,0,0,0,0,End 2026,0,2024-12-06,0.2599999999999909,ECB,NA
2024-12-13,0.39999999999997726,0,0,0,0,0,0,0,0,0,End 2026,0,2024-12-13,0.39999999999997726,ECB,NA
2024-12-20,0.5600000000000023,0,0,0,0,0,0,0,0,0,End 2026,1,2024-12-20,0.5600000000000023,ECB,NA
2024-12-27,0.7599999999999909,0,0,0,0,0,0,0,0,0,End 2026,1,2024-12-27,0.7599999999999909,ECB,NA
2025-01-03,0.5400000000000205,0,0,0,0,0,0,0,0,0,End 2026,1,2025-01-03,0.5400000000000205,ECB,NA
2025-01-10,0.6400000000000432,0,0,0,0,0,0,0,0,0,End 2026,1,2025-01-10,0.6400000000000432,ECB,NA
2025-01-17,0.5400000000000205,0,0,0,0,0,0,0,0,0,End 2026,1,2025-01-17,0.5400000000000205,ECB,NA
