date,Personal consumption expenditures,Goods,Services (excl. housing),Housing
2024-07-01,2.4964070015701156,-0.006495226519597681,1.9516225246869492,0.8175192512739753
2024-06-01,2.467123048385884,-0.07985167961565509,1.9942405727902779,0.8307379943428647
2024-05-01,2.5762372937843683,-0.046464063589986546,2.0529032182199503,0.8594118425907351
2024-04-01,2.677387337042191,0.031733008446332034,2.0737837264338665,0.8752238131100725
2024-03-01,2.7206559022839416,0.04753351397807994,2.090056210544571,0.8962313511612007
2024-02-01,2.496942690097674,-0.07357158253991088,2.0183938840682645,0.9062060081318836
2024-01-01,2.482963759652468,-0.17567147743337505,2.0901048360785692,0.9502260565909425
2023-12-01,2.6193936526176986,0.05375295307984691,1.9963675704961563,0.9728501814616844
2023-11-01,2.702702702702709,-0.033959429055432463,2.1347188299771527,1.0339851713546955
2023-10-01,2.9420749817552307,0.08055750923901733,2.2272613047196828,1.0657632617301662
2023-09-01,3.369589307329051,0.3059930416116218,2.3750934930243788,1.0977712230775485
2023-08-01,3.3475917529301022,0.23431665619639697,2.41829012151743,1.1399423637615018
2023-07-01,3.3147084824608917,-0.06411193708268798,2.64525547096919,1.1868900674647413
2023-06-01,3.1984205330700877,-0.12847346329512538,2.6141473749121023,1.2165293700830115
2023-05-01,3.9620255357483134,0.39098326779343795,2.7795028858453237,1.2541146830157104
2023-04-01,4.446419081967783,0.7262622969737691,2.8866866413095984,1.2615679013815555
2023-03-01,4.4422697167223,0.6538583169175702,2.9515436136745747,1.249499313962194
2023-02-01,5.189610206527103,1.2078403901230315,3.07908661868624,1.2360601535891822
2023-01-01,5.479087823166032,1.4967827924638497,3.074942970737543,1.1938468136548155
2022-12-01,5.441910192444765,1.5955289200881213,2.9652693053690307,1.1682343972574631
2022-11-01,5.928570147272499,2.0910550366417158,2.955683022763024,1.0983114901760902
2022-10-01,6.347917117897617,2.491425221252434,2.9770246331329644,1.0467701406566263
2022-09-01,6.556096497602083,2.772164128668875,2.9249254668051328,1.0112725114495067
2022-08-01,6.515400036449797,2.936845931571157,2.7727919071951224,0.9485646822346389
2022-07-01,6.616947291361634,3.268032465165651,2.6065061795806774,0.8808259828331748
2022-06-01,7.116914164865992,3.6454019080727367,2.7177314499341527,0.817286337217023
2022-05-01,6.689955363331397,3.359217771408849,2.60059432372164,0.7566902350965186
2022-04-01,6.619791569913243,3.334570948786972,2.569821693698386,0.7075379819376353
2022-03-01,6.8929445388825545,3.6389952310159885,2.5522584217654183,0.6676495377921621
2022-02-01,6.547004374683153,3.301557741037269,2.530774337365873,0.6384153831496964
2022-01-01,6.29704649300485,3.0525664312777328,2.527425422383443,0.602791359786392
2021-12-01,6.18029080382567,2.912335334414047,2.538161318935657,0.5564983672785592
2021-11-01,5.985912145783622,2.8265069976441852,2.4574013410058604,0.5176508253629173
2021-10-01,5.406947985236494,2.543119441633273,2.2249884327463922,0.4627812994226429
2021-09-01,4.805422283146753,2.0761433012076194,2.1084893920777827,0.43074837544340755
2021-08-01,4.644842613164991,1.9018331558811803,2.1188303935179693,0.38035227334283067
2021-07-01,4.533149673333912,1.8312137048869,2.0836745626879174,0.3610844466097423
2021-06-01,4.372402806168963,1.8441881568536236,1.9535661062406409,0.3502708601287027
2021-05-01,4.155356627201842,1.7496961606525883,1.8565115074746268,0.3217870422381881
2021-04-01,3.724613665266484,1.4290839872309629,1.7663225126084199,0.3116820904446521
2021-03-01,2.713022122450549,0.8132901602961949,1.4466205544869766,0.30990540090808255
2021-02-01,1.8852043500301323,0.28443506034586175,1.2059365585300394,0.3282298867970648
2021-01-01,1.6150031591644465,0.14427735659962096,1.0965634155796335,0.3230130473081372
2020-12-01,1.3664870255652914,-0.039856727239737114,1.04753450628443,0.35209228229617323
2020-11-01,1.153879438829969,-0.18659370259347038,1.001319616179098,0.37073776090239585
2020-10-01,1.11868873904637,-0.23783166420832688,1.0113256239909176,0.4022538663443522
2020-09-01,1.2471808315823938,-0.16208893091440293,1.0439309003646304,0.40093306060136025
2020-08-01,1.1653370119910076,-0.13710700411298934,0.9549155484728626,0.4370920977204517
2020-07-01,0.9005096131572781,-0.35835304074152596,0.9128869873452817,0.4591391452075834
2020-06-01,0.7055253264262764,-0.5051048451324703,0.8727039311822401,0.4732843833477604
2020-05-01,0.44862993831338216,-0.7613087829095991,0.8570281352039462,0.5392257671540441
2020-04-01,0.4111404552534187,-0.6742307094081115,0.8003465931854555,0.5839987571451998
2020-03-01,1.1469492314857963,-0.30095635461395676,1.0877293749907198,0.5416814414152064
2020-02-01,1.642005794170838,0.07721958624230546,1.231782503969269,0.5132804213128915
2020-01-01,1.697918492123761,0.15473965415291732,1.2146880761413135,0.5193631489167378
2019-12-01,1.539420258809557,0.11548019540206893,1.1159635903567497,0.5097410406315905
2019-11-01,1.331969209782719,-0.08878132692182164,1.114360387649983,0.5071331173500988
2019-10-01,1.331448901018568,-0.1880316402771707,1.1943690731452408,0.5185897622477413
2019-09-01,1.3044582007069054,-0.19566363807683734,1.1766801615438849,0.5316119356623848
2019-08-01,1.4216108328115244,-0.1338168622714182,1.2165094771641658,0.5212752897685996
2019-07-01,1.4402224463221003,-0.13858307455204152,1.2328346382207065,0.5285481578383324
2019-06-01,1.4113634358858733,-0.15469349908611071,1.221787420499827,0.5355771754830876
2019-05-01,1.456724968364053,-0.10438226633973302,1.2166255799862136,0.5233555200396689
2019-04-01,1.5771475738458713,-0.06976537251099026,1.2861034507199633,0.5266428265428372
2019-03-01,1.5090027973681066,-0.056229857185085046,1.2232314486388387,0.519717432669263
