Item,One month,Three months,Six months,One year,Included,Excluded
Personal consumption expenditures,3.4184783282582343,2.451649267628442,2.8833809786511733,2.582496413199432,100,0
Market-based PCE,3.8789425484957007,2.6699514973469674,2.683938320285062,2.3423556794723113,86.2,13.8
PCE excluding energy,3.1319749884506143,2.4742923438262565,3.0713211275884333,2.747029138857236,96.4,3.6
PCE excluding food and energy,3.119932738589548,2.6278494309406764,3.17368383209764,2.7932413680515853,89,11
PCE services excluding energy,2.6022523272355214,2.267174986670706,3.23411740033146,3.3942824883564064,67.3,32.7
FT core,2.6699993012402925,2.591280549462068,3.0360658243210246,2.6691887802995273,,
