date,name,value
2023-02-01,Weighted median,6.0639411598047
2023-02-01,Prop. increasing,0.8983050847457628
2023-02-01,Volatility,3.059247134721165
2023-02-01,Excl. energy & food,4.855603371625705
2023-01-01,Weighted median,6.125200248614673
2023-01-01,Prop. increasing,0.9209039548022598
2023-01-01,Volatility,3.104973489459177
2023-01-01,Excl. energy & food,4.9376652139744195
2022-12-01,Weighted median,6.001259042283891
2022-12-01,Prop. increasing,0.8983050847457628
2022-12-01,Volatility,3.120710593152418
2022-12-01,Excl. energy & food,4.966881473370543
2022-11-01,Weighted median,6.823717290948196
2022-11-01,Prop. increasing,0.9096045197740112
2022-11-01,Volatility,3.155621071568972
2022-11-01,Excl. energy & food,5.208088832716444
2022-10-01,Weighted median,6.707018720767129
2022-10-01,Prop. increasing,0.9209039548022598
2022-10-01,Volatility,3.1455488912048755
2022-10-01,Excl. energy & food,5.459759683450096
2022-09-01,Weighted median,6.69295506272163
2022-09-01,Prop. increasing,0.9152542372881356
2022-09-01,Volatility,3.085244853742167
2022-09-01,Excl. energy & food,5.60647932798861
2022-08-01,Weighted median,6.31343098531677
2022-08-01,Prop. increasing,0.903954802259887
2022-08-01,Volatility,2.9832726687550992
2022-08-01,Excl. energy & food,5.362447330658346
2022-07-01,Weighted median,5.85189527159046
2022-07-01,Prop. increasing,0.8983050847457628
2022-07-01,Volatility,2.963928374460348
2022-07-01,Excl. energy & food,5.107374057840775
2022-06-01,Weighted median,5.495327768820315
2022-06-01,Prop. increasing,0.8983050847457628
2022-06-01,Volatility,2.9618049445902117
2022-06-01,Excl. energy & food,5.3156910950894645
2022-05-01,Weighted median,5.09880327824898
2022-05-01,Prop. increasing,0.8813559322033898
2022-05-01,Volatility,2.939348691403178
2022-05-01,Excl. energy & food,5.184136763522326
2022-04-01,Weighted median,4.78977512077512
2022-04-01,Prop. increasing,0.8926553672316384
2022-04-01,Volatility,2.9079750194261105
2022-04-01,Excl. energy & food,5.345023150300298
2022-03-01,Weighted median,4.52548448828873
2022-03-01,Prop. increasing,0.9152542372881356
2022-03-01,Volatility,2.850277709163301
2022-03-01,Excl. energy & food,5.593221924008486
2022-02-01,Weighted median,4.367431673042365
2022-02-01,Prop. increasing,0.9322033898305084
