Date,meeting,FOMC meeting,forecast_category, ,Probability,rate
2024-06-21,2024-11-07,Nov 2024,Cut,Superforecasters,24,5.375
2024-06-21,2024-11-07,Nov 2024,Cut,Market,78.838,5.375
2024-06-21,2024-11-07,Nov 2024,Hold,Superforecasters,76,5.375
2024-06-21,2024-11-07,Nov 2024,Hold,Market,21.1621,5.375
2024-06-22,2024-11-07,Nov 2024,Cut,Superforecasters,27,5.375
2024-06-22,2024-11-07,Nov 2024,Hold,Superforecasters,73,5.375
2024-06-23,2024-11-07,Nov 2024,Cut,Superforecasters,27,5.375
2024-06-23,2024-11-07,Nov 2024,Hold,Superforecasters,73,5.375
2024-06-24,2024-11-07,Nov 2024,Cut,Superforecasters,26,5.375
2024-06-24,2024-11-07,Nov 2024,Cut,Market,80.3972,5.375
2024-06-24,2024-11-07,Nov 2024,Hold,Superforecasters,74,5.375
2024-06-24,2024-11-07,Nov 2024,Hold,Market,19.602800000000002,5.375
2024-06-25,2024-11-07,Nov 2024,Cut,Superforecasters,25,5.375
2024-06-25,2024-11-07,Nov 2024,Cut,Market,79.3082,5.375
2024-06-25,2024-11-07,Nov 2024,Hold,Superforecasters,75,5.375
2024-06-25,2024-11-07,Nov 2024,Hold,Market,20.6918,5.375
2024-06-26,2024-11-07,Nov 2024,Cut,Superforecasters,28.000000000000004,5.375
2024-06-26,2024-11-07,Nov 2024,Cut,Market,76.07730000000001,5.375
2024-06-26,2024-11-07,Nov 2024,Hold,Superforecasters,72,5.375
2024-06-26,2024-11-07,Nov 2024,Hold,Market,23.9226,5.375
2024-06-27,2024-11-07,Nov 2024,Cut,Superforecasters,30,5.375
2024-06-27,2024-11-07,Nov 2024,Cut,Market,78.3898,5.375
2024-06-27,2024-11-07,Nov 2024,Hold,Superforecasters,70,5.375
2024-06-27,2024-11-07,Nov 2024,Hold,Market,21.6102,5.375
2024-06-28,2024-11-07,Nov 2024,Cut,Superforecasters,30,5.375
