date,Eurozone,United Kingdom,Japan,United States,type
2025-12-01,139.60211680853305,129.53181597237307,NA,NA,Index
2025-11-01,138.58280474558777,129.0646729548046,120.8040441723491,154.52632826374332,Index
2025-10-01,137.54128899683062,128.4480179414395,120.5514648511923,154.35741611141526,Index
2025-09-01,137.15988282626344,127.71480258924612,120.3862540236684,153.76480484971492,Index
2025-08-01,137.0317186938746,127.19708451608197,120.08595317847123,153.0441741998371,Index
2025-07-01,136.92027162223215,126.68125173672446,119.73666065460141,152.49320679387375,Index
2025-06-01,136.85957583244533,126.02672690863457,119.39689429047347,151.89642280113765,Index
2025-05-01,136.63153797816153,125.83385315528508,119.2540018943449,151.1003491741331,Index
2025-04-01,136.10619362814225,125.74663782440375,119.13614968953792,150.70652681897693,Index
2025-03-01,135.69683996114784,125.90615007430516,119.49632925311278,149.77959634669054,Index
2025-02-01,135.4460840499523,126.10263047667604,119.63005839082294,149.2804542601915,Index
2025-01-01,135.7132141078276,125.22105069882925,119.6658041711878,148.78064453672673,Index
2024-12-01,135.71767199069333,124.1175800368698,119.5850586267088,148.31062811285736,Index
2024-11-01,134.570967352009,123.74166884568379,119.4063297248845,148.19637873709792,Index
2024-10-01,133.7000513513815,123.0851767544913,119.27886063500472,147.5048737498498,Index
2024-09-01,133.42674884030748,122.26704121170293,119.17942567236541,147.15386361512066,Index
2024-08-01,132.86822755434545,122.25376218576046,119.1112002235472,146.5557443484531,Index
2024-07-01,132.52891408545247,122.44245550501694,119.05975896094091,145.9542034423362,Index
2024-06-01,131.90781098233734,122.29892726782401,118.91677583948147,145.73889052089035,Index
2024-05-01,131.12922459413977,122.5254904018053,118.99715848263698,145.29933503358214,Index
2024-04-01,130.9173037009858,122.82180940663245,119.04488000667736,144.8805597468321,Index
2024-03-01,130.30134430886955,122.09744673840072,119.1181860740246,144.68602702594438,Index
2024-02-01,129.7964890743292,121.13340584883714,118.88030425646961,144.4112109599284,Index
2024-01-01,130.36821255185504,121.68850192095044,118.76345003030227,143.80199222870573,Index
2023-12-01,130.22796069861883,121.49759543070357,118.5996000827415,143.30426887075885,Index
2023-11-01,129.27020171062682,120.62331092019552,118.52511458609287,143.27247266026626,Index
2023-10-01,129.19236021751038,120.90290818865071,118.43402635389411,143.2073780561082,Index
2023-09-01,129.1509533439694,121.63874655831418,118.28088199537663,143.4365444445928,Index
2023-08-01,129.0824562591676,121.58923710356576,118.11957235708039,143.61997770092535,Index
2023-07-01,129.25382756394703,121.43062651591968,117.91970445316214,143.79373022125492,Index
2023-06-01,129.2733736657428,121.71776495960142,117.7579411882115,143.86708683286378,Index
2023-05-01,129.344699791594,121.56890871817235,117.51797268804638,143.99510622104125,Index
2023-04-01,129.4009376985151,121.60136855936503,117.22901250920862,143.50155559413014,Index
2023-03-01,129.37299020208783,122.33384618789495,116.99875161944716,144.5143608711327,Index
2023-02-01,129.49455323869475,123.31526456819805,116.8150328244247,146.64921352365437,Index
2023-01-01,130.04493031557524,123.391905859903,116.66878359105374,146.79317274438853,Index
2022-12-01,130.53546888783538,123.4828098091017,116.59538679837566,146.888060648142,Index
2022-11-01,130.40696184137994,124.722923287395,116.52298798433716,147.8509600619567,Index
2022-10-01,130.51755162785594,126.301815865813,116.27485420439326,148.30996047589164,Index
2022-09-01,130.65446006894288,125.24703496564258,116.1213469445523,148.97859889706373,Index
2022-08-01,130.1877540243109,123.02484735267863,115.92782981379531,149.57262888731626,Index
2022-07-01,129.4105392923797,122.420077887225,115.68940364425508,149.81414655966674,Index
2022-06-01,128.56259853421383,121.81735765416991,115.39155238299153,149.82249202173827,Index
2022-05-01,128.02448063521402,121.576367924103,115.13171503536472,150.153389592875,Index
2022-04-01,127.32304991199968,121.66202583836147,114.90136342027238,150.56390287217422,Index
2022-03-01,126.40524041276565,121.20644049152068,114.6238346331249,150.36519742025075,Index
2022-02-01,125.84946243933636,120.15715153417833,114.35356387244744,150.11324792031087,Index
2022-01-01,125.66574622815959,119.69943498564307,114.05317230191937,149.43759931099868,Index
2021-12-01,125.2743098211446,119.9689500306975,113.70741806595369,148.6325125849568,Index
2021-11-01,124.5754509534297,119.41631303746243,113.47770152817746,147.56370925745418,Index
2021-10-01,123.70427776725221,118.75957503838214,113.25179545429802,146.35570362259818,Index
2021-09-01,123.0662004178408,117.70692533990619,112.88844050414251,145.22806478749115,Index
2021-08-01,122.8000133736486,116.36984218451452,112.60174845857661,144.06437355623507,Index
2021-07-01,121.94692890448387,115.969586112434,112.36141705708799,142.79828350536113,Index
2021-06-01,120.8971832181285,115.54195229550916,112.10811193328422,141.7232210813048,Index
2021-05-01,120.09382128861962,114.87291890203768,111.94462488704696,141.42971118024863,Index
2021-04-01,119.316949470755,114.45110490512464,111.49127040866317,139.5675047736043,Index
2021-03-01,118.65229628118267,113.93732135816566,111.16983056137204,137.22568466170836,Index
2021-02-01,118.08022988959026,113.36091326910766,110.81318928570133,135.6563205191545,Index
2021-01-01,117.55145639890507,112.88409787461813,110.42334253893023,134.0156861305097,Index
2020-12-01,116.72597651210101,111.73242926664531,109.96363728738518,132.447740716508,Index
2020-11-01,115.68986165989267,110.75707661424185,109.58132074307674,131.38102375452326,Index
