Central bank,date,Policy rate,Today,Last month,Start of year
BoJ,19191,-0.1,,,
BoJ,19192,-0.1,,,
BoJ,19193,-0.1,,,
BoJ,19194,-0.1,,,
BoJ,19195,-0.1,,,
BoJ,19196,-0.1,,,
BoJ,19197,-0.1,,,
BoJ,19198,-0.1,,,
BoJ,19199,-0.1,,,
BoJ,19200,-0.1,,,
BoJ,19201,-0.1,,,
BoJ,19202,-0.1,,,
BoJ,19203,-0.1,,,
BoJ,19204,-0.1,,,
BoJ,19205,-0.1,,,
BoJ,19206,-0.1,,,
BoJ,19207,-0.1,,,
BoJ,19208,-0.1,,,
BoJ,19209,-0.1,,,
BoJ,19210,-0.1,,,
BoJ,19211,-0.1,,,
BoJ,19212,-0.1,,,
BoJ,19213,-0.1,,,
BoJ,19214,-0.1,,,
BoJ,19215,-0.1,,,
BoJ,19216,-0.1,,,
BoJ,19217,-0.1,,,
BoJ,19218,-0.1,,,
BoJ,19219,-0.1,,,
BoJ,19220,-0.1,,,
BoJ,19221,-0.1,,,
BoJ,19222,-0.1,,,
BoJ,19223,-0.1,,,
BoJ,19224,-0.1,,,
BoJ,19225,-0.1,,,
BoJ,19226,-0.1,,,
BoJ,19227,-0.1,,,
BoJ,19228,-0.1,,,
BoJ,19229,-0.1,,,
BoJ,19230,-0.1,,,
BoJ,19231,-0.1,,,
BoJ,19232,-0.1,,,
BoJ,19233,-0.1,,,
BoJ,19234,-0.1,,,
BoJ,19235,-0.1,,,
BoJ,19236,-0.1,,,
BoJ,19237,-0.1,,,
BoJ,19238,-0.1,,,
BoJ,19239,-0.1,,,
BoJ,19240,-0.1,,,
BoJ,19241,-0.1,,,
BoJ,19242,-0.1,,,
BoJ,19243,-0.1,,,
BoJ,19244,-0.1,,,
BoJ,19245,-0.1,,,
BoJ,19246,-0.1,,,
BoJ,19247,-0.1,,,
BoJ,19248,-0.1,,,
BoJ,19249,-0.1,,,
BoJ,19250,-0.1,,,
BoJ,19251,-0.1,,,
BoJ,19252,-0.1,,,
BoJ,19253,-0.1,,,
BoJ,19254,-0.1,,,
BoJ,19255,-0.1,,,
BoJ,19256,-0.1,,,
BoJ,19257,-0.1,,,
BoJ,19258,-0.1,,,
BoJ,19259,-0.1,,,
BoJ,19260,-0.1,,,
BoJ,19261,-0.1,,,
BoJ,19262,-0.1,,,
BoJ,19263,-0.1,,,
BoJ,19264,-0.1,,,
BoJ,19265,-0.1,,,
BoJ,19266,-0.1,,,
BoJ,19267,-0.1,,,
BoJ,19268,-0.1,,,
BoJ,19269,-0.1,,,
BoJ,19270,-0.1,,,
BoJ,19271,-0.1,,,
BoJ,19272,-0.1,,,
BoJ,19273,-0.1,,,
BoJ,19274,-0.1,,,
BoJ,19275,-0.1,,,
BoJ,19276,-0.1,,,
BoJ,19277,-0.1,,,
BoJ,19278,-0.1,,,
BoJ,19279,-0.1,,,
BoJ,19280,-0.1,,,
BoJ,19281,-0.1,,,
BoJ,19282,-0.1,,,
BoJ,19283,-0.1,,,
BoJ,19284,-0.1,,,
BoJ,19285,-0.1,,,
BoJ,19286,-0.1,,,
BoJ,19287,-0.1,,,
BoJ,19288,-0.1,,,
BoJ,19289,-0.1,,,
BoJ,19290,-0.1,,,
BoJ,19291,-0.1,,,
BoJ,19292,-0.1,,,
BoJ,19293,-0.1,,,
