Central bank,date,Policy rate,Today,Last month,Start of year
Fed,19219,2.375,,,
Fed,19220,2.375,,,
Fed,19221,2.375,,,
Fed,19222,2.375,,,
Fed,19223,2.375,,,
Fed,19224,2.375,,,
Fed,19225,2.375,,,
Fed,19226,2.375,,,
Fed,19227,2.375,,,
Fed,19228,2.375,,,
Fed,19229,2.375,,,
Fed,19230,2.375,,,
Fed,19231,2.375,,,
Fed,19232,2.375,,,
Fed,19233,2.375,,,
Fed,19234,2.375,,,
Fed,19235,2.375,,,
Fed,19236,2.375,,,
Fed,19237,2.375,,,
Fed,19238,2.375,,,
Fed,19239,2.375,,,
Fed,19240,2.375,,,
Fed,19241,2.375,,,
Fed,19242,2.375,,,
Fed,19243,2.375,,,
Fed,19244,2.375,,,
Fed,19245,2.375,,,
Fed,19246,2.375,,,
Fed,19247,2.375,,,
Fed,19248,2.375,,,
Fed,19249,2.375,,,
Fed,19250,2.375,,,
Fed,19251,2.375,,,
Fed,19252,2.375,,,
Fed,19253,2.375,,,
Fed,19254,2.375,,,
Fed,19255,2.375,,,
Fed,19256,2.375,,,
Fed,19257,3.125,,,
Fed,19258,3.125,,,
Fed,19259,3.125,,,
Fed,19260,3.125,,,
Fed,19261,3.125,,,
Fed,19262,3.125,,,
Fed,19263,3.125,,,
Fed,19264,3.125,,,
Fed,19265,3.125,,,
Fed,19266,3.125,,,
Fed,19267,3.125,,,
Fed,19268,3.125,,,
Fed,19269,3.125,,,
Fed,19270,3.125,,,
Fed,19271,3.125,,,
Fed,19272,3.125,,,
Fed,19273,3.125,,,
Fed,19274,3.125,,,
Fed,19275,3.125,,,
Fed,19276,3.125,,,
Fed,19277,3.125,,,
Fed,19278,3.125,,,
Fed,19279,3.125,,,
Fed,19280,3.125,,,
Fed,19281,3.125,,,
Fed,19282,3.125,,,
Fed,19283,3.125,,,
Fed,19284,3.125,,,
Fed,19285,3.125,,,
Fed,19286,3.125,,,
Fed,19287,3.125,,,
Fed,19288,3.125,,,
Fed,19289,3.125,,,
Fed,19290,3.125,,,
Fed,19291,3.125,,,
Fed,19292,3.125,,,
Fed,19293,3.125,,,
Fed,19294,3.125,,,
Fed,19295,3.125,,,
Fed,19296,3.125,,,
Fed,19297,3.125,,,
Fed,19298,3.125,,,
Fed,19299,3.875,,,
Fed,19300,3.875,,,
Fed,19301,3.875,,,
Fed,19302,3.875,,,
Fed,19303,3.875,,,
Fed,19304,3.875,,,
Fed,19305,3.875,,,
Fed,19306,3.875,,,
Fed,19307,3.875,,,
Fed,19308,3.875,,,
Fed,19309,3.875,,,
Fed,19310,3.875,,,
Fed,19311,3.875,,,
Fed,19312,3.875,,,
Fed,19313,3.875,,,
Fed,19314,3.875,,,
Fed,19315,3.875,,,
Fed,19316,3.875,,,
Fed,19317,3.875,,,
Fed,19318,3.875,,,
Fed,19319,3.875,,,
Fed,19320,3.875,,,
Fed,19321,3.875,,,
Fed,19322,3.875,,,
Fed,19323,3.875,,,
Fed,19324,3.875,,,
Fed,19325,3.875,,,
Fed,19326,3.875,,,
Fed,19327,3.875,,,
Fed,19328,3.875,,,
Fed,19329,3.875,,,
Fed,19330,3.875,,,
Fed,19331,3.875,,,
Fed,19332,3.875,,,
Fed,19333,3.875,,,
Fed,19334,3.875,,,
Fed,19335,3.875,,,
Fed,19336,3.875,,,
Fed,19337,3.875,,,
Fed,19338,3.875,,,
Fed,19339,3.875,,,
Fed,19340,3.875,,,
Fed,19341,4.375,,,
Fed,19342,4.375,,,
Fed,19343,4.375,,,
Fed,19344,4.375,,,
Fed,19345,4.375,,,
Fed,19346,4.375,,,
Fed,19347,4.375,,,
Fed,19348,4.375,,,
Fed,19349,4.375,,,
Fed,19350,4.375,,,
Fed,19351,4.375,,,
Fed,19352,4.375,,,
Fed,19353,4.375,,,
Fed,19354,4.375,,,
Fed,19355,4.375,,,
Fed,19356,4.375,,,
Fed,19357,4.375,,,
Fed,19358,4.375,,,
Fed,19359,4.375,,,
Fed,19360,4.375,,,
Fed,19361,4.375,,,
Fed,19362,4.375,,,
Fed,19363,4.375,,,
Fed,19364,4.375,,,
Fed,19365,4.375,,,
Fed,19366,4.375,,,
Fed,19367,4.375,,,
Fed,19368,4.375,,,
Fed,19369,4.375,,,
Fed,19370,4.375,,,
Fed,19371,4.375,,,
Fed,19372,4.375,,,
Fed,19373,4.375,,,
Fed,19374,4.375,,,
Fed,19375,4.375,,,
Fed,19376,4.375,,,
Fed,19377,4.375,,,
Fed,19378,4.375,,,
Fed,19379,4.375,,,
Fed,19380,4.375,,,
Fed,19381,4.375,,,
Fed,19382,4.375,,,
Fed,19383,4.375,,,
Fed,19384,4.375,,,
Fed,19385,4.375,,,
Fed,19386,4.375,,,
Fed,19387,4.375,,,
Fed,19388,4.375,,,
Fed,19389,4.375,,,
Fed,19390,4.625,,,
Fed,19391,4.625,,,
Fed,19392,4.625,,,
Fed,19393,4.625,,,
Fed,19394,4.625,,,
Fed,19395,4.625,,,
Fed,19396,4.625,,,
Fed,19397,4.625,,,
Fed,19398,4.625,,,
Fed,19399,4.625,,,
Fed,19400,4.625,,,
Fed,19401,4.625,,,
Fed,19402,4.625,,,
Fed,19403,4.625,,,
Fed,19404,4.625,,,
Fed,19405,4.625,,,
Fed,19406,4.625,,,
Fed,19407,4.625,,,
Fed,19408,4.625,,,
Fed,19409,4.625,,,
Fed,19410,4.625,,,
Fed,19411,4.625,,,
Fed,19412,4.625,,,
Fed,19413,4.625,,,
Fed,19414,4.625,,,
Fed,19415,4.625,,,
Fed,19416,4.625,,,
Fed,19417,4.625,,,
Fed,19418,4.625,,,
Fed,19419,4.625,,,
Fed,19420,4.625,,,
Fed,19421,4.625,,,
Fed,19422,4.625,,,
Fed,19423,4.625,,,
Fed,19424,4.625,,,
Fed,19425,4.625,,,
Fed,19426,4.625,,,
Fed,19427,4.625,,,
Fed,19428,4.625,,,
Fed,19429,4.625,,,
Fed,19430,4.625,,,
Fed,19431,4.625,,,
Fed,19432,4.625,,,
Fed,19433,4.625,,,
Fed,19434,4.625,,,
Fed,19435,4.625,,,
Fed,19436,4.625,,,
Fed,19437,4.625,,,
Fed,19438,4.625,,,
Fed,19439,4.875,,,
Fed,19440,4.875,,,
Fed,19441,4.875,,,
Fed,19442,4.875,,,
Fed,19443,4.875,,,
Fed,19444,4.875,,,
Fed,19445,4.875,,,
Fed,19446,4.875,,,
Fed,19447,4.875,,,
Fed,19448,4.875,,,
Fed,19449,4.875,,,
Fed,19450,4.875,,,
Fed,19451,4.875,,,
Fed,19452,4.875,,,
Fed,19453,4.875,,,
Fed,19454,4.875,,,
Fed,19455,4.875,,,
Fed,19456,4.875,,,
Fed,19457,4.875,,,
Fed,19458,4.875,,,
Fed,19459,4.875,,,
Fed,19460,4.875,,,
Fed,19461,4.875,,,
Fed,19462,4.875,,,
Fed,19463,4.875,,,
Fed,19464,4.875,,,
Fed,19465,4.875,,,
Fed,19466,4.875,,,
Fed,19467,4.875,,,
Fed,19468,4.875,,,
Fed,19469,4.875,,,
Fed,19470,4.875,,,
Fed,19471,4.875,,,
Fed,19472,4.875,,,
Fed,19473,4.875,,,
Fed,19474,4.875,,,
Fed,19475,4.875,,,
Fed,19476,4.875,,,
Fed,19477,4.875,,,
Fed,19478,4.875,,,
Fed,19479,4.875,,,
Fed,19480,4.875,,,
Fed,19481,5.125,,,
Fed,19482,5.125,,,
Fed,19483,5.125,,,
Fed,19484,5.125,,,
Fed,19485,5.125,,,
Fed,19486,5.125,,,
Fed,19487,5.125,,,
Fed,19488,5.125,,,
Fed,19489,5.125,,,
Fed,19490,5.125,,,
Fed,19491,5.125,,,
Fed,19492,5.125,,,
Fed,19493,5.125,,,
Fed,19494,5.125,,,
Fed,19495,5.125,,,
Fed,19496,5.125,,,
Fed,19497,5.125,,,
Fed,19498,5.125,,,
Fed,19499,5.125,,,
Fed,19500,5.125,,,
Fed,19501,5.125,,,
Fed,19502,5.125,,,
Fed,19503,5.125,,,
Fed,19504,5.125,,,
Fed,19505,5.125,,,
Fed,19506,5.125,,,
Fed,19507,5.125,,,
Fed,19508,5.125,,,
Fed,19509,5.125,,,
Fed,19510,5.125,,,
Fed,19511,5.125,,,
Fed,19512,5.125,,,
Fed,19513,5.125,,,
Fed,19514,5.125,,,
Fed,19515,5.125,,,
Fed,19516,5.125,,,
Fed,19517,5.125,,,
Fed,19518,5.125,,,
Fed,19519,5.125,,,
Fed,19520,5.125,,,
Fed,19521,5.125,,,
Fed,19522,5.125,,,
Fed,19523,5.125,,,
Fed,19524,5.125,,,
Fed,19525,5.125,,,
Fed,19526,5.125,,,
Fed,19527,5.125,,,
Fed,19528,5.125,,,
Fed,19529,5.125,,,
Fed,19530,5.125,,,
Fed,19531,5.125,,,
Fed,19532,5.125,,,
Fed,19533,5.125,,,
Fed,19534,5.125,,,
Fed,19535,5.125,,,
Fed,19536,5.125,,,
Fed,19537,5.125,,,
Fed,19538,5.125,,,
Fed,19539,5.125,,,
Fed,19540,5.125,,,
Fed,19541,5.125,,,
Fed,19542,5.125,,,
Fed,19543,5.125,,,
Fed,19544,5.125,,,
