date,claimant_count,claimant_rate,vacancies,unemployed,unemployed_job,job_unemployed,vu,unemp_rate,vu_alt,search_unemployment_benefits,claimant_count_mom,unemployed_mom,search_unemployment_benefits_mom,claimant_count_yoy,unemployed_yoy,search_unemployment_benefits_yoy
2019-07-01,1143162,3.1,823,1319,1.6,0.625,0.6239575435936315,3.9,0.7199329578834845,20,1.4656738700340568,-0.9015777610818932,5.263157894736842,28.13131879217198,-2.8718703976435935,25
2019-06-01,1126649,3.1,821,1331,1.6,0.625,0.6168294515401953,4,0.7287096513643557,19,2.700394248080035,2.3846153846153846,11.76470588235294,27.82479257454893,-2.276064610866373,26.666666666666668
2019-05-01,1097025,3,835,1300,1.6,0.625,0.6423076923076924,3.9,0.7611494724368177,17,1.6216481599675412,-0.9146341463414633,0,24.646067773192502,-7.670454545454546,6.25
2019-04-01,1079519,2.9,840,1312,1.6,0.625,0.6402439024390244,3.9,0.7781243312994028,17,1.8995747572907178,0.6134969325153374,-10.526315789473683,24.62094888033598,-7.344632768361582,0
2019-03-01,1059395,2.9,845,1304,1.5,0.6666666666666666,0.6480061349693251,3.9,0.7976250595858957,19,1.897726671572093,-2.9039463886820553,-5,23.958911066023582,-7.974594213126323,11.76470588235294
2019-02-01,1039665,2.8,847,1343,1.6,0.625,0.6306775874906925,4,0.8146854996561392,20,2.0187578746570476,0.37369207772795215,-4.761904761904762,23.361521822446928,-5.355884425651867,-9.090909090909092
2019-01-01,1019092,2.8,859,1338,1.6,0.625,0.6420029895366218,4,0.8429072154427667,21,1.8605106758969214,-1.834189288334556,31.25,22.360981537046577,-7.787732598208132,-4.545454545454546
2018-12-01,1000478,2.8,856,1363,1.6,0.625,0.6280264123257521,4.1,0.8555910274888603,16,2.792567127436818,-0.5109489051094891,-15.789473684210526,21.420769536976806,-6.83526999316473,-11.11111111111111
2018-11-01,973298,2.7,861,1370,1.6,0.625,0.6284671532846715,4.1,0.8846211540555924,19,2.3309165538182035,-0.21849963583394028,5.555555555555555,19.943460215117366,-4.662491301322199,-5
2018-10-01,951128,2.7,862,1373,1.6,0.625,0.627822286962855,4.1,0.9062923181737894,18,2.665711028980001,-0.29048656499636893,5.88235294117647,18.288173893793754,-3.4458509142053444,-28.000000000000004
2018-09-01,926432,2.6,844,1377,1.6,0.625,0.6129266521423384,4.2,0.9110220717764499,17,2.469854065138668,1.0271460014673515,6.25,15.725740468008508,-3.63890832750175,-29.166666666666668
2018-08-01,904102,2.5,843,1363,1.6,0.625,0.6184886280264124,4.1,0.9324169175601867,16,1.3362774328050393,0.3681885125184094,0,13.339450967413569,-6.129476584022039,-30.434782608695656
2018-07-01,892180,2.5,839,1358,1.6,0.625,0.617820324005891,4.1,0.9403931941984801,16,1.2229393885416513,-0.2936857562408223,6.666666666666667,11.896654438277993,-6.794783802333562,-33.33333333333333
2018-06-01,881401,2.5,829,1362,1.6,0.625,0.6086637298091042,4.1,0.9405480592828916,15,0.14645863253767702,-3.2670454545454546,-6.25,10.590253162809898,-8.282828282828284,-50
