date,Period,All items,Goods,Services,"All items, less fresh food","All items, less fresh food and energy",Food,Cereals,Fish & seafood,Meats,Dairy products & eggs,Vegetables & seaweeds,Fruits,"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,Rent,Repairs & maintenance,"Fuel, light & water charges",Electricity,Gas,Other fuel & light,Water & sewerage charges,Furniture & household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non-durable goods,Domestic services,Clothes & footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters & underwear",Shirts & sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines & health fortification,Medical supplies & appliances,Medical services,Transportation & communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks & reference books for study,Tutorial fees,Culture & recreation,Recreational durable goods,Recreational goods,Books & other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Fresh food,Fresh fish & seafood (reentry),Fresh vegetables (reentry),Fresh fruits (reentry),"Food, less fresh food","All items, less imputed rent","Housing, less imputed rent","Rent, less imputed rent","All items, less imputed rent & fresh food",Energy,"All items, less food (less alcoholic beverages) and energy",Expenses for education,Expenses for culture & recreation,Expenses for information & communication,"Goods, less fresh food","Agricultural, aquatic & livestock products","Fresh food, raw meats & cut flowers","Other agricultural, aquatic & livestock products",Rice,Industrial products,Food products,Textiles,Petroleum products,Other industrial products,"Electricity, manufactured & piped gas & water charges",Publications,"Services, less imputed rent",Public services,General services,"House rent, private","House rent, private (wooden)","House rent, private (non-wooden)",Imputed rent,Imputed rent (wooden),Imputed rent (non-wooden),Other services,Durable goods,Semi-durable goods,Non-durable goods,Public utilities charges,"All items, seasonally adjusted","All items, less fresh food, seasonally adjusted","All items, less fresh food and energy, seasonally adjusted","Goods, seasonally adjusted","Services, seasonally adjusted"
2020-02-01,One year,0.601805416248741,1.21212121212122,0,0.601202404809628,0.704225352112665,1.52905198776758,1.10775427995973,1.10220440881764,0.709219858156031,2.86885245901641,-1.97505197505198,2.84263959390863,-0.396825396825388,3.53430353430353,1.31712259371834,0.598205383848463,1.41271442986883,3.29896907216495,0.806451612903223,0.100100100100094,4.93697478991597,-0.774443368828652,-3.13092979127136,-1.55642023346303,6.04089219330855,3.54969574036511,2.27038183694529,0.510204081632653,4.07523510971786,2.90758047767393,2.37358101135191,3.85818561001042,2.99277605779153,1.35135135135135,1.04384133611691,3.18602261048305,1.04493207941484,0.415800415800407,0.105152471083079,0.810536980749744,3.07692307692308,1.87891440501044,3.95833333333333,0.804828973843056,0.50709939148073,1.82186234817813,0.5,1.2,2.68317853457172,2.4975024975025,-2.46305418719212,-7.07803992740472,-11.6695059625213,1.11788617886178,1.7453798767967,1.10220440881764,0.60544904137236,3.20910973084887,2.15605749486652,0.295566502463051,-2.91828793774319,2.45901639344263,1.62271805273835,3.55648535564854,1.77083333333334,-12.5109361329834,-0.922131147540975,0.695825049701792,-3.57894736842106,2.84263959390863,1.93482688391038,0.601805416248741,2.56673511293634,0.100100100100094,0.701402805611225,-0.191204588910123,0.300601202404807,-4.84171322160149,1.20481927710844,-1.29611166500498,1.41271442986883,0.102145045965265,0.102354145342881,1.10330992978936,1.10330992978936,1.82741116751269,1.41843971631205,1.34994807892004,4.54545454545453,1.94274028629857,-2.10727969348659,2.05128205128205,-0.0994035785288214,-2.23084384093113,0.703517587939701,0,0.100100100100094,0,0.100100100100094,0,-0.0999000999000942,0.599999999999994,1.01214574898785,1.96687370600415,1.10552763819095,-2.1297192642788,0.601202404809628,0.599999999999994,0.702811244979923,1.21212121212122,0
2020-01-01,One year,0.802407221664992,1.61453077699295,0.0997008973080843,0.802407221664992,0.906344410876139,1.62271805273835,1.00704934541793,0.792079207920789,1.11223458038422,2.34454638124364,-1.80904522613065,4.16243654822334,0.199004975124381,3.31606217616581,1.6243654822335,0.498504486540379,1.4070351758794,3.29896907216495,0.806451612903223,0.100100100100094,4.94216614090431,0,-2.10325047801146,-0.68560235063662,5.16129032258064,3.54969574036511,3.21243523316062,3.32640332640333,3.74220374220374,4.98960498960499,1.7453798767967,3.6420395421436,3.20579110651499,1.45833333333334,1.05708245243129,2.47167868177138,1.05820105820106,0.410256410256416,0.103199174406599,1.01214574898785,3.71517027863776,1.13519091847265,4.17972831765935,0.804828973843056,1.31845841784991,1.31712259371834,0.5,1.4985014985015,2.36625514403292,2.79441117764471,-1.77165354330708,-6.98729582577133,-11.6695059625213,1.11788617886178,2.26104830421377,1.715438950555,-0.511770726714432,4.58333333333334,2.05338809034908,1.09235352532274,-2.91828793774319,2.56410256410256,1.11336032388665,3.65726227795193,1.77083333333334,-12.5109361329834,-0.696517412935326,-0.38872691933917,-3.39660339660339,4.36548223350253,1.93285859613429,0.902708124373111,2.67214799588901,0.100100100100094,1.00401606425703,0.76775431861804,0.602409638554225,-4.74860335195531,1.71717171717172,-1.29611166500498,1.71717171717172,0.30090270812437,0.30090270812437,0.902708124373111,0.902708124373111,2.13414634146341,1.62107396149949,1.77267987486964,5.30888030888031,2.45901639344263,-1.15718418514947,1.94871794871795,0,-2.23084384093113,0.804828973843056,0,0,0,0.100100100100094,0.100100100100094,0,1.00401606425703,1.83112919633774,2.3883696780893,1.30260521042084,-1.84287099903006,0.802407221664992,0.900900900900892,0.904522613065332,1.51515151515152,0.0995024875621834
2019-12-01,One year,0.802407221664992,1.51668351870576,0.0996015936254923,0.700700700700689,0.905432595573432,1.84426229508198,0.905432595573432,0.502008032128514,0.71065989847716,2.65035677879715,3.60934182590233,1.61987041036717,-0.3976143141153,3.32986472424558,1.7293997965412,0,1.51821862348178,3.09597523219814,0.705645161290325,0.100100100100094,5.04731861198739,0,-1.15606936416185,0.197433366238897,-1.41342756183746,2.33265720081137,3.00518134715026,3.41261633919338,3.00829875518671,4.44674250258531,1.44329896907217,3.55648535564854,3.1023784901758,1.40562248995985,0.898203592814363,3.39506172839506,0.797607178464603,0.897308075772688,0.594059405940588,1.31578947368421,3.08008213552361,0.395647873392686,4.0794979079498,0.50251256281407,0.70707070707071,0.303643724696353,0.5,0.697211155378475,2.26104830421377,1.49105367793241,-1.57480314960629,-7.80399274047188,-12.350936967632,1.11788617886178,2.15827338129497,2.70812437311936,-0.201207243460767,4.4932079414838,3.5490605427975,2.25490196078431,-3.01850048685493,2.45901639344263,1.52749490835031,3.22916666666666,1.77083333333334,-12.5109361329834,2.32312565997888,-0.696517412935326,5.10869565217392,1.73724212812162,1.83486238532111,0.903614457831331,2.67214799588901,0.100100100100094,0.800800800800798,-0.571428571428566,0.500500500500501,-5.58659217877095,2.61044176706828,-0.897308075772673,1.30784708249497,2.07684319833853,2.08333333333333,0.700700700700689,0.700700700700689,1.61616161616161,1.41987829614605,1.1011011011011,0.187265917602999,2.25641025641026,-0.67961165048544,3.33333333333334,0.198807157057657,-2.52918287937743,1.10552763819095,0,0,0,0,0,-0.0999000999000942,1.59840159840161,1.82741116751269,1.82926829268292,1.41271442986883,-1.94741966893866,0.802407221664992,0.800800800800798,0.905432595573432,1.61779575328614,0.0996015936254923
2019-11-01,One year,0.5,0.903614457831331,0,0.4995004995005,0.80402010050251,1.52905198776758,0.903614457831331,2.43654822335026,1.21951219512194,2.44399185336048,-0.995024875621891,0.337837837837835,-0.69238377843718,3.1055900621118,1.52284263959391,0.298804780876491,1.30653266331658,3.20247933884298,0.705645161290325,0.100100100100094,4.94216614090431,0.0976562499999944,-0.193798449612406,0.795228628230628,-6.49789029535865,2.12981744421908,3.85416666666667,5.35152151101785,3.5306334371755,4.87046632124353,1.33882595262617,3.97489539748955,3.1023784901758,1.19047619047619,0.587659157688549,2.9835390946502,0.488758553274682,0.887573964497033,0.486381322957198,1.93482688391038,2.55885363357216,1.58102766798418,4.29769392033542,0.702811244979923,1.10998990918265,0.604838709677414,0.5,-0.494071146245059,2.16271884654996,-0.391389432485328,-2.46062992125984,-7.80399274047188,-12.350936967632,1.11788617886178,2.15827338129497,2.30692076228686,0.801603206412823,3.43392299687826,3.5490605427975,1.86640471512771,-3.01556420233462,2.35655737704919,1.41557128412537,3.44827586206896,1.77083333333334,-12.5109361329834,0,2.62891809908998,-1.87007874015747,0.340909090909088,1.7293997965412,0.599999999999994,2.67214799588901,0.100100100100094,0.699300699300702,-2.15962441314554,0.400000000000006,-5.68499534016775,2.20883534136546,-1.09452736318407,1.10220440881764,0.716479017400208,0.717948717948721,0.600600600600595,0.600600600600595,1.10330992978936,1.417004048583,1.58259149357073,-4.66367713004485,2.04918032786885,0.0975609756097506,3.4375,0.0995024875621834,-2.62645914396887,1.00502512562814,0,0,0,0,0,0,1.29870129870131,1.93679918450561,1.51057401812689,0.700700700700689,-1.65853658536586,0.500500500500501,0.5,0.804828973843056,0.906344410876139,0.0996015936254923
2019-10-01,One year,0.199600798403196,0.5,0,0.399600399600405,0.703517587939701,0.910010111223449,1.20603015075377,2.72452068617558,0.71065989847716,2.23804679552391,-6.36108512628626,1.30434782608696,-0.29791459781529,2.80082987551866,1.41987829614605,0.398803589232309,1.50753768844221,2.9989658738366,0.705645161290325,0,4.84210526315789,-0.785854616895871,-0.975609756097561,-0.400000000000006,-4.52991452991453,0.202839756592295,4.28422152560083,6.36942675159236,6.04453870625663,3.83022774327122,1.54162384378212,3.95421436004164,3.1023784901758,1.09452736318407,0.197628458498027,3.08959835221421,0.0986193293885545,1.08161258603736,0.676982591876198,2.04290091930541,3.08324768756423,0.886699507389168,4.30220356768102,0.702106318956873,1.10775427995973,1.10887096774193,0.400000000000006,-0.984251968503937,2.15605749486652,-0.584795321637421,-3.63457760314342,-7.80399274047188,-12.350936967632,1.11788617886178,2.15827338129497,2.29770229770231,0,2.47167868177138,3.75782881002089,2.05479452054794,-2.92112950340798,2.35897435897436,1.82741116751269,3.65726227795193,1.77083333333334,-12.5109361329834,-3.49514563106796,2.88844621513943,-9.78456014362657,1.20087336244542,1.73116089613035,0.199401794616154,2.5693730729702,0,0.4995004995005,-2.72556390977444,0.400000000000006,-5.68499534016775,2.09790209790211,-1.39303482587065,0.801603206412823,-1.58415841584158,-1.78041543026706,0.903614457831331,0.903614457831331,1.00300902708124,1.41843971631205,1.38613861386139,-4.99108734402853,1.84426229508198,-0.883218842001968,3.54166666666667,0,-2.72373540856031,0.903614457831331,0,0,0,0,0,-0.0999000999000942,1.29611166500498,1.63432073544433,1.30784708249497,0.0995024875621834,-2.05278592375366,0.200000000000003,0.400000000000006,0.704225352112665,0.402010050251262,0
2019-09-01,One year,0.200200200200189,0.100401606425711,0.299401197604788,0.401203610832489,0.604229607250764,0.40404040404041,1.00704934541793,1.2807881773399,0.40567951318459,2.13414634146341,-4.59662288930581,4.73506200676438,-0.495540138751239,3.12825860271116,0.910931174089075,0.298507462686564,-1.50753768844221,1.0351966873706,0.302724520686187,0,1.58061116965227,0.198019801980201,0.393313667649942,0.402414486921521,-2.49554367201426,0.202839756592295,2.74261603375528,5.97826086956522,4.17558886509635,1.77267987486964,-0.412371134020624,1.98329853862214,1.03412616339193,0,-0.596421471172957,0.514933058702369,-0.595829195630594,0.0981354268891014,0,0.408580183861074,1.03092783505155,0.101112234580378,1.67714884696016,-0.300601202404807,-0.702811244979908,-0.403225806451619,0,-1.58415841584158,0.205549845837619,-1.37659783677483,-2.94985250737463,0.725952813067148,0.596252129471881,0.101626016260157,1.02774922918808,1.00806451612903,-2.33502538071066,1.66320166320166,3.13479623824451,0.691699604743086,0.98135426889107,0.410256410256416,-0.707785642062692,1.88284518828453,7.74410774410775,0.705467372134036,-2.22652468538238,0.28625954198473,-7.2007200720072,5.00000000000001,1.01936799184506,0.300300300300297,0.823045267489709,0,0.401203610832489,-1.91204588910134,0.401203610832489,0.838769804287051,0.90725806451612,-1.99401794616152,0.403225806451604,-1.08803165182987,-1.18460019743337,0.402010050251262,0.402010050251262,0.40363269424824,1.1144883485309,0.399600399600405,-4.76626947754353,0.823892893923802,0.197628458498027,2.91970802919708,0.298804780876491,0.682261208577001,0.201207243460753,0,0,0,0,0,0,0,1.13168724279835,0,0,0.687622789783893,0.200400801603209,0.300601202404807,0.604229607250764,0.100603621730377,0.299401197604788
2019-08-01,One year,0.200400801603209,0.303643724696353,0.198412698412701,0.501504513540622,0.503018108651911,0,1.01010101010101,-0.49800796812749,1.22324159021407,1.93482688391038,-6.42023346303501,2.04081632653062,-0.198412698412701,3.03347280334729,0.607902735562304,0.400000000000006,-1.10775427995971,0.827300930713544,0.201612903225809,-0.0999999999999943,1.36986301369863,1.29353233830845,1.78217821782178,1.82002022244691,-1.34770889487871,0.202839756592295,2.31822971548998,5.41125541125541,2.45989304812834,1.88284518828453,-1.23076923076923,2.09424083769634,1.03412616339193,0.628272251308895,0.314465408805028,1.1340206185567,0.314795383001046,0.635593220338977,0.752688172043014,0.30737704918034,1.13753877973112,0,1.67890870933894,-0.100300902708133,-0.602409638554211,-0.302419354838707,0,-1.28205128205129,0.30090270812437,-0.886699507389168,-2.8403525954946,0.635208711433759,0.596252129471881,0.101626016260157,0.82219938335046,1.18811881188119,0.950369588173169,1.35416666666666,3.13479623824451,0.573065902578791,0.98135426889107,0.512295081967213,-0.608519269776871,2.19895287958115,7.74410774410775,0.616740088105729,-4.93096646942801,-2.909796314258,-9.71428571428572,1.93756727664155,1.12359550561797,0.300601202404807,0.823045267489709,0,0.501504513540622,-0.28901734104046,0.400801603206418,0.74557315936626,0.986193293885602,-2.38568588469184,0.812182741116748,-2.40240240240241,-2.7,-0.301204819277106,-0.301204819277106,0.60975609756097,1.11788617886178,0.523012552301255,-3.0527289546716,1.03199174406605,1.59045725646124,2.91970802919708,0.296442687747033,0.581959262851609,0.0999999999999943,0,0,0,-0.0999999999999943,0,0,-0.0986193293885686,1.44329896907217,0.207468879668038,0.201005025125631,0.980392156862745,0.200400801603209,0.501504513540622,0.604229607250764,0.302419354838707,0.299102691924224
2019-07-01,One year,0.604838709677414,0.813835198372327,0.299401197604788,0.603621730382288,0.504540867810293,0.924024640657075,1.21212121212122,1.52594099694812,1.32788559754852,2.13849287169042,-1.88087774294671,2.72628135223555,0.198412698412701,2.8125,0.813835198372327,0.500500500500501,-0.903614457831317,0.931677018633546,0.201612903225809,-0.0999999999999943,1.36842105263158,1.99401794616152,2.78330019880717,3.04259634888438,-1.07719928186715,0.202839756592295,1.67890870933894,3.75536480686695,2.65957446808511,0.834202294056306,-0.717948717948721,1.78010471204189,1.03412616339193,0.413223140495874,0.103626943005175,1.02564102564103,0,0.205761316872431,0.103199174406599,0.510725229826353,1.23966942148761,0.304568527918779,1.68067226890756,0.6060606060606,-0.402414486921535,0.303643724696353,1.21457489878543,-1.18577075098814,0.101522842639588,-0.885826771653535,-2.93542074363992,0.635208711433759,0.596252129471881,0.101626016260157,0.924974306269276,1.11675126903553,0.941422594142265,0.73145245559039,2.71682340647857,0.896414342629474,0.883218842001954,0.307692307692305,-0.708502024291501,1.67890870933894,7.74410774410775,0.705467372134036,-0.736067297581481,0.201207243460753,-3.28738069989395,2.73522975929978,1.12359550561797,0.60544904137236,0.719424460431658,0,0.704934541792551,0.579150579150587,0.301507537688439,0.652376514445483,1.01317122593718,-2.38568588469184,0.91277890466532,0,0.1043841336117,-0.200400801603209,-0.200400801603209,0.608519269776885,1.21951219512194,0.41279669762641,-2.67774699907663,0.617283950617278,2.39282153539382,2.60960334029228,0.499001996007984,0.77972709551658,0.100704934541801,0,-0.0999999999999943,0,-0.0999999999999943,0,0,0.100401606425711,1.02669404517454,0.20597322348095,0.810536980749744,1.37795275590552,0.503018108651911,0.603621730382288,0.504540867810293,0.709219858156031,0.199600798403196
2019-06-01,One year,0.604838709677414,1.0183299389002,0.299700299700311,0.603015075376879,0.504540867810293,1.44628099173554,1.31712259371834,1.94672131147542,1.43589743589744,2.03665987780041,0.865800865800863,7.76053215077605,0.298210735586492,2.62605042016807,1.12130479102957,0.299401197604788,-0.802407221664992,0.932642487046638,0.100806451612898,-0.0999999999999943,1.05263157894737,2.18905472636816,2.4703557312253,3.96341463414633,0.27075812274368,0.304568527918779,1.77824267782427,5.12820512820514,1.47835269271382,1.25130344108445,-1.12474437627811,0.624349635796055,1.03412616339193,0,-0.601202404809614,0.205128205128208,-0.600600600600609,-0.0996015936255065,-0.0987166831194416,0,1.02986611740474,0.402819738167176,1.68243953732914,0.505050505050505,-0.80402010050251,0.607902735562304,1.21457489878543,-1.28968253968254,0.103305785123976,-0.295857988165692,-4.60333006856022,0.635208711433759,0.510638297872336,0.101626016260157,0.924974306269276,1.52129817444219,1.03626943005181,1.15062761506277,2.71682340647857,1.39303482587065,0.98135426889107,0.307692307692305,-0.707785642062692,1.46290491118076,7.74410774410775,0.705467372134036,2.82301845819762,1.22199592668025,1.00896860986546,8.13823857302118,1.22824974411464,0.808080808080805,0.513874614594039,0,0.704225352112665,1.15606936416185,0.30120481927712,0.652376514445483,1.31979695431472,-2.38568588469184,0.910931174089075,2.01271186440677,2.3454157782516,-0.200000000000003,-0.200000000000003,0.506072874493927,1.22199592668025,0.201207243460753,-1.2962962962963,0.205549845837619,2.58449304174951,2.60960334029228,0.4995004995005,0.782013685239489,0.201409869083588,0,0,-0.0999000999000942,0,0,0,0.200803212851408,0.102564102564097,0.101522842639588,1.32248219735503,1.4792899408284,0.705645161290325,0.603621730382288,0.60544904137236,1.01626016260163,0.299401197604788
2019-05-01,One year,0.704934541792551,1.11902339776196,0.399201596806379,0.703517587939701,0.503524672708963,0.823045267489709,1.1144883485309,1.63265306122448,0.920245398773012,1.93089430894308,0.214132762312622,-1.16156282998945,-0.0993048659384394,1.67714884696016,0.915564598168877,0.199600798403196,-0.999000999000999,1.03734439834025,0.100806451612898,-0.0999999999999943,0.842105263157892,3.20320320320319,3.57142857142858,4.68909276248727,5.07996237064911,0.304568527918779,2.61780104712042,7.82422293676313,1.15183246073298,0.624349635796055,-1.02249488752556,0.939457202505225,1.03412616339193,-0.100200400801598,-0.399201596806393,0.308008213552358,-0.498504486540379,-0.197628458498027,-0.389863547758276,0.102040816326525,0.820512820512818,0.100200400801612,1.68598524762908,0.6066734074823,-0.704934541792551,0.914634146341455,1.21457489878543,-0.396825396825388,0.20597322348095,1.19641076769691,-4.13064361191162,0.54397098821397,0.425170068027211,0.101626016260157,0.924974306269276,1.31712259371834,1.34158926728586,1.34854771784232,2.5078369905956,0.99601593625498,0.980392156862745,0.307692307692305,-0.704934541792551,1.78010471204189,7.74410774410775,0.705467372134036,0,0.808897876643071,0,-1.37566137566137,0.920245398773012,0.908173562058533,0.513874614594039,0,0.905432595573432,3.72184133202744,0.300601202404807,0.55865921787709,1.21580547112462,-1.85909980430529,1.21580547112462,0.41753653444677,0.419287211740033,0,0,0.810536980749744,0.915564598168877,0.0999999999999943,3.05927342256214,0.411099691675237,3.49301397205589,2.50521920668059,0.498504486540379,0.683593749999989,0.201005025125631,0,-0.0999999999999943,-0.0999000999000942,-0.0999999999999943,0,0,0.199800199800203,0.61538461538461,-0.101112234580393,1.42421159715158,1.67652859960551,0.705645161290325,0.805639476334338,0.504540867810293,1.22199592668025,0.299401197604788
2019-04-01,One year,0.908173562058533,1.22324159021407,0.499001996007984,0.906344410876139,0.604838709677414,0.720164609053501,0.808897876643071,1.63265306122448,1.02249488752556,1.42421159715158,-0.104931794333677,-0.447928331466956,0.0995024875621834,0.83333333333333,1.01729399796541,0,-1.29740518962076,1.03842159916926,0.100806451612898,-0.0999999999999943,0.842992623814539,4.34343434343434,5.84677419354838,5.53278688524591,3.02743614001892,0.406917599186171,1.56739811912226,6.22986036519872,0,0.624349635796055,-1.4300306435138,-0.414078674948231,1.03412616339193,0.100200400801612,-0.49800796812749,0.821355236139627,-0.597014925373129,0.296735905044522,0.293255131964807,0.10172939979655,0.717948717948721,0.503018108651911,1.68598524762908,0.810536980749744,-0.202224469160771,1.12244897959183,1.21457489878543,-0.199004975124381,0,1.10220440881764,-2.97790585975024,0.54397098821397,0.425170068027211,0.101626016260157,0.925925925925917,1.92697768762678,1.34297520661157,1.03950103950104,2.19435736677115,2.29312063808574,1.07948969578017,0.205128205128208,-0.202224469160771,1.77824267782427,7.74410774410775,0.705467372134036,-0.212314225053082,0.403225806451604,-0.63829787234042,-0.788288288288292,0.920245398773012,1.01010101010101,0.411099691675237,0,1.10887096774193,4.56802383316782,0.501504513540622,0.465549348230912,1.82555780933064,-1.85909980430529,1.42276422764227,0.313807531380765,0.314795383001046,-0.100300902708133,-0.100300902708133,0.709939148073025,0.813008130081298,0.199800199800203,2.32783705140641,0.513874614594039,5.25252525252526,2.08768267223382,0.697906281156533,0.683593749999989,0.402414486921521,0,-0.0999999999999943,-0.0999000999000942,-0.0999999999999943,0,0,0.700000000000003,1.02564102564103,-0.101010101010095,1.53061224489796,2.17821782178218,0.908173562058533,0.90725806451612,0.60544904137236,1.22324159021407,0.4995004995005
2019-03-01,One year,0.504032258064516,0.711382113821127,0.400000000000006,0.80726538849648,0.505050505050505,-0.407331975560087,0.607902735562304,1.11561866125762,0.815494393476057,2.29885057471265,-8.97560975609756,2.87234042553192,-0.298210735586478,0.51975051975052,0.203045685279191,0.199600798403196,-1.09780439121757,1.03950103950104,0,-0.0999999999999943,0.316455696202529,5.17766497461928,7.20812182741116,6.28865979381443,2.45283018867924,0.407331975560073,1.47058823529411,5.41711809317443,-1.74358974358975,0.845665961945044,-0.819672131147538,0.1043841336117,0.20682523267839,0.102249488752565,-0.399600399600391,0.102459016393451,-0.399201596806393,0.210526315789477,0.320855614973259,0,0.617283950617278,0.402819738167176,1.7989417989418,1.2207527975585,0.101317122593713,1.02040816326531,1.93679918450561,-0.29791459781529,0.102145045965265,0.902708124373111,-2.96650717703349,0.546946216955328,0.427715996578272,0,0.930713547052732,0.914634146341455,-0.101626016260171,0.723140495867772,2.09205020920502,0.903614457831331,0.98135426889107,0.205128205128208,-0.202020202020205,0.734522560335785,8.5972850678733,0.704845814977971,-5.94059405940594,-0.298804780876505,-14.218009478673,2.65957446808511,0.819672131147553,0.60544904137236,0.102880658436208,-0.0999999999999943,0.909090909090915,5.18962075848304,0.301507537688439,0.561272217025252,0.81135902636918,-1.85909980430529,1.32382892057026,-3.01204819277108,-3.31325301204819,0,0,0.610997963340116,0.610997963340116,0.102040816326525,1.55038759689922,0.513874614594039,6.40243902439024,1.98329853862214,0.599999999999994,0.977517106549365,0.201612903225809,0,-0.200000000000003,-0.0999000999000942,-0.0999999999999943,0,0,0,0.613496932515346,0,0.91277890466532,2.67857142857143,0.402414486921521,0.805639476334338,0.403225806451604,0.608519269776885,0.299401197604788
2019-02-01,One year,0.201005025125631,-0.100908173562053,0.400000000000006,0.706357214934413,0.40404040404041,-1.50602409638554,0.607902735562304,1.52594099694812,0.509164969450102,2.30607966457022,-14.9425287356322,-1.00502512562814,-0.395256916996053,-0.310880829015541,0.509164969450102,0,-1.29482071713149,0.936524453694075,0,-0.0999999999999943,0.421940928270048,5.19348268839103,7.6608784473953,6.19834710743802,1.60528800755429,0.407331975560073,0.832466181061406,3.48468848996832,-1.13636363636363,0.943396226415085,-0.818833162743088,-0.518672199170124,0.20682523267839,0,-0.828157349896477,-0.511247443762781,-0.829015544041448,0.627615062761515,0.634920634920629,0.304878048780485,0.205549845837619,-0.104275286757047,1.9108280254777,1.11902339776196,-0.40404040404041,1.12589559877174,1.93679918450561,-0.596421471172957,0.20682523267839,0.200200200200189,-2.87081339712919,0.455788514129444,0.427715996578272,0,0.61983471074381,1.42276422764227,-0.601805416248755,0,1.88284518828453,1.80541624874624,0.883218842001954,0.102564102564097,-0.303336703741164,0.209643605870009,8.5972850678733,0.704845814977971,-10.9489051094891,0.599999999999994,-22.1311475409836,-1.40140140140141,0.614754098360665,0.301810865191144,0.205761316872431,-0.0999999999999943,0.910010111223449,4.39121756487025,0.301507537688439,0.467726847521048,1.21951219512194,-1.76297747306562,1.01936799184506,-6.22605363984674,-6.86367969494757,0.100401606425711,0.100401606425711,0.305498981670058,0.509164969450102,-0.103734439834034,-0.289296046287365,0.204918032786888,6.53061224489797,1.88087774294671,0.599999999999994,0.979431929480901,0.302419354838707,-0.0999000999000942,-0.0999999999999943,-0.0999000999000942,-0.0999999999999943,-0.0999999999999943,0,0.401606425702817,0.406504065040642,-0.206611570247937,-0.200601805416252,2.78606965174129,0.200803212851408,0.704934541792551,0.403225806451604,-0.201612903225809,0.399201596806379
2019-01-01,One year,0.201005025125631,-0.201409869083588,0.501002004008016,0.808897876643071,0.404448938321528,-1.4985014985015,0.709939148073025,1.50753768844221,0.30425963488845,2.83018867924527,-14.3717728055077,-2.76406712734452,-0.691699604743086,-0.20682523267839,0.101626016260157,-0.199004975124381,-1.09343936381709,1.04166666666667,0,-0.0999999999999943,0.316455696202529,5.11247443762781,7.17213114754099,5.58428128231643,6.26836434867777,0.407331975560073,0,0.312825860271113,-1.7364657814096,0,-0.204918032786874,0,0,0.208768267223385,-0.316122233930465,-0.715746421267897,-0.316455696202529,0.931677018633546,1.14822546972861,0.508646998982706,-0.308641975308639,0.518672199170124,1.80851063829788,1.22199592668025,-0.101317122593727,1.3347022587269,1.93679918450561,-0.199401794616154,0.309597523219811,0.804828973843056,-2.77511961722489,0.455788514129444,0.427715996578272,0,0.620475698035154,1.53688524590164,-1.61127895266868,-0.826446280991733,1.88284518828453,2.54582484725051,0.883218842001954,0,-0.101112234580393,0,8.5972850678733,0.704845814977971,-11.0619469026549,0.48828125,-21.1811023622047,-3.24165029469548,0.614124872057312,0.201005025125631,0.102880658436208,-0.0999999999999943,0.911854103343456,4.93454179254784,0.302114803625375,0.467726847521048,1.33060388945752,-1.85909980430529,1.02040816326531,-6.38497652582159,-6.99626865671642,0.504032258064516,0.504032258064516,0.305810397553528,0.509164969450102,-0.208116545265337,1.66830225711481,0,6.03271983640082,1.77453027139875,0.802407221664992,0.880626223091968,0.40404040404041,-0.0999000999000942,-0.0999999999999943,-0.0999000999000942,-0.0999999999999943,-0.0999999999999943,-0.0998003992016053,0.6060606060606,-0.405268490374879,-0.310559006211177,-0.100100100100109,2.58706467661691,0.100401606425711,0.705645161290325,0.40363269424824,-0.201612903225809,0.5
