date,Job vacancies,Negotiated wages,Unit labour costs,Compensation per employee
2024-03-31,1.8969399640913696,3.16284574792169,NA,NA
2023-12-31,1.890221018317987,2.8854707249614435,1.0547544157393736,1.8243890550006452
2023-09-30,2.0616886369181198,3.174403040545033,1.7480999180562766,2.1203813233689974
2023-06-30,2.2450002867627803,2.827684261844726,1.6608175858244312,2.228485000035497
2023-03-31,2.3513583709415484,2.758340506104664,1.0712042499285763,2.3002093143811155
2022-12-31,2.381095179204743,1.3136789281867183,1.6074909728573807,1.899216302376015
2022-09-30,2.3790275164050905,1.2327778798233138,1.1484531996524352,1.4175748413081575
2022-06-30,2.594987520429411,0.7589288822662272,0.3528299021121777,1.6893538056731399
2022-03-31,2.4254476713737967,1.2096632945766266,0.34209921957662304,1.7231948542410915
2021-12-31,1.947315528438459,-0.6857326956517181,-0.292336410688305,1.2410285324705224
2021-09-30,1.5953766854129394,-0.9515504259886203,0.7872674657426137,1.0404647967391045
2021-06-30,1.2289937602807923,-0.3852430874447854,-3.023051285846403,3.604403223224061
2021-03-31,0.9202194658273157,-0.743519158768436,0.4129098207831901,0.19229285514770114
2020-12-31,0.5275907154461009,-0.10786806448453987,2.109092741273819,-0.5056958209056849
2020-09-30,0.3637977680671671,-0.396800380068129,0.6287357622963732,-0.6876022204750725
2020-06-30,0.21507447526986814,-0.32745662432806777,5.296708466674609,-3.981542349412062
2020-03-31,0.8113494586608782,-0.03852430874447867,1.7243051896855524,-0.873745788311496
2019-12-31,1.1097698442624024,0.007704861748895632,0.5150768588461706,-0.08163907156744046
2019-09-30,1.030859249239866,0.6549132486561353,0.28024348799112103,0.1632311777881886
2019-06-30,1.15541424447318,0.019262154372239205,0.40717449687177426,0.27993898350464047
2019-03-31,1.220850973728184,0.30819446995582855,0.37831832983731006,0.31561144835409344
2018-12-31,1.102128378793135,0.1348350806056747,0.4683227740088141,0.18725704862987494
2018-09-30,0.8655663198747631,0.16950695847570568,0.7058620528142528,0.3299100621796027
2018-06-30,0.8429196384705249,0.2619652994624543,0.23090002450487374,0.08847174126597833
2018-03-31,0.9037127767890435,-0.24655557596466277,0.16838148392047828,-0.11227200433078265
2017-12-31,0.6580004450351773,-0.5701597694182826,0.025728028344797323,0.009372949658557601
2017-09-30,0.5933716185359811,-0.616388939911657,-0.23549987302895675,-0.14512983159505324
2017-06-30,0.6056112869707889,-0.6395035251583441,-0.12361947763516969,-0.12482081109216729
2017-03-31,0.5961766999256022,-0.4892587210548776,-0.11932187231311614,-0.24915864424801884
2016-12-31,0.28014255200672983,-0.6510608177816876,-0.245220667091805,-0.3834915973867396
2016-09-30,0.116765671363559,-0.6279462325350005,-0.19538862058212467,-0.47076679264693183
2016-06-30,0.21950765653060184,-0.7204045735217488,-0.24426444889170734,-0.6082772553041407
2016-03-31,0.24230456657445262,-0.743519158768436,-0.23104082461861322,-0.4096958207370817
2015-12-31,0.10530724690556009,-0.6279462325350005,-0.14060380248815466,-0.3506110367655373
2015-09-30,-0.0763042000817262,-0.5932743546649698,-0.1723474252909734,-0.3515484675590125
2015-06-30,0.004657280268604963,-0.6395035251583441,-0.2149323946839738,-0.23822517108554417
2015-03-31,0.0573743671050464,-0.6972899882750617,-0.18987955913647658,-0.4340134535422656
2014-12-31,-0.05068016255672809,-0.40835767269147255,-0.07648994305448134,-0.40392877912985165
2014-09-30,-0.19783561512697348,-0.616388939911657,-0.23250007429858907,-0.5577541639261809
2014-06-30,-0.16676882131262494,-0.3852430874447854,-0.2483556620600966,-0.4920405703693133
2014-03-31,-0.07104971079310085,-0.3505712095747549,-0.3932954737943575,-0.32861768850211875
2013-12-31,-0.20428127958205847,-0.40835767269147255,0.3578405518225459,-0.2703080484791237
2013-09-30,-0.3149651043363742,-0.13098264973122703,-0.032708182848066376,-0.2140175285542793
2013-06-30,-0.2672901206037989,-0.37368579482144215,-0.22300094107733945,-0.3133786678654685
2013-03-31,-0.16568518542620564,0.019262154372239205,-0.07623268357298701,-0.3437411591744622
2012-12-31,-0.1929423873837207,0.2850798847091415,-0.9506986068133628,-0.4161208989605468
2012-09-30,-0.16886421178116606,0.20417883634573616,-0.46819303439235965,-0.2612174487622266
2012-06-30,-0.021264216234076674,0.22729342159242333,-0.5021194037799536,-0.2828736774745739
2012-03-31,0.042641479283466094,0.019262154372239205,-0.4652027248096821,-0.21125767204729645
2011-12-31,-0.021911128951468822,-0.03852430874447867,-0.6312143577484024,0.035518365931060995
2011-09-30,-0.05443705608642578,0.019262154372239205,-0.6448255660646989,-0.017291344517313127
2011-06-30,-0.0024547391408400966,-0.2234409907179756,-0.94412100439119,0.011806179911391337
2011-03-31,0.15242861903120158,-0.11942535710788345,-1.0738469230013237,0.21902769621205181
2010-12-31,-0.17915234275982736,-0.5932743546649698,-0.7728394964488304,-0.032734849968744456
2010-09-30,-0.5166924531321472,-0.6741754030283745,-0.9332742149273187,0.1266909105656275
2010-06-30,-0.5134628913967487,-0.15409723497791417,-0.24349222468219192,0.3453268104803037
2010-03-31,-0.48761802700076196,-0.16565452760125776,-0.15928946424792087,0.11915555797364412
2009-12-31,-0.5149391536215923,0.11172049535898755,0.19771437078756945,-0.15031821887471772
2009-09-30,-0.802591419515071,0.4237673961892638,0.5596606046684776,-0.3911480023531133
2009-06-30,-0.7095138795644138,0.9554028568630678,0.4272413767121947,-0.20072215970718038
2009-03-31,-0.5710661540471276,1.3367935134334055,0.9304464894391298,-0.12291152128287199
2008-12-31,-0.5352589349590091,1.8684289741072095,0.407521453836407,0.6330420690709972
