date,id,id_weight,label,code,year,index,index_adjusted,One month,Three months,Six months,One year
2026-08-01,d7bt,chzq,CPI (overall index),00,2026,143.643,143.463051031694,5.162904277029878,4.671912839332748,3.9721505844848792,3.08591030765809
2026-07-01,d7bt,chzq,CPI (overall index),00,2026,142.933,142.862478969084,6.368650216811855,3.7081332974843173,3.4645288659765905,2.8627973084811487
2026-06-01,d7bt,chzq,CPI (overall index),00,2026,142.54,142.129330764205,2.5213373423649488,2.3026446211137808,2.8966762346883446,2.646455190292718
2026-05-01,d7bt,chzq,CPI (overall index),00,2026,142.36,141.834709184861,2.28466820217188,3.2770664443291464,3.2446814567347104,2.8478955049198853
2026-04-01,d7bt,chzq,CPI (overall index),00,2026,142.06,141.567961166966,2.102359628070727,3.221496647246802,2.9286003508940173,2.8079316833116192
2026-03-01,d7bt,chzq,CPI (overall index),00,2026,141.007,141.322722706771,5.478843793724497,3.4941571584858666,2.936124026204179,3.3162125130970685
2026-02-01,d7bt,chzq,CPI (overall index),00,2026,140.066,140.695934757228,2.119649558499792,3.212306624225625,2.1903937246163574,2.9851624193050323
2026-01-01,d7bt,chzq,CPI (overall index),00,2026,139.482,140.450225086698,2.9136116911847365,2.6365351628200306,2.263242493328521,3.0124886450078714
2025-12-01,d7bt,chzq,CPI (overall index),00,2025,140.125,140.114485978907,4.619421977148241,2.381099768870354,2.4248827228734227,3.373613078375832
2025-11-01,d7bt,chzq,CPI (overall index),00,2025,139.529,139.5881907367,0.42013749977047876,1.17859886236662,2.474565003762441,3.247743081249083
2025-10-01,d7bt,chzq,CPI (overall index),00,2025,139.82,139.539429771922,2.147147494118906,1.8913075023369252,2.6883545252130547,3.5588638299448263
2025-09-01,d7bt,chzq,CPI (overall index),00,2025,139.292,139.292614562951,0.976177869682604,2.4686844005184616,3.6972776445178157,3.782736653876242
2025-08-01,d7bt,chzq,CPI (overall index),00,2025,139.343,139.179897710295,2.557218760946922,3.7871307843955204,3.8031104966644858,3.7882568506669925
2025-07-01,d7bt,chzq,CPI (overall index),00,2025,138.955,138.887339933168,3.893485931317553,3.4916364661822907,3.7699336256540317,3.8294851677501303
2025-06-01,d7bt,chzq,CPI (overall index),00,2025,138.865,138.445964183701,4.924272038171362,4.940601646192322,4.339923489068354,3.5764898933393123
2025-05-01,d7bt,chzq,CPI (overall index),00,2025,138.418,137.892497151718,1.6837325704763373,3.8190926692694305,4.0491824419865985,3.357949836097411
2025-04-01,d7bt,chzq,CPI (overall index),00,2025,138.18,137.700762941574,8.318641546905203,4.048979148100917,4.431592332833145,3.5273315751618304
2025-03-01,d7bt,chzq,CPI (overall index),00,2025,136.481,136.786870243117,1.5960919684357089,3.7426836031452693,3.854086095392484,2.5941516951063623
2025-02-01,d7bt,chzq,CPI (overall index),00,2025,136.006,136.606488935837,2.3607038380685896,4.279782152732947,3.7275745538089655,2.836187667763037
2025-01-01,d7bt,chzq,CPI (overall index),00,2025,135.403,136.341130465394,7.364861508972731,4.815612478501663,3.85598955339288,2.9829405009088745
2024-12-01,d7bt,chzq,CPI (overall index),00,2024,135.552,135.536118235019,3.182231013852843,3.9656082155001826,2.8248067423667367,2.50298694817078
2024-11-01,d7bt,chzq,CPI (overall index),00,2024,135.14,135.182757297731,3.946733685617154,3.178291138518752,2.6780068885127406,2.622126709546101
2024-10-01,d7bt,chzq,CPI (overall index),00,2024,135.015,134.747400754057,4.77395423306064,2.905152305690506,2.609733106143741,2.2809914851065085
2024-09-01,d7bt,chzq,CPI (overall index),00,2024,134.215,134.224754593257,0.8557841433257662,1.6965231395505542,1.348441188745686,1.680341219876201
2024-08-01,d7bt,chzq,CPI (overall index),00,2024,134.257,134.129472849338,3.123397834593211,2.18014838454339,1.9659930564275285,2.216283708677844
2024-07-01,d7bt,chzq,CPI (overall index),00,2024,133.83,133.786137815886,1.1254090222606594,2.3151619934177248,2.1066824720087585,2.2344448264008334
2024-06-01,d7bt,chzq,CPI (overall index),00,2024,134.07,133.661426645597,2.3015188425659083,1.0015506360411042,2.2067960566834355,1.9753105200307133
2024-05-01,d7bt,chzq,CPI (overall index),00,2024,133.921,133.408218727297,3.5327180608434094,1.752286567986383,2.6156239255514357,1.9899777622079384
2024-04-01,d7bt,chzq,CPI (overall index),00,2024,133.472,133.022809935682,-2.7198062789100974,1.8986277528480588,1.9700174498262335,2.33307009944108
2024-03-01,d7bt,chzq,CPI (overall index),00,2024,133.03,133.328834260664,4.5997122399898505,3.4264235983410885,2.0221910930360742,3.2280592845503193
2024-02-01,d7bt,chzq,CPI (overall index),00,2024,132.255,132.830112701724,3.98006628445311,3.486286439317965,2.4333650875237645,3.4114721796515806
2024-01-01,d7bt,chzq,CPI (overall index),00,2024,131.481,132.398795351326,1.7217779634981278,2.041457162088589,2.3404530934864054,3.981114617191386
2023-12-01,d7bt,chzq,CPI (overall index),00,2023,132.242,132.210578367192,4.781443193268697,0.6370240147308248,1.738627554294414,3.9932685351199932
2023-11-01,d7bt,chzq,CPI (overall index),00,2023,131.687,131.696987386256,-0.314581392999036,1.3911566853503032,1.3662368458590146,3.9409916807425835
