date,Period,Headline,FT core,geo,"All items excluding energy, food, alcohol and tobacco","Excluding energy, food, alcoholic beverages & tobacco","All items, less fresh food and energy"
2024-02-01,Six months,2.4225996033378605,3.8741249132808218,UK,NA,3.602951841504165,NA
2024-01-01,Six months,2.3641171952198725,3.598535337108028,UK,NA,3.349824507159793,NA
2023-12-01,Six months,1.7604672774016672,4.222176751592505,UK,NA,4.064618338060799,NA
2023-11-01,Six months,1.385258142376089,3.8138472396440264,UK,NA,3.73221971523765,NA
2023-10-01,Six months,2.6900587752785254,4.692999923838171,UK,NA,4.657247530119624,NA
2023-09-01,Six months,4.436626317810921,5.440609223624137,UK,NA,5.49204878434526,NA
2023-08-01,Six months,4.414067229614416,5.488082534386511,UK,NA,5.509445854636641,NA
2023-07-01,Six months,5.633533497169507,6.385475470620602,UK,NA,6.7128998980305,NA
2023-06-01,Six months,6.3201936271417125,6.179593923439132,UK,NA,6.292925002371463,NA
2023-05-01,Six months,6.652277754015112,6.768991383715885,UK,NA,6.689018588630691,NA
2023-04-01,Six months,6.57064807316885,6.549141625665297,UK,NA,6.6212109701298205,NA
2023-03-01,Six months,8.921612199247498,6.445806356087685,UK,NA,6.410148898581158,NA
2023-02-01,Six months,8.93355584437996,6.486927443628705,UK,NA,6.581022130252734,NA
2023-01-01,Six months,8.023267771033016,6.16273272437887,UK,NA,6.4013431683293875,NA
2022-12-01,Six months,9.55357768745655,6.3580520817168615,UK,NA,6.876945789848299,NA
2022-11-01,Six months,10.685390959923758,6.323288312267778,UK,NA,6.935246814976592,NA
2022-10-01,Six months,10.723002795060689,6.271210504126674,UK,NA,6.577965486141979,NA
2022-09-01,Six months,11.180941702905224,6.101774723478912,UK,NA,6.319803541352709,NA
2022-08-01,Six months,11.94757642789015,6.3915783435915206,UK,NA,6.3856687264495005,NA
2022-07-01,Six months,12.1835455476746,6.311980928862772,UK,NA,6.102985693134566,NA
2022-06-01,Six months,11.557272835036848,6.439564376086151,UK,NA,6.2506216084857735,NA
2022-05-01,Six months,10.70243350548601,6.2270280461113385,UK,NA,6.047284794755692,NA
2022-04-01,Six months,11.348045888925174,6.2817877207395,UK,NA,6.453006001376771,NA
