date,Period,All items,FT core,"All items, less fresh food and energy"
2018-12-01,Three months,-0.7983992016040276,0.18446926732413435,0.4034286358194805
2018-11-01,Three months,0.8040160561797904,0.6614143256865914,0.40302215963348154
2018-10-01,Three months,4.09364049696006,0.9144386716403385,1.6243322684784012
2018-09-01,Three months,2.8525975449156027,0.32461975558342004,0.8097124684122825
2018-08-01,Three months,2.0293620457517925,-0.05343915835446958,0.4034286358194805
2018-07-01,Three months,0.40424405291883403,-0.19578016234641693,-0.4026164996628445
2018-06-01,Three months,0,0.5082987910586464,0.4046529988188885
2018-05-01,Three months,-0.801599166146616,0.5627912124464972,1.2176419930163718
2018-04-01,Three months,-1.5983694379286595,0.5846337997465648,1.2188787771681309
2018-03-01,Three months,-0.8024031692129951,0.023851892616205822,-0.8040160235315619
2018-02-01,Three months,1.6243322684784012,0.26034336547162007,-0.8040160235315619
2018-01-01,Three months,2.8642691164055156,0.23850860955805264,-1.20420102642268
2017-12-01,Three months,2.451367402924176,0.584528384846233,0.8105328374203857
2017-11-01,Three months,2.4589016458175017,0.5309508994136151,0.8105328374203857
2017-10-01,Three months,2.050164008262856,0.8424635355868532,1.629294383981117
2017-09-01,Three months,1.223851140524701,0.2603818045778137,0.40506277296077364
2017-08-01,Three months,-0.40506277085754494,0.25782359508986946,0
2017-07-01,Three months,-0.809712434828902,-0.09391563053147829,-0.40383593067394585
2017-06-01,Three months,1.6409913976374924,0.7545321059799853,1.2226042502525791
2017-05-01,Three months,2.054375679546494,0.8113301942559626,2.0459695697795155
2017-04-01,Three months,1.2276071179011971,0.7458234375193469,1.634286908947269
2017-03-01,Three months,-1.2139464844465153,0.29478837910869715,-0.8072612618909902
2017-02-01,Three months,-2.0130206724278676,-0.02319243472208754,-1.6080074536375832
2017-01-01,Three months,-1.6128701796311318,-0.05944187313071375,-2.0049489248867625
2016-12-01,Three months,1.642676123599074,0.3621290371684153,0
2016-11-01,Three months,2.8908825827714146,0.8397185492914616,0.405473377863097
2016-10-01,Three months,2.8908825827714146,0.991094253828422,1.2213598980915785
2016-09-01,Three months,-0.4071241536629855,0.07477671623321068,-0.40383593067394585
2016-08-01,Three months,-1.216407545144238,0.2601665944958261,-0.40383593067394585
2016-07-01,Three months,-0.8130039146587831,0.25361569348190516,-0.8064474987815706
2016-06-01,Three months,0.8196678463366913,0.7994670089895982,1.2226042502525791
2016-05-01,Three months,1.6460559744165826,1.1516636796219175,2.048064641538172
2016-04-01,Three months,1.6477511206896,1.3556436317927538,2.463950255381997
2016-03-01,Three months,-0.8130039146587831,0.6065760466717605,-0.4046529967242529
2016-02-01,Three months,-1.2176418212682338,0.28079990322379056,-1.210273508943982
2016-01-01,Three months,-3.209366380593792,0.20038052936805445,-1.6112460064984568
2015-12-01,Three months,-1.6144976304074854,0.32422311268132353,0.4062970900748253
2015-11-01,Three months,-1.2139464844465153,0.7865154148999765,1.2251005766814371
2015-10-01,Three months,0.8163222979839846,1.0366449828735051,2.052267683174125
2015-09-01,Three months,0.40712415580934636,0.8358497526141534,1.6393101237690555
2015-08-01,Three months,-1.210273508943982,0.6506918413348968,0.8171561221280044
2015-07-01,Three months,-0.40588481393434295,0.6312586235871265,0.4083710872023305
2015-06-01,Three months,2.058604690046728,1.2831427977188814,2.0628511470578204
2015-05-01,Three months,4.584985375228401,2.157075614276143,3.326120507633834
2015-04-01,Three months,2.476662943713226,2.4493556666633305,2.9058826359183554
2015-03-01,Three months,0,2.4296894078774134,0.41046636692618765
2015-02-01,Three months,-1.2201179031508191,2.116722125400842,-0.8171560872925809
2015-01-01,Three months,-1.6193997481130484,2.0647053959811625,-1.222604075687428
2014-12-01,Three months,-2.4143756161290053,1.8224053778320548,0.41088800564010874
2014-11-01,Three months,-1.6177624046565642,2.4514112436142805,0.41088800564010874
2014-10-01,Three months,0.4083710872023305,2.2680453002132164,1.2377366949663848
2014-09-01,Three months,2.0564880107092787,2.0989642360148593,0.41131051147387243
2014-08-01,Three months,0.8179916514075236,1.702592155163673,0.41131051147387243
2014-07-01,Three months,1.6477511206896,1.5736344687072221,0.41173388710533665
2014-06-01,Three months,9.965524918199996,1.5643818769019144,9.109916888153236
2014-05-01,Three months,11.34290373732818,2.297999764694361,10.49468963264555
2014-04-01,Three months,9.537990274991115,1.1628313855442207,10.506165998500162
2014-03-01,Three months,0.4190670008834996,0.4738604391501935,0.4208305604724183
2014-02-01,Three months,0,0.2893494268717919,-0.8376917232839398
2014-01-01,Three months,0,0.17731471464164666,-1.2545584435249224
2013-12-01,Three months,0.8412151374722399,0.46033784879154627,1.270497578166574
2013-11-01,Three months,1.693084093602959,1.0413708579618604,1.270497578166574
2013-10-01,Three months,2.9864616079386286,0.8411649054129537,1.6984758415506507
2013-09-01,Three months,3.425815325888548,0.3695569595103344,0.4226090259443094
2013-08-01,Three months,2.130985392999518,0.21526411424908848,0.4226090259443094
2013-07-01,Three months,1.275900940781849,0.3334629328161803,0
2013-06-01,Three months,1.7093630179614072,0.7118069842775203,1.275900940781849
2013-05-01,Three months,2.577741128979527,1.1258964549877235,2.5722159855434468
2013-04-01,Three months,1.2799837204306996,0.9921264709659814,2.5722159855434468
2013-03-01,Three months,0.42575778045230717,0.37031221143137816,0
2013-02-01,Three months,-0.4244025845464239,-0.4988888651326073,-2.095265244459976
2013-01-01,Three months,-0.8447682374351895,-0.7328696288153127,-2.9179895499063857
2012-12-01,Three months,-1.2651395876594584,-0.34065450567201494,-1.6753556206783204
2012-11-01,Three months,-0.8456612170786526,0.12297784420600719,-0.840331478861267
2012-10-01,Three months,1.2813504595802216,0.29784635373280455,0
2012-09-01,Three months,0,0.07501439275544405,-0.4203882780518642
2012-08-01,Three months,-2.5050948192368416,-0.32505402662288463,-1.2545584435249224
2012-07-01,Three months,-4.542358445107975,-0.25220239871884387,-1.6683680015855296
2012-06-01,Three months,-2.9119207118420753,0.14327060641868314,-0.8376917232839398
2012-05-01,Three months,0.8474528922836289,0.8057297789849213,1.270497578166574
2012-04-01,Three months,2.9960476515737966,0.9236518377494282,2.126454107426534
2012-03-01,Three months,3.436852489942277,0.6129275153658222,0.8447682772231957
2012-02-01,Three months,2.1401061447045677,0.07012519783030108,-0.8385697971473927
2012-01-01,Three months,-1.2598267988037093,-0.31811718439152104,-2.4920893860105098
2011-12-01,Three months,-1.6788714254532766,-0.21777042075965122,-1.6666301946711148
2011-11-01,Three months,-2.095265244459976,0.25183007936499613,-0.8368154863646171
2011-10-01,Three months,0.8483515597572655,0.21385169828968725,0.42038828049193455
2011-09-01,Three months,0.4235039075676017,0.12621492404182583,0
2011-08-01,Three months,0,-0.2334886925123117,-1.2493339667201564
2011-07-01,Three months,-0.4217179157156359,-0.1274851059741656,-1.2493339667201564
2011-06-01,Three months,0,0.17526893434228183,0
2011-05-01,Three months,1.2772589703114567,0.7128213057511397,1.265139787815861
2011-04-01,Three months,1.2772589703114567,0.7628699321591542,1.265139787815861
2011-03-01,Three months,0.42395277107849516,0.19390014980937026,-1.248034639358897
2011-02-01,Three months,-1.2611508084809708,-0.3667298036696891,-2.071395395729725
2011-01-01,Three months,-2.5024828850607195,-0.6282137051228813,-2.8849204168202025
2010-12-01,Three months,-0.8421005780581803,-0.02205793977745646,0
2010-11-01,Three months,0.8492521351978644,0.5081116413839217,0.4186284180929478
2010-10-01,Three months,2.5667144755189275,0.3423631406090383,1.2598269956190178
2010-09-01,Three months,-0.840331478861267,-0.5783581735458172,-1.654566177918837
2010-08-01,Three months,-2.499876391595912,-0.4671857631678905,-2.062849732146743
2010-07-01,Three months,-2.9119207118420753,-0.7301200020766936,-2.8730803374638625
2010-06-01,Three months,-0.8385697971473927,-0.34288222897926746,-2.0543742877475513
2010-05-01,Three months,0.845661257035113,0.023633335864169297,-0.8272964887187095
2010-04-01,Three months,0.845661257035113,0.08148210052657226,-0.8255889807435857
2010-03-01,Three months,1.271844123780519,-0.023162994503996892,-1.6393095595117702
2010-02-01,Three months,-0.4203882780518642,-0.5663501134733285,-3.25175941384509
2010-01-01,Three months,-1.2545584435249224,-0.4483326813291558,-2.8467922220447583
2009-12-01,Three months,-3.3054981724869203,-0.49936233457942675,-1.6326187827905403
2009-11-01,Three months,-2.4869249430646945,0.1183784288317312,-0.41046636470842834
2009-10-01,Three months,-0.41906699847396034,0.25510215588371316,0
2009-09-01,Three months,0,-0.04358959933225351,-0.40962567800256755
2009-08-01,Three months,-0.832461655228256,-0.29579236616477655,-1.2238509652463425
2009-07-01,Three months,-2.8849204168202025,-0.3095215780488201,-1.2238509652463425
2009-06-01,Three months,-1.2454440756344942,0.05374749442595855,-0.4092066247008974
2009-05-01,Three months,0.8394497525330058,0.5458594539711202,0.8238885426715692
2009-04-01,Three months,0.41775400080010794,0.3833170694651571,0
2009-03-01,Three months,-2.0586032867511483,-0.1341607569581586,-2.0232022114935466
2009-02-01,Three months,-4.86723054758812,-0.5075229097891282,-3.2190509924237
2009-01-01,Three months,-7.168327750992631,-0.2584624811281459,-2.8181416990777475
2008-12-01,Three months,-5.604190215426352,0.09584997086631662,-0.40671020033546945
2008-11-01,Three months,-4.027676314981965,0.7324485164657459,0.8188288910579988
2008-10-01,Three months,0.8230409296351437,1.2531143985958395,2.060725730997981
2008-09-01,Three months,2.0713968342347844,0.868765075571258,1.6460559744165826
2008-08-01,Three months,4.196706050591015,0.6328132391102191,1.2339185742219705
2008-07-01,Three months,6.3980162143707275,0.24369539234500093,1.23646136535831
2008-06-01,Three months,5.089133323552253,1.257038030109143,2.4920924000227718
