week,Week,Geopolitical (weekly),Geopolitical mood
2025-01-19T00:00:00Z,2025-01-19T00:00:00Z,-0.05791849633504901,-0.05852495688433689
2025-01-12T00:00:00Z,2025-01-12T00:00:00Z,-0.057673492450781495,-0.06249381069413285
2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,-0.0649615960663049,-0.06467517264383833
2024-12-29T00:00:00Z,2024-12-29T00:00:00Z,-0.05354624268521218,-0.06447159070499354
2024-12-22T00:00:00Z,2024-12-22T00:00:00Z,-0.07379391157423285,-0.06828032381627781
2024-12-15T00:00:00Z,2024-12-15T00:00:00Z,-0.06639894024960338,-0.06828321980816954
2024-12-08T00:00:00Z,2024-12-08T00:00:00Z,-0.06414726831092576,-0.06896897788379314
2024-12-01T00:00:00Z,2024-12-01T00:00:00Z,-0.06878117513034925,-0.06531069409386646
2024-11-24T00:00:00Z,2024-11-24T00:00:00Z,-0.07380549554179971,-0.06091439784491061
2024-11-17T00:00:00Z,2024-11-17T00:00:00Z,-0.06914197255209782,-0.05871011746171084
2024-11-10T00:00:00Z,2024-11-10T00:00:00Z,-0.049514133151219074,-0.05643276175083308
2024-11-03T00:00:00Z,2024-11-03T00:00:00Z,-0.051195990134525846,-0.06008295878312407
2024-10-27T00:00:00Z,2024-10-27T00:00:00Z,-0.06498837400900061,-0.0620357833059679
2024-10-20T00:00:00Z,2024-10-20T00:00:00Z,-0.06003254970858677,-0.06548563546081453
2024-10-13T00:00:00Z,2024-10-13T00:00:00Z,-0.06411492128038306,-0.06719805496751373
2024-10-06T00:00:00Z,2024-10-06T00:00:00Z,-0.05900728822590119,-0.06670758872259008
2024-09-29T00:00:00Z,2024-09-29T00:00:00Z,-0.07878778262838708,-0.06556922381784942
2024-09-22T00:00:00Z,2024-09-22T00:00:00Z,-0.0668822277353836,-0.060942943188883464
2024-09-15T00:00:00Z,2024-09-15T00:00:00Z,-0.062153056300688445,-0.06167997618547512
2024-09-08T00:00:00Z,2024-09-08T00:00:00Z,-0.05445382860693857,-0.05895879549160871
2024-09-01T00:00:00Z,2024-09-01T00:00:00Z,-0.06028266011252322,-0.06236558047740586
2024-08-25T00:00:00Z,2024-08-25T00:00:00Z,-0.06983035972175027,-0.06375405599331666
2024-08-18T00:00:00Z,2024-08-18T00:00:00Z,-0.0512683335252228,-0.06169995465580602
2024-08-11T00:00:00Z,2024-08-11T00:00:00Z,-0.06808096855012714,-0.060999300398490094
2024-08-04T00:00:00Z,2024-08-04T00:00:00Z,-0.0658365621761664,-0.05616046276068379
2024-07-28T00:00:00Z,2024-07-28T00:00:00Z,-0.06161395437170771,-0.05387365935623328
2024-07-21T00:00:00Z,2024-07-21T00:00:00Z,-0.04846571649595912,-0.05033602525407746
2024-07-14T00:00:00Z,2024-07-14T00:00:00Z,-0.04872561799890192,-0.05203948998122997
2024-07-07T00:00:00Z,2024-07-07T00:00:00Z,-0.05668934855836436,-0.051297019067472874
2024-06-30T00:00:00Z,2024-06-30T00:00:00Z,-0.04746341796308443,-0.04864044612352494
2024-06-23T00:00:00Z,2024-06-23T00:00:00Z,-0.055279575404569146,-0.05012177726585718
2024-06-16T00:00:00Z,2024-06-16T00:00:00Z,-0.045755734343873575,-0.05058090933415248
2024-06-09T00:00:00Z,2024-06-09T00:00:00Z,-0.0460630567825726,-0.055172193609643996
2024-06-02T00:00:00Z,2024-06-02T00:00:00Z,-0.053388742532413415,-0.05830503430896382
2024-05-26T00:00:00Z,2024-05-26T00:00:00Z,-0.057116103677750336,-0.057952793962861585
2024-05-19T00:00:00Z,2024-05-19T00:00:00Z,-0.06412087144583963,-0.05887684428329121
2024-05-12T00:00:00Z,2024-05-12T00:00:00Z,-0.0585944195798519,-0.05655811202318047
2024-05-05T00:00:00Z,2024-05-05T00:00:00Z,-0.05197978114800449,-0.06233441188130766
2024-04-28T00:00:00Z,2024-04-28T00:00:00Z,-0.06081230495946881,-0.06440999103415436
2024-04-21T00:00:00Z,2024-04-21T00:00:00Z,-0.0548459424053967,-0.06258769452291096
2024-04-14T00:00:00Z,2024-04-14T00:00:00Z,-0.08169961901236063,-0.06351978339603001
2024-04-07T00:00:00Z,2024-04-07T00:00:00Z,-0.060282097759391313,-0.056903416688437444
2024-03-31T00:00:00Z,2024-03-31T00:00:00Z,-0.05352311891449521,-0.057587066374516147
2024-03-24T00:00:00Z,2024-03-24T00:00:00Z,-0.05857429789787289,-0.05689343954412957
2024-03-17T00:00:00Z,2024-03-17T00:00:00Z,-0.055234152181990355,-0.05747634068552598
2024-03-10T00:00:00Z,2024-03-10T00:00:00Z,-0.06301669650370613,-0.061449329696020905
2024-03-03T00:00:00Z,2024-03-03T00:00:00Z,-0.05074861159294893,-0.061996251404850364
2024-02-25T00:00:00Z,2024-02-25T00:00:00Z,-0.0609059024634585,-0.06495862827808377
2024-02-18T00:00:00Z,2024-02-18T00:00:00Z,-0.07112610822397004,-0.0671778688374078
2024-02-11T00:00:00Z,2024-02-11T00:00:00Z,-0.06520438333902397,-0.06639519604593093
2024-02-04T00:00:00Z,2024-02-04T00:00:00Z,-0.06259811908588257,-0.06777415496466695
2024-01-28T00:00:00Z,2024-01-28T00:00:00Z,-0.06978286470075463,-0.06861840855841733
2024-01-21T00:00:00Z,2024-01-21T00:00:00Z,-0.06799541705806253,-0.06971504160683663
2024-01-14T00:00:00Z,2024-01-14T00:00:00Z,-0.07072021901396805,-0.06943215020116725
2024-01-07T00:00:00Z,2024-01-07T00:00:00Z,-0.06597513346088411,-0.0680295002102392
2023-12-31T00:00:00Z,2023-12-31T00:00:00Z,-0.07416939689443182,-0.06607076306649445
2023-12-24T00:00:00Z,2023-12-24T00:00:00Z,-0.06686385143538502,-0.06508567136464606
2023-12-17T00:00:00Z,2023-12-17T00:00:00Z,-0.06510961905025581,-0.06404704365036608
2023-12-10T00:00:00Z,2023-12-10T00:00:00Z,-0.05814018488590517,-0.062231490350408855
2023-12-03T00:00:00Z,2023-12-03T00:00:00Z,-0.07022903008703822,-0.0627157839576193
2023-11-26T00:00:00Z,2023-11-26T00:00:00Z,-0.06270934057826512,-0.05953356500846782
2023-11-19T00:00:00Z,2023-11-19T00:00:00Z,-0.057847405850426935,-0.06495278801711614
2023-11-12T00:00:00Z,2023-11-12T00:00:00Z,-0.06007735931474692,-0.06977153210416878
