date,Actual United States,Trend United States,Actual Eurozone,Trend Eurozone,Actual United Kingdom,Trend United Kingdom,Actual Japan,Trend Japan,geo
2019 Q4,100,100,,,,,,,United States
2020 Q1,98.356860926338,100.655575046906,,,,,,,United States
2020 Q2,89.8880840240956,101.315447880234,,,,,,,United States
2020 Q3,97.8717140792143,101.979646675198,,,,,,,United States
2020 Q4,99.2127999984745,102.648199791724,,,,,,,United States
2021 Q1,101.338865097677,103.321135775657,,,,,,,United States
2021 Q2,104.624036381781,103.998483359982,,,,,,,United States
2021 Q3,105.35660272965,104.680271466051,,,,,,,United States
2021 Q4,106.398246558026,105.366529204817,,,,,,,United States
2022 Q1,106.395337493045,106.057285878075,,,,,,,United States
2022 Q2,106.919969572645,106.752570979717,,,,,,,United States
2022 Q3,107.333127712742,107.452414196991,,,,,,,United States
2022 Q4,107.64526325896,108.156845411765,,,,,,,United States
2023 Q1,108.648954436633,108.865894701806,,,,,,,United States
2023 Q2,108.866800810552,109.579592342062,,,,,,,United States
2023 Q3,109.702830527856,110.297968805958,,,,,,,United States
2023 Q4,110.591798126919,111.021054766695,,,,,,,United States
2024 Q1,111.139262816621,111.748881098557,,,,,,,United States
2019 Q4,,,100,100,,,,,Eurozone
2020 Q1,,,95.465281764088,100.37068837647,,,,,Eurozone
2020 Q2,,,83.6803274131526,100.742750851664,,,,,Eurozone
2020 Q3,,,95.3621610774702,101.116192519207,,,,,Eurozone
2020 Q4,,,92.7719768896203,101.491018491604,,,,,Eurozone
2021 Q1,,,91.2361147173608,101.867233900313,,,,,Eurozone
2021 Q2,,,94.6353169879218,102.244843895812,,,,,Eurozone
2021 Q3,,,98.7177417971666,102.623853647674,,,,,Eurozone
2021 Q4,,,98.8836255077847,103.004268344631,,,,,Eurozone
2022 Q1,,,98.8533323414676,103.386093194652,,,,,Eurozone
2022 Q2,,,99.7014839784646,103.769333425011,,,,,Eurozone
2022 Q3,,,100.910642978241,104.153994282357,,,,,Eurozone
2022 Q4,,,100.132900108432,104.540081032791,,,,,Eurozone
2023 Q1,,,100.165832451514,104.927598961931,,,,,Eurozone
2023 Q2,,,100.301240228262,105.316553374992,,,,,Eurozone
2023 Q3,,,100.658036960667,105.706949596851,,,,,Eurozone
2023 Q4,,,100.840771299618,106.098792972127,,,,,Eurozone
2024 Q1,,,101.008527332502,106.492088865249,,,,,Eurozone
2019 Q4,,,,,100,100,,,United Kingdom
2020 Q1,,,,,97.1613523423724,100.556510030798,,,United Kingdom
2020 Q2,,,,,74.3875222062542,101.11611709574,,,United Kingdom
2020 Q3,,,,,89.0594432325889,101.678838430132,,,United Kingdom
2020 Q4,,,,,87.6354815504458,102.244691365195,,,United Kingdom
2021 Q1,,,,,84.6000764546477,102.813693328601,,,United Kingdom
2021 Q2,,,,,94.5703379737812,103.385861845009,,,United Kingdom
2021 Q3,,,,,97.3508016464032,103.961214536603,,,United Kingdom
2021 Q4,,,,,97.6285107151241,104.539769123639,,,United Kingdom
2022 Q1,,,,,98.3778754695587,105.121543424986,,,United Kingdom
2022 Q2,,,,,98.7654876218877,105.706555358676,,,United Kingdom
2022 Q3,,,,,97.8713656095418,106.294822942458,,,United Kingdom
2022 Q4,,,,,97.789570732177,106.886364294352,,,United Kingdom
2023 Q1,,,,,98.6654224100959,107.481197633206,,,United Kingdom
2023 Q2,,,,,99.0353263931555,108.079341279256,,,United Kingdom
2023 Q3,,,,,98.1724044889651,108.680813654696,,,United Kingdom
2023 Q4,,,,,98.0951069236402,109.285633284238,,,United Kingdom
2024 Q1,,,,,98.3067617099024,109.893818795686,,,United Kingdom
2019 Q4,,,,,,,100,100,Japan
2020 Q1,,,,,,,100.827152976651,99.9162876466211,Japan
2020 Q2,,,,,,,92.6079548906926,99.8326453708233,Japan
2020 Q3,,,,,,,97.5374565444196,99.749073113943,Japan
2020 Q4,,,,,,,99.3227105566071,99.6655708173657,Japan
2021 Q1,,,,,,,97.9404546302008,99.582138422526,Japan
2021 Q2,,,,,,,98.2935661237615,99.4987758709075,Japan
2021 Q3,,,,,,,97.1517778335562,99.4154831040428,Japan
2021 Q4,,,,,,,100.093694422535,99.3322600635135,Japan
2022 Q1,,,,,,,98.8999140481437,99.2491066909499,Japan
2022 Q2,,,,,,,100.912527307584,99.1660229280314,Japan
2022 Q3,,,,,,,100.988053366325,99.0830087164861,Japan
2022 Q4,,,,,,,101.132245653928,99.0000639980909,Japan
2023 Q1,,,,,,,101.862138453335,98.9171887146715,Japan
2023 Q2,,,,,,,101.159039746258,98.8343828081022,Japan
2023 Q3,,,,,,,100.85557712685,98.7516462203061,Japan
2023 Q4,,,,,,,100.493466350993,98.6689788932547,Japan
2024 Q1,,,,,,,99.7491746980774,98.5863807689683,Japan
