date,when,Fed,BoE,ECB,BoJ
2026-06-30,Today,3.6750030517577983,3.9300003051757955,2.245002746582003,0.9499969482422017
2026-09-30,Today,3.6449966430664063,4.084999084472699,2.447502136230497,1.0975036621094034
2026-12-31,Today,3.5899963378905966,4.114997863769503,2.502502441406193,1.2574996948242045
2027-03-31,Today,3.5550003051757955,4.099998474121094,2.5274963378905966,1.4075012207030966
2027-06-30,Today,3.489997863769503,4.059997558593807,2.522499084472699,1.5475006103516051
2027-09-30,Today,3.4100036621094034,4.004997253417997,2.4925003051757955,1.6699981689452983
2027-12-31,Today,3.3550033569335938,3.9550018310547017,2.4674987792969034,1.7750015258789063
2028-03-31,Today,3.3499984741210938,3.9449996948242045,2.4800033569335938,1.8375015258789063
2028-06-30,Today,3.375,3.9449996948242045,2.504997253417997,1.8799972534179972
2028-09-30,Today,3.4100036621094034,3.9550018310547017,2.5374984741210938,1.9199981689452983
2028-12-31,Today,3.4449996948242045,3.9700012207030966,2.5699996948242045,1.9574966430664063
2029-03-31,Today,3.4800033569335938,3.995002746582003,NA,1.9950027465820028
2029-06-30,Today,3.514999389648395,4.014999389648395,NA,2.0325012207030966
2029-09-30,Today,3.5550003051757955,4.050003051757798,NA,NA
2029-12-31,Today,3.5950012207030966,4.080001831054702,NA,NA
2030-03-31,Today,NA,4.120002746582003,NA,NA
2030-06-30,Today,NA,4.154998779296903,NA,NA
2026-04-30,Today,NA,NA,2.0449981689452983,NA
2026-05-31,Today,NA,NA,2.264999389648395,NA
2026-07-31,Today,NA,NA,2.370002746582003,NA
2026-08-31,Today,NA,NA,2.440002441406193,NA
2026-10-31,Today,NA,NA,NA,NA
2026-06-30,Last month,3.6299999999999955,3.8149999999999977,2.1624999999999943,0.9925000000000068
2026-09-30,Last month,3.5600000000000023,3.9200000000000017,2.325000000000003,1.1175000000000068
2026-12-31,Last month,3.5,3.9599999999999937,2.3924999999999983,1.2475000000000023
2027-03-31,Last month,3.4749999999999943,4,2.4375,1.3649999999999949
2027-06-30,Last month,3.4399999999999977,4.025000000000006,2.444999999999993,1.4399999999999977
2027-09-30,Last month,3.394999999999996,4.025000000000006,2.4375,1.5300000000000011
2027-12-31,Last month,3.3700000000000045,4.019999999999996,2.4350000000000023,1.6025000000000063
2028-03-31,Last month,3.3700000000000045,4.030000000000001,2.450000000000003,1.644999999999996
2028-06-30,Last month,3.3900000000000006,4.045000000000002,2.4724999999999966,1.6825000000000045
2028-09-30,Last month,3.4150000000000063,4.060000000000002,2.5024999999999977,1.7175000000000011
2028-12-31,Last month,3.444999999999993,4.084999999999994,2.532499999999999,1.7549999999999955
2029-03-31,Last month,3.4749999999999943,4.105000000000004,NA,1.792500000000004
2029-06-30,Last month,3.510000000000005,4.1299999999999955,NA,1.8275000000000006
2029-09-30,Last month,3.5450000000000017,4.159999999999997,NA,NA
2029-12-31,Last month,3.5849999999999937,4.189999999999998,NA,NA
2030-03-31,Last month,NA,4.224999999999994,NA,NA
2030-06-30,Last month,NA,4.260000000000005,NA,NA
2026-04-30,Last month,NA,NA,2.0174999999999983,NA
2026-05-31,Last month,NA,NA,2.0875000000000057,NA
2026-07-31,Last month,NA,NA,2.1875,NA
2026-08-31,Last month,NA,NA,2.25,NA
2026-10-31,Last month,NA,NA,NA,NA
2026-06-30,Mid-2025,3.25,3.3900000000000006,1.6574999999999989,0.7674999999999983
2026-09-30,Mid-2025,3.135000000000005,3.364999999999995,1.7000000000000028,0.8125
2026-12-31,Mid-2025,3.0999999999999943,3.3700000000000045,1.7625000000000028,0.8624999999999972
2027-03-31,Mid-2025,3.1099999999999994,3.394999999999996,1.8375000000000057,0.894999999999996
2027-06-30,Mid-2025,3.155000000000001,3.424999999999997,1.9150000000000063,0.9224999999999994
2027-09-30,Mid-2025,3.2150000000000034,3.4549999999999983,1.9975000000000023,0.9424999999999955
2027-12-31,Mid-2025,3.2750000000000057,3.489999999999995,2.0775000000000006,0.9625000000000057
2028-03-31,Mid-2025,3.3299999999999983,3.530000000000001,2.1474999999999937,0.980000000000004
2028-06-30,Mid-2025,3.375,3.569999999999993,2.2099999999999937,0.9950000000000045
2028-09-30,Mid-2025,3.4200000000000017,3.6099999999999994,2.2650000000000006,1.0125000000000028
2028-12-31,Mid-2025,3.4650000000000034,3.6500000000000057,2.3174999999999955,1.0300000000000011
2029-03-31,Mid-2025,3.510000000000005,3.694999999999993,NA,1.0499999999999972
2029-06-30,Mid-2025,3.555000000000007,3.739999999999995,NA,1.0725000000000051
2029-09-30,Mid-2025,3.605000000000004,3.7900000000000063,NA,NA
2029-12-31,Mid-2025,3.655000000000001,3.8400000000000034,NA,NA
2030-03-31,Mid-2025,NA,3.885000000000005,NA,NA
2030-06-30,Mid-2025,NA,3.924999999999997,NA,NA
2026-04-30,Mid-2025,NA,NA,NA,NA
2026-05-31,Mid-2025,NA,NA,NA,NA
2026-07-31,Mid-2025,NA,NA,NA,NA
2026-08-31,Mid-2025,NA,NA,NA,NA
2026-10-31,Mid-2025,NA,NA,NA,NA
