date,Period,geo,Headline,Core,Goods,Services
2019-05-01,Six months,UK,1.54199175802967,1.74349123330415,0.965928351179746,2.51678998520275
2019-04-01,Six months,UK,1.70172444958645,1.74567268333341,0.764446237729,2.72585465419248
2019-03-01,Six months,UK,1.26625708528774,1.78752960648592,1.00722019026702,2.4843105862882
2019-02-01,Six months,UK,1.30404213095043,1.55877835244682,1.11606614005471,2.06358507207682
2019-01-01,Six months,UK,1.87874267448482,2.02411384994112,1.28148770441987,2.71413831687128
2025-04-01,Three months,UK,4.41750299048631,3.93805936234279,1.38473184450429,6.440721078699
2025-03-01,Three months,UK,3.56268679909673,3.95613139114463,2.23572403000203,6.135330126812
2025-02-01,Three months,UK,4.04177203197833,3.61374735243511,2.71332123449699,5.31666417864385
2025-01-01,Three months,UK,4.46481085021586,4.09305150559616,3.39581406084877,4.95912006366006
2024-12-01,Three months,UK,4.3377280190779,3.57125121120705,3.80096054038381,4.14503217518485
2024-11-01,Three months,UK,3.2315524222815,3.34668194143866,2.55901192503278,4.16253199899217
2024-10-01,Three months,UK,2.98718513133662,3.50873555344606,2.02739374164307,4.75098954486484
2024-09-01,Three months,UK,1.59910659109193,3.1195191446227,0.0857850800008331,3.92017371984208
2024-08-01,Three months,UK,2.25614450030314,3.76864819800797,0.550763999433301,5.01586636454889
2024-07-01,Three months,UK,2.21794565837286,3.26119419265127,0.170688587013013,4.61792490917099
2024-06-01,Three months,UK,0.988750906943481,3.26666029221909,-3.93704925091592,5.68371811725292
2024-05-01,Three months,UK,1.85650674551243,3.20141354917935,-3.52441089189286,5.59258131022933
2024-04-01,Three months,UK,2.24586597265546,3.3510014132841,-3.16978260678147,6.02085947294522
2024-03-01,Three months,UK,3.1565929892273,2.97115349758283,1.52192229276966,4.14950948328161
2024-02-01,Three months,UK,3.19495399188374,3.67519563473686,1.31536973395661,5.41830732817818
2024-01-01,Three months,UK,1.6853158560862,3.19304504397773,0.510777283251018,4.69888553684759
2023-12-01,Three months,UK,1.06130427586379,3.5946058326118,-0.786406050157973,6.01880783425968
