Item,One month,Three months,Six months,One year,Included,Excluded
Overall index,1.5375343681775844,1.3891520477240737,2.3243490659538457,2.1482742688398933,100,0
All-items excluding energy and food,5.40506541954251,3.416546063012138,2.7113140216754816,2.7278342411140435,70.6,29.4
FT core,2.3962867399437395,3.046681887413133,2.7562737426812767,2.516652968258264,,
Services,9.09337295089263,5.293211301869483,4.021667157527897,3.9508161347142745,44.9,55.1
Goods,-4.454909831825393,-1.796009872265325,0.9107095047529601,0.6635862115103192,55.1,44.9
Energy,-24.77369788292727,-15.09338102257949,-0.13742869262380886,-3.562189054726371,9.9,90.1
