Central bank,date,Policy rate,Today,Last month,Start of year
ECB,19178,-0.5,,,
ECB,19179,-0.5,,,
ECB,19180,-0.5,,,
ECB,19181,-0.5,,,
ECB,19182,-0.5,,,
ECB,19183,-0.5,,,
ECB,19184,-0.5,,,
ECB,19185,-0.5,,,
ECB,19186,-0.5,,,
ECB,19187,-0.5,,,
ECB,19188,-0.5,,,
ECB,19189,-0.5,,,
ECB,19190,-0.5,,,
ECB,19191,-0.5,,,
ECB,19192,-0.5,,,
ECB,19193,-0.5,,,
ECB,19194,-0.5,,,
ECB,19195,-0.5,,,
ECB,19196,-0.5,,,
ECB,19197,-0.5,,,
ECB,19198,-0.5,,,
ECB,19199,-0.5,,,
ECB,19200,0,,,
ECB,19201,0,,,
ECB,19202,0,,,
ECB,19203,0,,,
ECB,19204,0,,,
ECB,19205,0,,,
ECB,19206,0,,,
ECB,19207,0,,,
ECB,19208,0,,,
ECB,19209,0,,,
ECB,19210,0,,,
ECB,19211,0,,,
ECB,19212,0,,,
ECB,19213,0,,,
ECB,19214,0,,,
ECB,19215,0,,,
ECB,19216,0,,,
ECB,19217,0,,,
ECB,19218,0,,,
ECB,19219,0,,,
ECB,19220,0,,,
ECB,19221,0,,,
ECB,19222,0,,,
ECB,19223,0,,,
ECB,19224,0,,,
ECB,19225,0,,,
ECB,19226,0,,,
ECB,19227,0,,,
ECB,19228,0,,,
ECB,19229,0,,,
ECB,19230,0,,,
ECB,19231,0,,,
ECB,19232,0,,,
ECB,19233,0,,,
ECB,19234,0,,,
ECB,19235,0,,,
ECB,19236,0,,,
ECB,19237,0,,,
ECB,19238,0,,,
ECB,19239,0,,,
ECB,19240,0,,,
ECB,19241,0,,,
ECB,19242,0,,,
ECB,19243,0,,,
ECB,19244,0,,,
ECB,19245,0,,,
ECB,19246,0,,,
ECB,19247,0,,,
ECB,19248,0,,,
ECB,19249,0.75,,,
ECB,19250,0.75,,,
ECB,19251,0.75,,,
ECB,19252,0.75,,,
ECB,19253,0.75,,,
ECB,19254,0.75,,,
ECB,19255,0.75,,,
ECB,19256,0.75,,,
ECB,19257,0.75,,,
ECB,19258,0.75,,,
ECB,19259,0.75,,,
ECB,19260,0.75,,,
ECB,19261,0.75,,,
ECB,19262,0.75,,,
ECB,19263,0.75,,,
ECB,19264,0.75,,,
ECB,19265,0.75,,,
ECB,19266,0.75,,,
ECB,19267,0.75,,,
ECB,19268,0.75,,,
ECB,19269,0.75,,,
ECB,19270,0.75,,,
ECB,19271,0.75,,,
ECB,19272,0.75,,,
ECB,19273,0.75,,,
ECB,19274,0.75,,,
ECB,19275,0.75,,,
ECB,19276,0.75,,,
ECB,19277,0.75,,,
ECB,19278,0.75,,,
ECB,19279,0.75,,,
ECB,19280,0.75,,,
ECB,19281,0.75,,,
ECB,19282,0.75,,,
ECB,19283,0.75,,,
ECB,19284,0.75,,,
ECB,19285,0.75,,,
ECB,19286,0.75,,,
ECB,19287,0.75,,,
ECB,19288,0.75,,,
ECB,19289,0.75,,,
ECB,19290,0.75,,,
ECB,19291,0.75,,,
ECB,19292,0.75,,,
ECB,19293,0.75,,,
ECB,19294,0.75,,,
ECB,19295,0.75,,,
ECB,19296,0.75,,,
ECB,19297,0.75,,,
ECB,19298,1.5,,,
ECB,19299,1.5,,,
ECB,19300,1.5,,,
ECB,19301,1.5,,,
ECB,19302,1.5,,,
ECB,19303,1.5,,,
ECB,19304,1.5,,,
ECB,19305,1.5,,,
ECB,19306,1.5,,,
ECB,19307,1.5,,,
ECB,19308,1.5,,,
ECB,19309,1.5,,,
ECB,19310,1.5,,,
ECB,19311,1.5,,,
ECB,19312,1.5,,,
ECB,19313,1.5,,,
ECB,19314,1.5,,,
ECB,19315,1.5,,,
ECB,19316,1.5,,,
ECB,19317,1.5,,,
ECB,19318,1.5,,,
ECB,19319,1.5,,,
ECB,19320,1.5,,,
ECB,19321,1.5,,,
ECB,19322,1.5,,,
ECB,19323,1.5,,,
ECB,19324,1.5,,,
ECB,19325,1.5,,,
ECB,19326,1.5,,,
ECB,19327,1.5,,,
ECB,19328,1.5,,,
ECB,19329,1.5,,,
ECB,19330,1.5,,,
