date,Period,CPI (overall index),FT core,"Excluding energy, food, alcoholic beverages & tobacco"
2007-03-01,Three months,1.8098997448448673,2.645564791705901,1.762773101002768
2007-02-01,Three months,2.1583684713511353,2.8799815630599697,1.8377609731446531
2007-01-01,Three months,2.8950598047644993,2.8355924567179662,1.9734831234716532
2006-12-01,Three months,3.8302776699113528,3.221414579991552,2.1737161176490716
2006-11-01,Three months,2.348305405444373,3.0623693877544276,2.2807103400535267
2006-10-01,Three months,1.8903836806785534,3.0525147620451754,2.016978304290662
2006-09-01,Three months,2.445610092604422,2.932472850468839,2.0011847381478542
2006-08-01,Three months,3.692086592909538,3.0057297279367328,1.6979338358937168
2006-07-01,Three months,4.277473980222779,2.7885966909950906,1.367252786663653
2006-06-01,Three months,4.146285521149595,2.704982679932447,1.4074186861742666
2006-05-01,Three months,2.931842609804902,2.3933208442664573,0.9441468495412941
2006-04-01,Three months,1.8720734576276765,2.3063150650088304,1.2158712358664614
2006-03-01,Three months,1.5542277809196037,2.4749046577492955,1.2475120534165551
2006-02-01,Three months,1.8410432373810792,2.4753396174561684,1.3681477301280998
2006-01-01,Three months,1.691780087784167,2.2679432235084183,1.079332443747849
2005-12-01,Three months,1.5487054827946434,2.4363632951871295,1.026655328204229
2005-11-01,Three months,1.4043565855718088,2.2840613931323293,0.72005602984615
2005-10-01,Three months,1.6172321142900126,1.9395170511669846,0.6711540698365548
2005-09-01,Three months,2.7195137861349306,2.527346446397755,1.4453380524898751
2005-08-01,Three months,2.8388527902855287,2.5437082271047737,1.6758942450860514
2005-07-01,Three months,2.9694113231194974,2.8173384366974483,2.2833126552725735
2005-06-01,Three months,1.4391732797951695,2.463680055010178,1.4377037265642434
2005-05-01,Three months,2.0340245989924455,2.819610768957109,1.9629984996107464
2005-04-01,Three months,1.581241064945349,2.045119151444749,1.2913929365360843
2005-03-01,Three months,1.9834715853170426,2.0827484962004723,1.4365206849353607
2005-02-01,Three months,2.298263140376644,2.1698080380306273,1.6599213549119085
2005-01-01,Three months,3.2539094194928175,2.691690429550506,2.203686988691822
2004-12-01,Three months,3.737684803518082,2.859067537025577,2.136266805303455
2004-11-01,Three months,2.367859550964835,2.299049858860741,1.321599070091506
2004-10-01,Three months,1.4748187459701745,2.2233889951698744,1.0367747841496744
2004-09-01,Three months,0.9026435374211994,1.838763959564654,0.81581699642157
2004-08-01,Three months,1.0133503637161256,2.1651635355273102,1.152327223191052
2004-07-01,Three months,1.5120368907768356,1.823269425558228,1.2475787170327823
2004-06-01,Three months,1.0484172287494653,1.9491812655833498,1.265361116228103
2004-05-01,Three months,0.9061252581500812,2.09863181063021,0.7631574659577423
2004-04-01,Three months,0.2922202395961637,1.8653338428780308,0.6258476674328106
2004-03-01,Three months,1.0121155805472126,1.967545477237002,1.129287859770134
2004-02-01,Three months,1.5588290337974708,2.1587121303450676,1.2815542475035357
2004-01-01,Three months,1.6121697356344944,2.023735312882611,1.1170503190376158
2003-12-01,Three months,1.4461435673186473,1.9196505390098486,0.6429524372539852
2003-11-01,Three months,1.628804977018894,2.1867282403093737,1.0005651187123155
2003-10-01,Three months,2.1294294747993714,2.431330240614219,1.2081431847002166
2003-09-01,Three months,2.8636836510094854,2.5629395095607967,1.7344864590074005
2003-08-01,Three months,1.8404760532999775,1.9897465700749133,1.2161349631053975
2003-07-01,Three months,0.5525836625282388,2.1938824749044694,0.9304438123196146
2003-06-01,Three months,-0.873675608651181,1.9530310068248748,0.4492087984558024
2003-05-01,Three months,0.0535438948826128,2.094448948709438,0.7963083900530687
2003-04-01,Three months,1.3791817865062894,2.094319951524137,1.3504657700392997
2003-03-01,Three months,1.6260463070292053,2.3858116736418333,0.9257638133292945
2003-02-01,Three months,1.8231241344006222,2.0763954549815264,1.4741747206336475
2003-01-01,Three months,1.3828506076393854,1.8748420445102727,1.199532236532641
2002-12-01,Three months,2.2368340338286385,2.1002110309036612,2.1580735830197373
2002-11-01,Three months,1.801178661016789,2.0922644671613515,1.4871922113061986
2002-10-01,Three months,1.8761384257185654,2.284564697498433,1.5609887475867001
2002-09-01,Three months,1.5902143725550655,2.3213272790497927,1.1297978960831179
2002-08-01,Three months,1.459129453065211,2.1065303389442906,1.603720255226504
2002-07-01,Three months,1.171211504556835,2.045045269361243,1.7451368930850197
2002-06-01,Three months,0.6368584369120578,2.13423622821199,1.5037884564561788
2002-05-01,Three months,1.1271756622719176,1.8271693473391772,1.562717923810375
2002-04-01,Three months,0.845024229057878,1.7599964367592893,1.0739458722334616
2002-03-01,Three months,2.1143003076125044,2.628763958456578,1.7813179524652778
2002-02-01,Three months,1.7971045788909734,2.597431935885845,1.5964253959785957
2002-01-01,Three months,1.577983582715814,2.6355334469463028,2.000893893105138
2001-12-01,Three months,-0.25297853490645617,2.254429205725444,0.9844107814059422
2001-11-01,Three months,-0.4401639943397262,2.3713855794219234,0.6131203111393146
2001-10-01,Three months,0.7873948854680624,2.5555778304921164,1.1211022893916178
2001-09-01,Three months,0.13536473906889945,2.536809539185263,1.3961535722135876
2001-08-01,Three months,0.963171876084612,2.707535098373915,1.7847318879408602
2001-07-01,Three months,2.3076423411028557,2.6794492065213715,1.5301117883637971
2001-06-01,Three months,4.140644472608601,3.0254130796480916,2.2169380779599956
2001-05-01,Three months,3.5447938320724237,2.8300832434221554,1.9884380202774166
2001-04-01,Three months,1.7776214502063903,2.8909780153582227,1.6134436365837779
2001-03-01,Three months,0.23615272959336409,2.242786222464973,0.9929640780415028
2001-02-01,Three months,-0.7826018758595121,2.37025902633853,0.656457829021484
2001-01-01,Three months,-0.026167147990541206,2.3188012578463124,0.5863047970375179
2000-12-01,Three months,0.9129157580901825,2.434158372062008,0.7513891363418734
2000-11-01,Three months,3.5871584666713474,2.774220011906281,1.6399809199682647
2000-10-01,Three months,1.685543583548621,2.3148045451707064,1.5344678162435788
2000-09-01,Three months,1.6733826770067184,2.177675491633095,0.7914349672041521
2000-08-01,Three months,0.4417089909996008,1.7229265484859788,-0.1464492070076262
2000-07-01,Three months,1.3103243397605935,2.1784754365822114,-0.15413925882393764
2000-06-01,Three months,0.8068154566367003,1.6000403102734244,-0.26431294064777067
2000-05-01,Three months,0.057507508309373456,1.6913049354847127,-0.2681087042122665
2000-04-01,Three months,0.4471387657532411,1.7191097675588773,0.06397135173401569
2000-03-01,Three months,-0.21371756646096918,1.6095810362001235,-0.16554382440796545
2000-02-01,Three months,0.18960837362989036,1.9263587498178065,-0.017136151881480544
2000-01-01,Three months,0.5099941353839066,1.764865941829956,-0.21785103936593497
1999-12-01,Three months,1.6166172001754298,1.8897770028887484,0.14867802340552405
1999-11-01,Three months,1.6891641333247387,1.8529590186815734,0.24314752232597048
1999-10-01,Three months,1.1940918257803634,1.5707312144555814,-0.06909688539474823
1999-09-01,Three months,0.9917905683052952,1.2440304607399142,0.0758297111799422
1999-08-01,Three months,0.31483766604876173,1.7893717725800828,0.04383098464550983
1999-07-01,Three months,0.20032024020173456,1.5083164330748005,0.2978065236993732
1999-06-01,Three months,0.15389208872909066,2.1694170344403,0.4246000768866054
1999-05-01,Three months,1.5563808051983319,1.6863058857369624,0.6018249744844661
1999-04-01,Three months,1.2826648817823694,1.3958837910049753,0.3311988387077136
1999-03-01,Three months,1.6300844144510052,1.9001977490419282,0.5293742816045555
1999-02-01,Three months,1.0978668389374446,1.9780955547635397,0.6258816585077653
1999-01-01,Three months,1.7479387312017147,2.22208802305092,1.1232695449142849
1998-12-01,Three months,1.9412098133562372,2.088193122475672,1.025194685396169
1998-11-01,Three months,1.8944049598383472,1.918863309271832,1.3393632344719464
1998-10-01,Three months,1.9742484313748365,2.277968212535669,1.1550192271795323
1998-09-01,Three months,1.7385743198833126,2.4887259919966778,1.123900810133871
1998-08-01,Three months,0.7625632492672896,2.0675485579167243,0.5684707885674323
1998-07-01,Three months,1.26097764971278,2.3865502578722673,1.138053050210086
1998-06-01,Three months,1.3179201241968697,2.4089508254118814,1.0261622005725668
1998-05-01,Three months,1.8700570225562707,2.449166847253944,1.3427879477616367
1998-04-01,Three months,1.3452990773561435,2.4890911877351423,1.3693976358158721
1998-03-01,Three months,1.0768474568526365,2.680739829870778,1.4898071942757607
1998-02-01,Three months,0.7887742552961985,2.604801881572786,1.3756401236021398
1998-01-01,Three months,0.8515979107021954,2.1896659184488225,1.3432236493348348
1997-12-01,Three months,1.528310536669486,2.3581175549584774,1.8486372860350153
1997-11-01,Three months,1.949473037938132,2.495790489515085,1.90331953324685
1997-10-01,Three months,2.3449812588411945,2.67413635519693,1.8298157096034773
1997-09-01,Three months,2.868315117862119,2.29611321669345,1.8660227517796724
1997-08-01,Three months,3.651355844760662,2.872380842008958,2.057341607249974
1997-07-01,Three months,2.8575553171307444,2.431124882215609,1.7158206384920494
1997-06-01,Three months,1.1060744026047953,2.3086104024326315,1.4365346151318459
1997-05-01,Three months,-0.01992985492178523,2.2416068097675756,1.6541388227536258
1997-04-01,Three months,-0.13030900170425408,2.1522925412885385,1.5656662599726978
1997-03-01,Three months,1.165599366279535,3.0075797375832507,1.9033943131596898
1997-02-01,Three months,1.9958209746236744,2.2810785644317924,1.6983885665069254
1997-01-01,Three months,2.4790436962176976,2.4852935236014164,2.073566630965318
1996-12-01,Three months,2.197890259755031,2.8298596590959195,1.9779010051324653
1996-11-01,Three months,2.3476287575151966,3.0087905044663383,2.2058738427241043
1996-10-01,Three months,2.850327098322758,2.8492605347359192,2.1290836721394646
1996-09-01,Three months,2.3627850783290327,2.9696491755918015,2.04862859000976
1996-08-01,Three months,2.092216944168346,2.857840427777645,1.9484959003136737
1996-07-01,Three months,1.2619879093992203,2.734580792731766,1.9089934202497938
1996-06-01,Three months,1.0745984481407955,2.6875866262091335,1.9572681453524199
1996-05-01,Three months,1.1912783039234265,2.503946310694176,1.7532676761774946
1996-04-01,Three months,1.9495970741736146,2.9686573748770773,2.122757247638485
1996-03-01,Three months,3.305698757682829,2.9386056493952397,2.0542196972436866
1996-02-01,Three months,4.548064784633432,3.2798251865057146,2.271907596209566
1996-01-01,Three months,3.9139938510164507,2.947983531380103,1.9057375469682114
1995-12-01,Three months,2.2867722044570327,2.504612219303272,1.8663205232293256
1995-11-01,Three months,1.2820949728401088,2.865905808767905,2.042447194431718
1995-10-01,Three months,1.793690431238959,2.850902323965155,1.9450910657974552
1995-09-01,Three months,2.7642718219246243,3.1263773068546126,2.135238556637975
1995-08-01,Three months,2.4635270723014635,2.5635519715172883,2.1989858288091524
1995-07-01,Three months,2.6249240378436234,3.2565035292200633,2.3626895083696198
1995-06-01,Three months,1.768149055627699,2.7347482381139767,2.4006074599952854
1995-05-01,Three months,2.3265658447683357,2.314075824089334,2.2795385164938065
1995-04-01,Three months,2.1481868375073043,2.604816630478568,2.160821749233799
1995-03-01,Three months,4.7961310941704305,3.3473333240096523,2.5051169290193798
1995-02-01,Three months,4.961102929115535,3.2591461087984555,2.356122464392252
1995-01-01,Three months,4.920352085448321,3.0918141173520977,2.744464558244286
1994-12-01,Three months,2.537775065720682,2.7258004529961406,2.0376217695107224
1994-11-01,Three months,0.7365799302625264,2.086782056626895,1.4345666607460394
1994-10-01,Three months,1.1356998340455782,2.359945557219215,1.518525197040499
1994-09-01,Three months,1.3591711238517323,1.8284705010495081,1.1715142215744212
1994-08-01,Three months,2.088472992888346,2.183991259379181,1.3801060988110514
1994-07-01,Three months,1.1891390122877654,1.7837090981273493,0.9680088444304902
1994-06-01,Three months,1.5181420115984112,2.1508985226980992,0.7526803744850818
1994-05-01,Three months,1.643363109990248,1.7553469380623712,0.8092787668739554
1994-04-01,Three months,2.290274680218096,2.1417093238405114,1.1374780523008887
1994-03-01,Three months,2.590413841209549,2.6854239944127074,1.8060896940839566
1994-02-01,Three months,2.963693511495946,1.996158512111268,1.90026150214877
1994-01-01,Three months,1.5645427310854831,1.8198943635920595,1.2683813385192755
1993-12-01,Three months,0.6764706373094009,1.7877340985088388,1.3512341285693008
1993-11-01,Three months,0.8633631513667472,2.385831086176582,1.7565822835232003
1993-10-01,Three months,1.9722856289748902,3.0148697323937648,2.52173234519788
1993-09-01,Three months,3.4498438402073894,3.389068198301996,3.1179960485584246
