date,item,index,One month,Three months,Six months,One year
2024-06-01,All items,313.049,-0.6721957765004616,1.0533620418171852,2.809492500195221,2.9756285299816096
2024-06-01,Energy,278.938,-21.895902560282067,-11.26606934373864,-1.07042194076149,0.9142183198208417
2024-06-01,All items less food,310.486,-1.2247115162529632,0.9681785840961243,2.963612311442221,3.09292727387431
2024-06-01,All items less food and shelter,271.226,-3.540652280400425,-1.0737528579383038,1.58028360538085,1.7073344508067922
2024-06-01,"All items less food, shelter, and energy",273.397,-0.2848589948761915,0.6419263694376287,1.9678802914475435,1.8177687735553827
2024-06-01,"All items less food, shelter, energy, and used cars and trucks",278.756,0.5569984029911046,1.1053071334290454,2.718165673466877,2.4789256395834007
2024-06-01,All items less food and energy,318.346,0.7797895973812752,2.0977817592090053,3.3071376964910915,3.276938798682866
2024-06-01,All items less shelter,282.703,-2.2018186450008304,-0.5133745612364349,1.6269268814836924,1.811849952461879
2024-06-01,All items less medical care,300.848,-0.908914777811054,0.7520659650785966,2.695148972797967,2.9508084523911333
2024-06-01,All items less energy,319.122,1.0893510620587854,2.0270387231296594,3.091943769715244,3.1242123223483964
2024-06-01,Apparel less footwear,124.044,3.0082578050666164,5.716492392428174,3.5095079634335002,0.8037056600706921
2024-06-01,Apparel,132.088,1.3083222591557364,3.924284083260754,2.9717905510599607,0.7651523820421756
2024-06-01,Men's and boys' apparel,128.465,-13.30833136728311,4.3261250408410445,3.9872812835470173,0.8122106254414161
2024-06-01,Women's and girls' apparel,110.646,6.0812892656645134,5.8557806574060844,3.6297063556549825,0.772327364797172
2024-06-01,Commodities,222.719,-4.2268174898677735,-1.9076098395318097,-0.4778089085705206,-0.3173281773099178
2024-06-01,Energy commodities,301.704,-36.22567250738291,-17.166191672754938,-5.822786474466469,-2.276724548396186
2024-06-01,Commodities less food,178.009,-8.324591559218476,-3.963750784720521,-1.7583975413696051,-1.7002783177239837
2024-06-01,Commodities less food and beverages,174.214,-8.716047695716167,-4.1698964937107785,-1.8676473227217327,-1.8225057481628468
2024-06-01,Commodities less food and energy commodities,165.144,-1.470508721297148,-1.0897409415760562,-1.2595919145726553,-1.7023404204661707
2024-06-01,"Commodities less food, energy, and used cars and trucks",163.662,0.4630855034110537,-0.1538278125483017,0.1259880920302603,-0.6507460512098308
2024-06-01,Durables,122.085,-5.870014706488968,-5.865851463800309,-4.424673484240271,-4.1229826834727294
2024-06-01,Education and communication,146.144,-0.7930491452059929,0.48317048200261503,1.9903050050037896,0.7049289902908581
2024-06-01,Education,298.59,2.039703341399024,3.4315450859046193,3.494328268068747,2.7809618224438832
2024-06-01,Communication,74.554,-2.8210660320693304,-1.6197975049418223,0.9210877539834295,-0.6794202280720332
2024-06-01,Information and information processing,70.145,-2.9126794612238327,-1.7205112866798045,0.7541137876513337,-0.7639527481078111
2024-06-01,Education and communication commodities,55.221,-5.521720235871108,-7.913893330515442,-4.628169718830333,-7.73279419873348
2024-06-01,Education and communication services,122.915,0.009763360541081845,1.9666277217609052,3.154528085316799,2.264690955380104
2024-06-01,Food and beverages,326.94,2.934312576201026,1.6002030242400878,1.804823560983304,2.2022851248065822
2024-06-01,Food,329.524,2.971067733837174,1.6085796998623891,1.8328796270301817,2.226482641377156
2024-06-01,Food at home,305.465,1.5968204123301577,-0.2901769214414762,0.5245366790677108,1.137304241300534
2024-06-01,Cereals and bakery products,356.35,-1.57584836483472,2.5138618120573275,0.024699397016014757,0.5246974526784998
2024-06-01,"Meats, poultry, fish, and eggs",323.581,2.0851407834619806,-1.0097082872447483,1.5228254942918795,2.634850955042286
2024-06-01,"Meats, poultry, and fish",325.499,-0.9170770178753895,0.36334318728128423,0.30484360617037964,2.088188156479253
2024-06-01,Meats,333.485,-3.0989982709073494,0.34618993080273164,0.5824683612640325,3.5079442428681906
2024-06-01,Fruits and vegetables,348.734,-6.026333599872846,-5.100277086515026,-2.089217858106973,-0.5066902513480387
2024-06-01,Fresh fruits and vegetables,391,-7.3319690596745595,-6.723376335124865,-2.6931988053157996,-1.0119064195424303
2024-06-01,Nonalcoholic beverages and beverage materials,219.625,0.8618251086101036,-1.408079128378903,1.8024930795156102,1.492640772661101
2024-06-01,Other food at home,273.745,6.191566089666023,2.252222390229952,1.4721571315335469,1.593610712151739
2024-06-01,Alcoholic beverages,290.358,2.3012919267831444,1.4680796452698708,1.3540110086837531,1.8178375307706967
2024-06-01,Other goods and services,559.174,7.01414464817145,4.876826793547484,3.6632867904442756,4.154644801618263
2024-06-01,Personal care,282.474,7.264712733000289,3.9759500901575207,2.799645694561126,3.240779658415158
2024-06-01,Other goods,139.983,2.5022070216593306,2.125182768680167,3.5132134493467415,3.452021993614751
2024-06-01,Housing,333.343,2.1854216034875806,2.8131612678431672,4.293785082717649,4.382366571890228
2024-06-01,Shelter,399.546,2.0620212755535716,3.8692238148387847,4.966600382800768,5.134830751094648
2024-06-01,Fuels and utilities,314.009,-1.0222946212761985,-2.2406315623600515,3.7358070848637404,4.23500668877449
2024-06-01,Household energy,263.074,-2.2349965711817688,-3.843004840736308,3.28071882689005,4.117211710089412
2024-06-01,Household furnishings and operations,147.355,6.541171351509623,-0.5707219218701876,-0.29522877678911374,-0.7523304057330801
2024-06-01,Household furnishings and supplies,105.455,-2.081353467536662,-2.140540964271276,-2.1844012835897875,-2.5180487895062846
2024-06-01,Medical care,565.711,2.1002285001954,4.613569885238622,4.161523842875936,3.2635917580572182
2024-06-01,Medical care commodities,416.812,2.364665181944514,7.947277815457987,3.1667625103433794,3.143458819278965
