date,General services,Services (wage-sensitive),Services (excl. wage-sensitive)
2025-05-01,1.6699410609037357,1.7114073378789563,3.770590521420113
2025-04-01,1.571709233791757,1.6402687098760618,3.4078334590394657
2025-03-01,1.3793103448275916,1.315086425689929,3.1624787739397573
2025-02-01,1.2833168805528106,1.3898351456758542,2.8941943310183467
2025-01-01,1.3847675568743876,1.6754178147797438,2.9895037595814316
2024-12-01,1.7821782178217793,4.24479091892304,2.686756400351081
2024-11-01,1.6865079365079396,4.1034915601361055,2.395190498133119
2024-10-01,1.7874875868917548,3.9959074162952475,2.545795296535876
2024-09-01,1.7928286852589612,3.8206162976992033,2.8692925411499743
2024-08-01,1.9860973187686197,4.07110931127561,3.250845866127062
2024-07-01,1.8962075848303308,3.7636812668973523,3.072996605828844
2024-06-01,2.31388329979879,3.670938267027131,4.785496188006267
2024-05-01,2.208835341365465,3.7251241200956957,4.374242208116413
2024-04-01,2.4144869215291664,4.114803516608904,4.832221864631817
2024-03-01,2.7327935222672095,4.581280925811576,5.80709780657746
2024-02-01,2.9471544715447067,4.445929269116067,6.374652122923292
2024-01-01,2.9531568228105822,4.365296599075663,6.559742062371354
2023-12-01,3.1664964249233853,2.249478174189858,8.771592874421689
2023-11-01,3.172978505629472,2.274800391896303,9.004474587983019
2023-10-01,2.8600612870275763,2.410812744436673,7.822677897128598
2023-09-01,2.4489795918367405,2.5795538938980114,6.0476454765891186
2023-08-01,2.4415055951169946,2.7051521823743587,6.24617488627046
2023-07-01,2.3493360572012225,2.698826505019678,6.004527684419467
2023-06-01,1.9487179487179547,2.7303002349516445,4.397811878987499
2023-05-01,1.9447287615148325,2.749449016044259,4.8204041315880515
2023-04-01,1.9487179487179547,2.661742358010312,4.782655254298432
2023-03-01,1.8556701030927807,2.606641524795708,4.278859653782812
2023-02-01,1.547987616099071,2.505161951749032,3.427664287004386
2023-01-01,1.446280991735543,2.5408119170367156,3.021234784599536
2022-12-01,0.9278350515463977,2.4687555512260078,1.4923868776451974
2022-11-01,0.8255933952528349,2.3687449023998552,1.195197169529879
2022-10-01,1.0319917440660475,2.4347422147974247,1.9943639605002312
2022-09-01,0.6160164271047169,2.097706534430828,0.5282267379041442
2022-08-01,0.408580183861074,1.826550657950278,0.1482080922724308
2022-07-01,-0.10204081632652481,1.8114779686472724,-1.6071549451413956
2022-06-01,-0.20470829068577567,1.7121435985808948,-1.7770899829126152
2022-05-01,-0.10224948875255044,1.6235425950688738,-1.8107394632745737
2022-04-01,-0.20470829068577567,1.5477958849590145,-1.9288558231400306
2022-03-01,-3.1936127744511005,1.5243769336666813,-11.057861462225983
2022-02-01,-3.389830508474568,1.5103194962686601,-11.506725091839622
2022-01-01,-3.489531405782652,1.3163655510771595,-11.955707408191325
2021-12-01,-2.7081243731193605,1.3163032040349667,-9.705256849565
2021-11-01,-2.6130653266331603,1.3146964226533684,-9.2950226041575
2021-10-01,-2.6130653266331603,1.0388501079372119,-9.357267874069027
2021-09-01,-2.2088353413654502,0.9414469472091319,-7.812628802242173
2021-08-01,-2.002002002002002,0.9552217246858339,-7.33624401934307
2021-07-01,-2.1956087824351327,0.8911685774540233,-7.644984011523539
2021-06-01,-2.3976023976023892,0.8764817061788471,-8.46453954230373
2021-05-01,-2.5896414342629566,0.8935478936134442,-8.659193997727023
2021-04-01,-2.5922233300099644,0.7856522441283336,-8.769679819743635
2021-03-01,-0.09970089730807011,-0.9139096530084797,0.04769429728150489
2021-02-01,0.09980039920159114,-0.9330842028353467,0.4993021099022674
2021-01-01,0.09980039920159114,-0.929463116165605,0.8127658169274472
2020-12-01,-0.894632206759435,-1.0258207896885494,-2.1018479215610446
2020-11-01,-0.9950248756218906,-1.0570405048289708,-2.601477253651161
2020-10-01,-0.9950248756218906,-1.0727544890617218,-2.3174397072105823
2020-09-01,0,0.33737025140735805,-0.13814251059221766
2020-08-01,-0.19980019980018843,0.7036396853088625,-0.7399206162161941
2020-07-01,0.8048289738430555,0.8067963969343438,1.624302637656641
2020-06-01,0.6030150753768787,0.41547912979074075,1.537727885262449
2020-05-01,0.7021063189568734,0.444997937097636,1.2816954133486835
2020-04-01,0.501002004008016,0.34841746011153546,0.8053509325584188
2020-03-01,0.905432595573432,2.291539485064537,0.9123294812755333
2020-02-01,0.7035175879397014,2.0919853213569524,0.4772207371013186
2020-01-01,0.8048289738430555,2.419287040224887,0.5933242083261394
2019-12-01,1.1055276381909491,2.3514426023140715,1.162112430785147
2019-11-01,1.0050251256281406,2.3374793160047065,0.8437218561880773
2019-10-01,0.903614457831331,2.2395478607813635,0.7909935903412688
2019-09-01,0.20120724346075317,0.8901148996915276,-0.666433278734192
2019-08-01,0.09999999999999432,1.1890531299928238,-1.079285105697831
2019-07-01,0.10070493454180113,1.1113673277054763,-0.8893820445576073
2019-06-01,0.20140986908358796,1.1985209314315495,-0.7014528089992776
2019-05-01,0.20100502512563098,1.224617505722362,-0.5559518332650984
2019-04-01,0.40241448692152054,1.4849389071398569,-0.2733209979807295
2019-03-01,0.2016129032258093,0.798010347937208,-0.5168569605353261
2019-02-01,0.3024193548387068,0.963620469369905,-0.2905147362117796
2019-01-01,0.40404040404040975,1.0867513733948904,-0.11510818297522415
2018-12-01,0.20140986908358796,1.1829924668249736,-0.4806520620650485
2018-11-01,0.10060362173037658,0.9789457533211878,-0.3901994840058613
2018-10-01,0.20120724346075317,1.1252170193705016,-0.550445414022626
2018-09-01,0.10070493454180113,1.0900406179307753,-0.573096720975481
2018-08-01,0.4016064257028169,0.7780940716402996,0.4303716018751096
