date,geo,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Policy rate
2022-03-07,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-08,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-09,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-10,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-11,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-12,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-13,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-14,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-15,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-16,Fed,,,,,,,,,,,,,,,,,,0.125
2022-03-17,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-18,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-19,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-20,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-21,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-22,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-23,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-24,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-25,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-26,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-27,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-28,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-29,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,0.375
2022-03-31,Fed,,,,,,,,,,,,,,,,,,
2022-04-01,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-02,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-03,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-04,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-05,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-06,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-07,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-08,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-09,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-10,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-11,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-12,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-13,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-14,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-15,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-16,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-17,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-18,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-19,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-20,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-21,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-22,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-23,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-24,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-25,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-26,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-27,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-28,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-29,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
