date,Week,Macro Mood (week),Macro Mood
2023-12-16,2023-12-16,-0.04783506685650645,-0.05063551256008358
2023-12-09,2023-12-09,-0.0534758445178987,-0.05089882455361949
2023-12-02,2023-12-02,-0.0481909711625406,-0.04934157039753447
2023-11-25,2023-11-25,-0.05304016770338856,-0.05260141012182592
2023-11-18,2023-11-18,-0.0488883148306501,-0.05276943072480989
2023-11-11,2023-11-11,-0.04724682789355863,-0.05266467727136687
2023-11-04,2023-11-04,-0.0612303300597064,-0.05408981129723525
2023-10-28,2023-10-28,-0.05371225011532443,-0.05305349168317559
2023-10-21,2023-10-21,-0.04846930101687802,-0.05498697094316553
2023-10-14,2023-10-14,-0.05294736399703216,-0.05474831544018434
2023-10-07,2023-10-07,-0.05708505160346775,-0.05402690780554235
2023-09-30,2023-09-30,-0.0614461671552842,-0.05256845516998819
2023-09-23,2023-09-23,-0.04751467900495325,-0.04855277406597839
2023-09-16,2023-09-16,-0.05006173345846421,-0.04815646293859134
2023-09-09,2023-09-09,-0.0512512410612511,-0.05105761808925543
2023-09-02,2023-09-02,-0.045383442739245,-0.05172939174654897
2023-08-26,2023-08-26,-0.04592943449540503,-0.05051069179225253
2023-08-19,2023-08-19,-0.0616663540611206,-0.05020198233169289
2023-08-12,2023-08-12,-0.05393833569042529,-0.04758453165234357
2023-08-05,2023-08-05,-0.04050864292205921,-0.04710547975959842
2023-07-29,2023-07-29,-0.04469459665316645,-0.04970478214003728
2023-07-22,2023-07-22,-0.05119655134372333,-0.05440847852402621
2023-07-15,2023-07-15,-0.05202212811944468,-0.05387766564579656
2023-07-08,2023-07-08,-0.05090585244381466,-0.05374053125192686
2023-07-01,2023-07-01,-0.0635093821891222,-0.05173696687721053
2023-06-24,2023-06-24,-0.04907329983080473,-0.04818704525039991
2023-06-17,2023-06-17,-0.05147359054396587,-0.04849690598768001
2023-06-10,2023-06-10,-0.04289159494494932,-0.04779547967566115
2023-06-03,2023-06-03,-0.04930969568187973,-0.05074920176998823
2023-05-27,2023-05-27,-0.05031274277992513,-0.05121279791966794
2023-05-20,2023-05-20,-0.04866788529589041,-0.05071031385472734
2023-05-13,2023-05-13,-0.05470648332225765,-0.05119409221796534
2023-05-06,2023-05-06,-0.05116408028059861,-0.05055786684381739
2023-04-29,2023-04-29,-0.0483028065201627,-0.0508367860801457
2023-04-22,2023-04-22,-0.05060299874884239,-0.05418126971164244
2023-04-15,2023-04-15,-0.05216158182566585,-0.05798693889396217
2023-04-08,2023-04-08,-0.05227975722591188,-0.0626587072144068
2023-04-01,2023-04-01,-0.06168074104614966,-0.06224654339107877
2023-03-25,2023-03-25,-0.06582567547812128,-0.05821123659186513
2023-03-18,2023-03-18,-0.07084865510744442,-0.05215555640249026
2023-03-11,2023-03-11,-0.05063110193259969,-0.04690183692370775
2023-03-04,2023-03-04,-0.04553951384929513,-0.04891151367406586
2023-02-25,2023-02-25,-0.04160295472062182,-0.05015025115927987
2023-02-18,2023-02-18,-0.04983377719231437,-0.05043985523130825
2023-02-11,2023-02-11,-0.05866980893403212,-0.0512358287635942
2023-02-04,2023-02-04,-0.05049446379015118,-0.04948401757066643
2023-01-28,2023-01-28,-0.04276137100873534,-0.05093423510189975
2023-01-21,2023-01-21,-0.05301767132145817,-0.05648099979388776
2023-01-14,2023-01-14,-0.05166256416232104,-0.05866194091672368
2023-01-07,2023-01-07,-0.05629533391508445,-0.06119940405654771
2022-12-31,2022-12-31,-0.06494842977668738,-0.06113002306297645
2022-12-24,2022-12-24,-0.06174143581280184,-0.06030678418623726
2022-12-17,2022-12-17,-0.06181241672161715,-0.05755190114673021
2022-12-10,2022-12-10,-0.05601780994079943,-0.05773819513624248
2022-12-03,2022-12-03,-0.06165547426973063,-0.05946812332447931
2022-11-26,2022-11-26,-0.0507219036547736,-0.06056535655731257
2022-11-19,2022-11-19,-0.06255759267966625,-0.06573230707083816
2022-11-12,2022-11-12,-0.06293752269374682,-0.06998160830903372
2022-11-05,2022-11-05,-0.06604440720106365,-0.0767440839908083
2022-10-29,2022-10-29,-0.07138970570887596,-0.08009037147598963
2022-10-22,2022-10-22,-0.07955479763244845,-0.086666105029815
2022-10-15,2022-10-15,-0.08998742542084515,-0.08405045501702241
2022-10-08,2022-10-08,-0.07942955714178898,-0.07857582310303197
2022-10-01,2022-10-01,-0.09769263992417744,-0.0764973411877154
2022-09-24,2022-09-24,-0.06909219758127806,-0.06983763257512123
2022-09-17,2022-09-17,-0.0680888977648834,-0.0691097617151536
2022-09-10,2022-09-10,-0.07111562948052268,-0.06602298260728458
2022-09-03,2022-09-03,-0.07105380547380073,-0.06409911780986252
2022-08-27,2022-08-27,-0.06618071414140757,-0.06193245956982437
2022-08-20,2022-08-20,-0.05574178133340735,-0.06038722039442083
2022-08-13,2022-08-13,-0.06342017029083441,-0.0652798800884459
2022-08-06,2022-08-06,-0.06238717251364813,-0.06885657810833425
2022-07-30,2022-07-30,-0.05999975743979344,-0.07022975762269151
2022-07-23,2022-07-23,-0.07531242010950763,-0.07080833296118753
2022-07-16,2022-07-16,-0.07772696237038779,-0.06873782211862164
2022-07-09,2022-07-09,-0.06787989057107718,-0.06467973296944975
2022-07-02,2022-07-02,-0.06231405879377753,-0.06517256912485117
2022-06-25,2022-06-25,-0.06703037673924406,-0.06392500347453606
2022-06-18,2022-06-18,-0.06149460577370021,-0.06185334888182668
2022-06-11,2022-06-11,-0.0698512351926829,-0.06291028361839113
2022-06-04,2022-06-04,-0.05732379619251702,-0.06228657785787162
2022-05-28,2022-05-28,-0.05874375836840663,-0.06264657582785263
2022-05-21,2022-05-21,-0.06572234471995797,-0.06414866331802468
2022-05-14,2022-05-14,-0.06735641215060485,-0.06344792889821803
2022-05-07,2022-05-07,-0.05876378807244108,-0.06184768892019221
2022-04-30,2022-04-30,-0.06475210832909481,-0.0626958875108932
2022-04-23,2022-04-23,-0.06291940704073137,-0.06394852500770462
2022-04-16,2022-04-16,-0.06095545223850156,-0.067879519839172
2022-04-09,2022-04-09,-0.06215658243524503,-0.06937666612821917
2022-04-02,2022-04-02,-0.06976265831634049,-0.07054240890205649
2022-03-26,2022-03-26,-0.07864338636660091,-0.07146773941567097
2022-03-19,2022-03-19,-0.0669440373946903,-0.06695164791595817
2022-03-12,2022-03-12,-0.06681955353059428,-0.05986263795268611
2022-03-05,2022-03-05,-0.0734639803707984,-0.05322288196108699
2022-02-26,2022-02-26,-0.0605790203677497,-0.04671701888709935
2022-02-19,2022-02-19,-0.03858799754160205,-0.04454493598123965
2022-02-12,2022-02-12,-0.04026052956419778,-0.04724276611896261
2022-02-05,2022-02-05,-0.04744052807484787,-0.04843022439675169
2022-01-29,2022-01-29,-0.05189068874431091,-0.04864684759260228
2022-01-22,2022-01-22,-0.0493793180924939,-0.04515657878071616
2022-01-15,2022-01-15,-0.04501036267535411,-0.04583818677420906
2022-01-08,2022-01-08,-0.0483070208582502,-0.04639374763339552
2022-01-01,2022-01-01,-0.03792961349676645,-0.04543696447156659
2021-12-25,2021-12-25,-0.05210575006646548,-0.04844240284185038
2021-12-18,2021-12-18,-0.04723260611209994,-0.04810411255278811
2021-12-11,2021-12-11,-0.04447988821093445,-0.04724696866564718
2021-12-04,2021-12-04,-0.0499513669779016,-0.04687412596874994
2021-11-27,2021-11-27,-0.05075258891021645,-0.04519511142492564
2021-11-20,2021-11-20,-0.04380403056353624,-0.04406333738699228
2021-11-13,2021-11-13,-0.04298851742334549,-0.04580189660075014
2021-11-06,2021-11-06,-0.04323530880260438,-0.04694292038163896
2021-10-30,2021-10-30,-0.04622549275848302,-0.04927204808494691
2021-10-23,2021-10-23,-0.05075826741856767,-0.05192703500548649
2021-10-16,2021-10-16,-0.04755261254690077,-0.05485995544028537
2021-10-09,2021-10-09,-0.05255181961583619,-0.05450968117324949
2021-10-02,2021-10-02,-0.05684544044064135,-0.05303941336814412
2021-09-25,2021-09-25,-0.06248994915776317,-0.04842925304128062
2021-09-18,2021-09-18,-0.04615151547875726,-0.0419122436239709
2021-09-11,2021-09-11,-0.04667074839541468,-0.04119654914365688
2021-09-04,2021-09-04,-0.03840479913318737,-0.03853638697569185
2021-08-28,2021-08-28,-0.03642191148852427,-0.03503872604642764
2021-08-21,2021-08-21,-0.04328873755750119,-0.03223018359607929
2021-08-14,2021-08-14,-0.03603009972355456,-0.0317179132415148
2021-08-07,2021-08-07,-0.02441415541613056,-0.0323335579967215
2021-07-31,2021-07-31,-0.02518774168713082,-0.03594336495679943
2021-07-24,2021-07-24,-0.04123965613924326,-0.03890500459351549
2021-07-17,2021-07-17,-0.03849267874438136,-0.03800844576546165
2021-07-10,2021-07-10,-0.03885338325644228,-0.03714996439159207
2021-07-03,2021-07-03,-0.03703430023399507,-0.0367180576404074
2021-06-26,2021-06-26,-0.03765342082702788,-0.03474610393311356
2021-06-19,2021-06-19,-0.03505875324890305,-0.03464355871424809
2021-06-12,2021-06-12,-0.0371257562517036,-0.03640360409751601
2021-06-05,2021-06-05,-0.02914648540481973,-0.03579604000687914
2021-05-29,2021-05-29,-0.037243239951566,-0.03602690182342918
2021-05-22,2021-05-22,-0.04209893478197473,-0.03309442483926638
2021-05-15,2021-05-15,-0.03469549988915611,-0.03003116807401126
2021-05-08,2021-05-08,-0.0300699326710199,-0.02849539148331213
2021-05-01,2021-05-01,-0.0255133320149148,-0.02913812603010174
2021-04-24,2021-04-24,-0.02984590772095425,-0.03219130678765102
2021-04-17,2021-04-17,-0.02855239352635959,-0.03672260769877738
2021-04-10,2021-04-10,-0.03264087085817836,-0.03985947385352448
2021-04-03,2021-04-03,-0.03772605504511185,-0.04038732310396298
2021-03-27,2021-03-27,-0.04797111136545971,-0.04310358895061066
2021-03-20,2021-03-20,-0.04109985814534798,-0.04178746803145655
2021-03-13,2021-03-13,-0.03475226785993238,-0.03995207827958441
2021-03-06,2021-03-06,-0.04859111843170258,-0.04088187040799156
2021-02-27,2021-02-27,-0.04270662768884326,-0.03860867345498474
2021-02-20,2021-02-20,-0.03375829913785945,-0.03880725249214759
2021-02-13,2021-02-13,-0.03847143637356094,-0.03910310127896495
2021-02-06,2021-02-06,-0.03949833061967531,-0.0413508580961922
2021-01-30,2021-01-30,-0.04350094383749463,-0.04150447409462496
2021-01-23,2021-01-23,-0.03494169428512892,-0.03814091339644572
2021-01-16,2021-01-16,-0.04746246364246993,-0.04133708900532162
2021-01-09,2021-01-09,-0.04011279461340635,-0.03646614944871267
2021-01-02,2021-01-02,-0.0300467010447777,-0.03663181467833875
2020-12-26,2020-12-26,-0.04772639672063249,-0.03922063429991951
2020-12-19,2020-12-19,-0.02797870541603415,-0.04029342614784691
2020-12-12,2020-12-12,-0.040775455531910663,-0.04491640693867406
2020-12-05,2020-12-05,-0.04040197953110073,-0.04356326998388674
2020-11-28,2020-11-28,-0.05201756411234209,-0.04478733408753663
2020-11-21,2020-11-21,-0.04647062857934274,-0.04363269325177611
2020-11-14,2020-11-14,-0.03536290771276139,-0.04263952989086343
2020-11-07,2020-11-07,-0.04529823594570031,-0.04611089486582123
2020-10-31,2020-10-31,-0.04739900076929997,-0.04651352986828801
2020-10-24,2020-10-24,-0.04249797513569206,-0.04714560250014735
2020-10-17,2020-10-17,-0.04924836761259259,-0.05135968790645725
2020-10-10,2020-10-10,-0.04690877595556739,-0.05070060489477426
2020-10-03,2020-10-03,-0.04992729129673733,-0.05271017250954298
2020-09-26,2020-09-26,-0.05935431676093169,-0.05284165791857451
2020-09-19,2020-09-19,-0.04661203556586062,-0.04818519421216749
2020-09-12,2020-09-12,-0.05494704641464227,-0.04819424004489851
2020-09-05,2020-09-05,-0.05045323293286345,-0.05042321858003999
2020-08-29,2020-08-29,-0.04072846193530365,-0.05167034191490578
2020-08-22,2020-08-22,-0.04664821889678466,-0.05810832947080448
2020-08-15,2020-08-15,-0.06386296055520818,-0.06051389327878603
2020-08-08,2020-08-08,-0.05544172627232664,-0.05811285931833106
2020-08-01,2020-08-01,-0.06648041215889842,-0.05840487980087946
2020-07-25,2020-07-25,-0.05627047412871087,-0.05486173062926251
2020-07-18,2020-07-18,-0.0542588247133883,-0.05492846808834403
2020-07-11,2020-07-11,-0.05660980820252024,-0.05616735393328764
2020-07-04,2020-07-04,-0.05230781547243065,-0.05869092096434279
2020-06-27,2020-06-27,-0.05653742396503692,-0.05877488451281949
2020-06-20,2020-06-20,-0.05921436809316275,-0.06113024000135506
2020-06-13,2020-06-13,-0.06670407632674087,-0.06528865685453633
2020-06-06,2020-06-06,-0.05264366966633744,-0.06977915545947344
2020-05-30,2020-05-30,-0.06595884591917915,-0.07635840540403951
2020-05-23,2020-05-23,-0.07584803550588787,-0.08231443297139698
2020-05-16,2020-05-16,-0.08466607074648932,-0.08693327726127974
2020-05-09,2020-05-09,-0.0789606694446017,-0.0881163606170578
2020-05-02,2020-05-02,-0.08978295618860903,-0.09057565483259722
2020-04-25,2020-04-25,-0.09432341266541888,-0.09086188418664162
2020-04-18,2020-04-18,-0.08939840416960158,-0.09021663697561928
2020-04-11,2020-04-11,-0.08879784630675941,-0.09636778242462384
2020-04-04,2020-04-04,-0.0909278736047866,-0.09723636284697457
2020-03-28,2020-03-28,-0.0917424238213295,-0.09143612736907504
2020-03-21,2020-03-21,-0.11400298596561988,-0.08527404635436114
2020-03-14,2020-03-14,-0.09227216799616232,-0.07292141944977382
2020-03-07,2020-03-07,-0.06772693169318846,-0.0631801340504337
2020-02-29,2020-02-29,-0.06709409976247395,-0.05896413254785691
2020-02-22,2020-02-22,-0.06459247834727053,-0.05606432631495106
2020-02-15,2020-02-15,-0.05330702639880185,-0.05282103275555134
2020-02-08,2020-02-08,-0.05086292568288132,-0.050314936389176
2020-02-01,2020-02-01,-0.05549487483085053,-0.04977433220861296
2020-01-25,2020-01-25,-0.05161930410967166,-0.04314451594262284
2020-01-18,2020-01-18,-0.04328264093330048,-0.03924698166706962
2020-01-11,2020-01-11,-0.0487005089606292,-0.04095943217722664
2020-01-04,2020-01-04,-0.02897560976689002,-0.03950452088894414
2019-12-28,2019-12-28,-0.03602916700745878,-0.0462994170272306
2019-12-21,2019-12-21,-0.05013244297392855,-0.05083947117688614
2019-12-14,2019-12-14,-0.04288086380749922,-0.05317230220789501
2019-12-07,2019-12-07,-0.05615519432003586,-0.05579325149329802
2019-11-30,2019-11-30,-0.05418938360608093,-0.05407787548744033
2019-11-23,2019-11-23,-0.05946376709796403,-0.05279952362990164
2019-11-16,2019-11-16,-0.05336466094911126,-0.05119017885166845
2019-11-09,2019-11-09,-0.04929369029660512,-0.05213770315349243
2019-11-02,2019-11-02,-0.04907597617592615,-0.05413345819717496
2019-10-26,2019-10-26,-0.05302638798503127,-0.0578942077140034
2019-10-19,2019-10-19,-0.05715475815640721,-0.05857561905719373
2019-10-12,2019-10-12,-0.05727671047133521,-0.05944776445814091
2019-10-05,2019-10-05,-0.06411897424323994,-0.05863834160361404
2019-09-28,2019-09-28,-0.05575203335779256,-0.059715450962674
2019-09-21,2019-09-21,-0.06064333976019593,-0.06165766409507096
2019-09-14,2019-09-14,-0.05403901905322772,-0.06266622038314103
2019-09-07,2019-09-07,-0.06842741167947979,-0.06689183112911576
2019-08-31,2019-08-31,-0.06352088588738043,-0.06829660915498016
2019-08-24,2019-08-24,-0.06467756491247617,-0.0681047770833695
2019-08-17,2019-08-17,-0.07094146203712665,-0.06335302563735258
2019-08-10,2019-08-10,-0.07404652378293741,-0.05797283214243429
2019-08-03,2019-08-03,-0.06275355760093776,-0.05532633079785214
2019-07-27,2019-07-27,-0.04567055912840852,-0.05307672012001985
2019-07-20,2019-07-20,-0.04942068805745351,-0.05530703671787001
2019-07-13,2019-07-13,-0.06346051840460877,-0.05381803125486489
2019-07-06,2019-07-06,-0.05375511488960859,-0.05113674007700246
2019-06-29,2019-06-29,-0.05459182551980915,-0.05252370051626794
2019-06-22,2019-06-22,-0.04346466620543305,-0.0545199222711679
2019-06-15,2019-06-15,-0.05273535369315903,-0.05767888432210003
2019-06-08,2019-06-08,-0.05930295664667053,-0.06220134733063383
2019-06-01,2019-06-01,-0.062576712539409,-0.06078587007150995
2019-05-25,2019-05-25,-0.05610051440916159,-0.05595017598619073
2019-05-18,2019-05-18,-0.0708252057272942,-0.05266551878117384
2019-05-11,2019-05-11,-0.05364104761017503,-0.04426220168423905
2019-05-04,2019-05-04,-0.04323393619813211,-0.04150950150631279
2019-04-27,2019-04-27,-0.04296188558909404,-0.04130641990484959
2019-04-20,2019-04-20,-0.03721193733955501,-0.04412853051155765
2019-04-13,2019-04-13,-0.04263024689847002,-0.0476835941066145
2019-04-06,2019-04-06,-0.04242160979227927,-0.04949971312417976
2019-03-30,2019-03-30,-0.05425032801592631,-0.05407446959348254
2019-03-23,2019-03-23,-0.0514321917197824,-0.05048002966564985
2019-03-16,2019-03-16,-0.04989472296873108,-0.05036282334608312
2019-03-09,2019-03-09,-0.06072063566949036,-0.05023562150697368
2019-03-02,2019-03-02,-0.03987256830459557,-0.04782910693241742
2019-02-23,2019-02-23,-0.05096336644151546,-0.04869355243762493
2019-02-16,2019-02-16,-0.04938591561229331,-0.05069922194198785
2019-02-09,2019-02-09,-0.05109457737126536,-0.0533976636735482
2019-02-02,2019-02-02,-0.04333035032542558,-0.05180799853433458
2019-01-26,2019-01-26,-0.05898604445896712,-0.05746724051468771
2019-01-19,2019-01-19,-0.06017968253853473,-0.05699320785813117
2019-01-12,2019-01-12,-0.04473591681441085,-0.06007953001233009
2019-01-05,2019-01-05,-0.06596731824683814,-0.06461253369064932
2018-12-29,2018-12-29,-0.05708991383274096,-0.06399495149205789
2018-12-22,2018-12-22,-0.07252497115533044,-0.06151257579380467
2018-12-15,2018-12-15,-0.06286793152768774,-0.05902892068066748
2018-12-08,2018-12-08,-0.06349698945247241,-0.05764670328218922
2018-12-01,2018-12-01,-0.04716041103972809,-0.05269386152017875
2018-11-24,2018-11-24,-0.06259035070278167,-0.04900559355609528
2018-11-17,2018-11-17,-0.05733906193377472,-0.04708770967844007
2018-11-10,2018-11-10,-0.04368562240443052,-0.04673379056531675
2018-11-03,2018-11-03,-0.03240733918339421,-0.05169119332866985
2018-10-27,2018-10-27,-0.05491881519216084,-0.05485114992590817
2018-10-20,2018-10-20,-0.05592338548128142,-0.04928376316592136
2018-10-13,2018-10-13,-0.06351523345784292,-0.0433705827634096
2018-10-06,2018-10-06,-0.04504716557234749,-0.03649813458244683
2018-09-29,2018-09-29,-0.03264926815221362,-0.03647993251104683
2018-09-22,2018-09-22,-0.0322706638712344,-0.03790120873739577
2018-09-15,2018-09-15,-0.0360254407339918,-0.03977618144669748
2018-09-08,2018-09-08,-0.04497435728674751,-0.0436159448184624
2018-09-01,2018-09-01,-0.03833437305760941,-0.04462578961890763
2018-08-25,2018-08-25,-0.03977055470844119,-0.04437163426016773
2018-08-18,2018-08-18,-0.05138449422105148,-0.04402372638794523
2018-08-11,2018-08-11,-0.04901373648852843,-0.04123248520835636
2018-08-04,2018-08-04,-0.03731775162264982,-0.03912330168406895
2018-07-28,2018-07-28,-0.03837892321955118,-0.03947645196540153
2018-07-21,2018-07-21,-0.04021952950269601,-0.0399219569416046
2018-07-14,2018-07-14,-0.04057700239137877,-0.04119326157993988
2018-07-07,2018-07-07,-0.03873035274798016,-0.03954195751693828
2018-06-30,2018-06-30,-0.04016094312436345,-0.04052627085312258
2018-06-23,2018-06-23,-0.04530474805603715,-0.04188982251459518
2018-06-16,2018-06-16,-0.03397178613937237,-0.04259580219883563
2018-06-09,2018-06-09,-0.04266760609271736,-0.0449904268324021
2018-06-02,2018-06-02,-0.04561514977025384,-0.04323798044014607
2018-05-26,2018-05-26,-0.04812866679299894,-0.03969172219874861
2018-05-19,2018-05-19,-0.04355028467363826,-0.03496756149825628
2018-05-12,2018-05-12,-0.0356578205236932,-0.03093306757256627
2018-05-05,2018-05-05,-0.03143011680466403,-0.03196610423830681
2018-04-28,2018-04-28,-0.0292320239910296,-0.03501739807254327
2018-04-21,2018-04-21,-0.02741230897087827,-0.03467412724709012
2018-04-14,2018-04-14,-0.03978996718665535,-0.03546779500215742
2018-04-07,2018-04-07,-0.04363529214160983,-0.03419068290693422
2018-03-31,2018-03-31,-0.02785894068921703,-0.03227106575990268
2018-03-24,2018-03-24,-0.03058697999114746,-0.03349922761724229
2018-03-17,2018-03-17,-0.03468151880576255,-0.03346292532925231
2018-03-10,2018-03-10,-0.03595682355348368,-0.02955608665917415
2018-03-03,2018-03-03,-0.03277158811857548,-0.02827707219351048
2018-02-24,2018-02-24,-0.03044177083918751,-0.02662803285107935
2018-02-17,2018-02-17,-0.01905416412544994,-0.02336926892807615
2018-02-10,2018-02-10,-0.03084076569082898,-0.02734520516804371
2018-02-03,2018-02-03,-0.02617543074885095,-0.02245704940234798
2018-01-27,2018-01-27,-0.01740671514717474,-0.01690734991010085
2018-01-20,2018-01-20,-0.03495790908532018,-0.0195606706383636
2018-01-13,2018-01-13,-0.01128814262804604,-0.01555315953261843
2018-01-06,2018-01-06,-0.00397663277986243,-0.01655853843289075
2017-12-30,2017-12-30,-0.02801999806022577,-0.020738322523582
2017-12-23,2017-12-23,-0.01892786466233948,-0.01917940405059548
2017-12-16,2017-12-16,-0.01530965822913534,-0.02240714691986128
2017-12-09,2017-12-09,-0.02069576914262741,-0.02685994267470639
2017-12-02,2017-12-02,-0.02178432416827967,-0.02883262812157449
2017-11-25,2017-11-25,-0.03183883613940271,-0.02583468411322541
